value_component_environment_variable_time,value_component_T_variable_T,value_component_T_variable_lamda,value_component_T_variable_d,value_component_T__variable_T_,value_component_T__variable_tau,value_component_T__variable_m,value_component_VI_variable_VI,value_component_VNI_variable_VNI,value_component_epsilon_PI_variable_epsilon_PI,value_component_epsilon_PI_variable_IC50,value_component_Cb_variable_Cb,value_component_Cb_variable_Vd,value_component_Cb_variable_F,value_component_Cb_variable_D,value_component_Cc_variable_Cc,value_component_Cc_variable_kacell,value_component_Cc_variable_kecell,value_component_Cx_variable_Cx,value_component_Cx_variable_H,value_component_Cx_variable_fb,value_component_kinetic_parameters_variable_N,value_component_kinetic_parameters_variable_c,value_component_kinetic_parameters_variable_k,value_component_kinetic_parameters_variable_delta,value_component_kinetic_parameters_variable_ka,value_component_kinetic_parameters_variable_ke
0.0,1000000.0,10000.0,0.01,1.0,1.5,0.01,1.0,2.0,0.0,9e-07,-0.0,28000.0,1.0,600.0,0.0,24000.0,1.1,-0.0,0.052,0.99,2500.0,23.0,2.4e-08,0.01,14.64,6.86
0.1,999999.9986629989,10000.0,0.01,1.001815157326907,1.5,0.01,0.26393698514171227,1.0163221045612942,0.8638203931465651,9e-07,0.010979080884081161,28000.0,1.0,600.0,5.708919065015634e-06,24000.0,1.1,2.0299470657378485e-10,0.052,0.99,2500.0,23.0,2.4e-08,0.01,14.64,6.86
0.2,999999.9981918986,10000.0,0.01,1.0016670369831293,1.5,0.01,0.1686063850795501,0.9394426328951909,0.8506248711033085,9e-07,0.008068477974129707,28000.0,1.0,600.0,5.125099403411689e-06,24000.0,1.1,0.0,0.052,0.99,2500.0,23.0,2.4e-08,0.01,14.64,6.86
0.30000000000000004,999999.9977892351,10000.0,0.01,1.0012885272762029,1.5,0.01,0.17273743226371785,0.917718893931884,0.8361025606907302,9e-07,0.0046505997811778,28000.0,1.0,600.0,4.591238934500531e-06,24000.0,1.1,0.0,0.052,0.99,2500.0,23.0,2.4e-08,0.01,14.64,6.86
0.4,999999.9973594372,10000.0,0.01,1.0008502132539252,1.5,0.01,0.1880385130827225,0.9002427571747325,0.8204663766504531,9e-07,0.002477855345243877,28000.0,1.0,600.0,4.112988560074483e-06,24000.0,1.1,0.0,0.052,0.99,2500.0,23.0,2.4e-08,0.01,14.64,6.86
0.5,999999.9968902981,10000.0,0.01,1.000361909025509,1.5,0.01,0.20554615679237173,0.882055758648393,0.8036887130967663,9e-07,0.001279243733409506,28000.0,1.0,600.0,3.6845555505100944e-06,24000.0,1.1,0.0,0.052,0.99,2500.0,23.0,2.4e-08,0.01,14.64,6.86
0.6000000000000001,999999.9963780026,10000.0,0.01,0.9998199835730017,1.5,0.01,0.2243773637858729,0.8626434333168727,0.7857525766633556,9e-07,0.0006514796677842644,28000.0,1.0,600.0,3.3007506367338713e-06,24000.0,1.1,0.0,0.052,0.99,2500.0,23.0,2.4e-08,0.01,14.64,6.86
0.7000000000000001,999999.9958195562,10000.0,0.01,0.9992204923606299,1.5,0.01,0.24444722535150873,0.8419474198109351,0.7666534925442576,9e-07,0.00032975789706515064,28000.0,1.0,600.0,2.956925093128718e-06,24000.0,1.1,0.0,0.052,0.99,2500.0,23.0,2.4e-08,0.01,14.64,6.86
0.8,999999.9952120577,10000.0,0.01,0.998560581754664,1.5,0.01,0.26573656417169433,0.8199696187556897,0.7464013247422018,9e-07,0.0001664505594121397,28000.0,1.0,600.0,2.6489144376842513e-06,24000.0,1.1,0.0,0.052,0.99,2500.0,23.0,2.4e-08,0.01,14.64,6.86
0.9,999999.9945526619,10000.0,0.01,0.9978389225761094,1.5,0.01,0.2882164550645241,0.7967341629898347,0.7250219052073735,9e-07,8.391220888461972e-05,28000.0,1.0,600.0,2.3729879835654946e-06,24000.0,1.1,0.0,0.052,0.99,2500.0,23.0,2.4e-08,0.01,14.64,6.86
1.0,999999.9938386149,10000.0,0.01,0.9970560606366201,1.5,0.01,0.311841984221421,0.7722864303631288,0.702558359337062,9e-07,4.227785788724004e-05,28000.0,1.0,600.0,2.125803643343547e-06,24000.0,1.1,0.0,0.052,0.99,2500.0,23.0,2.4e-08,0.01,14.64,6.86
