Time,G_alpha,PLC,Ca_cyt,Ca_ER,Ca_mit,Enz,Product,k1,k2,k3,K4,k5,K6,k7,k8,K9,k10,K11,k12,k13,k14,K15,k16,K17,k18,K19,k20,K21,k_act,KM,k_inact,p,k_enz,k_rem,cytoplasm,ER,mit
0.0,0.01,0.01,0.01,10.0,0.001,0.0,0.0,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.01,0.010260185077846038,0.010099358996603835,0.00015126594751777107,10.001396174370418,0.0010000069744694725,8.345617710261968e-11,2.4111978640066813e-12,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.02,0.01052486594716894,0.010203055380302294,0.00015457946470975612,10.001609498458915,0.0010000067414132306,8.312320348492831e-11,4.8014928617422985e-12,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.03,0.010793722099833473,0.01031112968165686,0.00015814503228892365,10.001827720156088,0.0010000065039828662,8.279157648126368e-11,7.111439215213647e-12,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.04,0.011066816970797718,0.010423622043386373,0.0001617739848679881,10.002050953365265,0.0010000062621236302,8.246129227271881e-11,9.34352197165513e-12,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.05,0.011344207601553207,0.0105405689257036,0.0001654671228188557,10.002279278948134,0.0010000060158075752,8.213234753723819e-11,1.1499882846544094e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.06,0.011625949759682392,0.010662006287260753,0.0001692252326345176,10.002512776101874,0.0010000057650090357,8.180473919557663e-11,1.3582542582138247e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.07,0.011912110474194073,0.010787977655487556,0.00017304925823678568,10.00275154013147,0.0010000055096986444,8.147846371458034e-11,1.5593854281041395e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.08,0.012202757847982835,0.010918527654427695,0.00017694016054429107,10.002995668022816,0.0010000052498485353,8.115351773040519e-11,1.7536112627067925e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.09,0.01249795753730866,0.011053699747352435,0.00018089886573802906,10.003245253458017,0.0010000049854341183,8.082989826131722e-11,1.9411426090910012e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
