Time,lacz,IPTG,sigb,x,kbd,kbs,kxd,kxs,kzd,kzs,kzx,compartment,v1,v2,v3
0.0,0.0,200.0,0.0,0.0,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,20000.0,0.0,0.0
0.8,0.005757310874746015,200.0,15894.976010907245,0.0005941966129990621,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,19738.031721369036,0.014361703189023233,0.0014822335338312653
1.6,0.022928521412548926,200.0,31581.740500394586,0.0023663962868663195,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,19479.495018464895,0.028535127145092747,0.00294505098805171
2.4000000000000004,0.05136384799183237,200.0,47063.02100164823,0.005301167415959405,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,19224.344938267634,0.042522355699283976,0.004388706709784506
3.2,0.09091509309684051,200.0,62341.508957901126,0.00938328256913801,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,18972.53712256304,0.05632519922650931,0.005813451680703111
4.0,0.14143538941584452,200.0,77419.8607590529,0.014597712596168717,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,18724.027790857897,0.06994520628508513,0.007219533613697843
4.800000000000001,0.202778981523927,200.0,92300.69812971466,0.02092962451122888,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,18478.773733984548,0.08338367436649827,0.00860719698906172
5.6000000000000005,0.2748010626612737,200.0,106986.60842123057,0.028364379837826657,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,18236.732309288014,0.09664166027268421,0.00997668308172198
6.4,0.3573576085544303,200.0,121480.14501072012,0.03688753232016573,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,17997.86143404932,0.10971999032378693,0.011328229998451433
7.2,0.4503051388994853,200.0,135783.82787888258,0.04648482463332647,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,17762.11957596256,0.12261927049175982,0.012662072731749734
8.0,0.5535005058155047,200.0,149900.14415165558,0.05714218531088885,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,17529.465744207733,0.13533989628284485,0.013978443210353957
8.8,0.6668009401819018,200.0,163831.54803576646,0.06884572920747316,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,17299.859490512925,0.14788206181197436,0.015277570293228649
9.600000000000001,0.7900636617161952,200.0,177580.4618406852,0.08158175181164268,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,17073.2608923113,0.16024576974042368,0.01655967986486469
10.4,0.923145951378314,200.0,191149.27579107977,0.09533672995975413,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,16849.630555832056,0.17243083984481114,0.017824994817790433
11.200000000000001,1.065904815715885,200.0,204540.3489188071,0.11009731686858747,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,16628.929601399355,0.1844369184924703,0.01907373513575138
12.0,1.2181968721792162,200.0,217756.00949429473,0.12585033985357588,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,16411.11965632263,0.1962634875074182,0.020306117933937256
12.8,1.3798782465501103,200.0,230798.55525251097,0.14258279887281272,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,16196.162851172316,0.2079098726964309,0.021522357480054117
13.600000000000001,1.5508044686549816,200.0,243670.25392069106,0.16028186386000282,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,15984.021811082306,0.2193752525138592,0.02272266524353572
14.4,1.7308302907674245,200.0,256373.34362219847,0.1789348721788842,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,15774.659649093821,0.23065866653148223,0.02390724993320426
15.200000000000001,1.9198098536228037,200.0,268910.0327864932,0.1985293292592531,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,15568.039967639248,0.2417590231356684,0.025076317488874775
16.0,2.117596084935266,200.0,281282.50144608016,0.21905290134273472,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,15364.126837166863,0.25267510884412137,0.026230071202297794
16.8,2.3240410434366066,200.0,293492.9008290555,0.24049341762725351,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,15162.88480285617,0.2634055954053753,0.027368711679163587
17.6,2.5389958973699187,200.0,305543.3536222741,0.26283886871283124,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,14964.278880280575,0.2739490475552816,0.028492436863642973
18.400000000000002,2.7623100855062543,200.0,317435.9555498262,0.2860773980893191,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,14768.274529392203,0.2843039326391371,0.029601442185582968
