Time,x,y,z,time_environment,r_1,r_2,c_1,r_3,r_4,c_2,r_5,r_6,r_7,z_hat,y_hat,epsilon,COMpartment,Production_of_insulin,Utilisation_of_insulin,Production_of_glucose,utilisation_of_glucose,Production_of_Beta_cell,Removal_of_Beta_Cell
25000.0,4.156529073499724,1.4710642900370745,2.1327145038896558,1.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,2.57039578276886,1.24,0.1,1.0,0.8407434798922072,0.8864689840891894,0.014688860127205003,0.04156529073499724,0.1034581725513394,0.10663572519448279
25100.0,1.8415798739211193,0.4043546865752521,1.6046477997287532,1.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,2.57039578276886,1.24,0.1,1.0,0.2902341515974729,0.2955087092712279,0.01623189711891319,0.018415798739211196,0.07426626001009205,0.08023238998643767
25200.0,4.151162675172568,1.467919968395337,2.132339474542144,1.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,2.57039578276886,1.24,0.1,1.0,0.839254686269821,0.8851688037516434,0.01468968478958877,0.041511626751725685,0.10339265380304385,0.1066169737271072
25300.0,1.8409635561237414,0.40409949288408253,1.6039490390645375,1.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,2.57039578276886,1.24,0.1,1.0,0.290025902566032,0.2952811726797509,0.01623461204592401,0.018409635561237418,0.0742278002708629,0.08019745195322688
25400.0,4.145776403721325,1.464782706993794,2.1319593902648544,1.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,2.57039578276886,1.24,0.1,1.0,0.8377673884010838,0.8838626933852138,0.014690520863419307,0.04145776403721326,0.1033281503184406,0.10659796951324273
25500.0,1.8403491137810468,0.4038453004891928,1.6032496955189643,1.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,2.57039578276886,1.24,0.1,1.0,0.28981794056110904,0.29505391563180594,0.01623733160714124,0.018403491137810472,0.07418929239382636,0.08016248477594823
25600.0,4.140367592466006,1.4616511986681935,2.131573705760946,1.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,2.57039578276886,1.24,0.1,1.0,0.8362808229911125,0.8825498692285293,0.014691369560889816,0.04140367592466007,0.10326470402283447,0.10657868528804731
25700.0,1.8397373277112086,0.4035921872089422,1.602550121228023,1.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,2.57039578276886,1.24,0.1,1.0,0.289610353830477,0.2948271277551317,0.016240054440442134,0.01839737327711209,0.07415075093435985,0.08012750606140116
25800.0,4.134940640620806,1.4585268015798674,2.131183292710021,1.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,2.57039578276886,1.24,0.1,1.0,0.8347959195703616,0.8812316409638733,0.014692228976365504,0.041349406406208065,0.1032022021429451,0.10655916463550107
25900.0,1.8391273736777118,0.4033400617625795,1.601849931516453,1.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,2.57039578276886,1.24,0.1,1.0,0.2894030432140913,0.2946006057575677,0.01624278205045907,0.01839127373677712,0.07411215934102641,0.08009249657582265
