Dabrafenib_1_task1,_1_task1,bRafMutated_3_task1,species_10_2_task1
1.25e-10,0.0,120000.0,0.0
1.2456756398326276e-10,180.0,82.6068636106907,31177.164471762724
1.2413662397379387e-10,360.0,82.90105730332425,31438.996699859086
1.2370717479617433e-10,540.0,83.19632526375796,31638.366753827788
1.232792112928888e-10,720.0,83.49267160411932,31785.89996525677
1.228527283242646e-10,900.0,83.7901004536286,31908.085795950512
1.2242772076841022e-10,1080.0,84.08861595867928,32020.415671427847
1.220041835211526e-10,1260.0,84.38822228292008,32129.37602303327
1.2158211149597508e-10,1440.0,84.68892360733713,32237.38604011253
1.2116149962396037e-10,1620.0,84.99072413033285,32345.31194987235
1.2074234285372588e-10,1800.0,85.29362806781123,32453.460344679846
1.2032463615136422e-10,1980.0,85.59763965325973,32561.939591365524
1.1990837450038289e-10,2160.0,85.90276313783289,32670.788458670722
1.1949355290164372e-10,2340.0,86.20900279043597,32780.0213517001
1.190801663733031e-10,2520.0,86.5163628978093,32889.64415972879
1.1866820995075194e-10,2700.0,86.82484776461314,32999.65979833564
1.182576786865563e-10,2880.0,87.13446171351275,33110.07014723604
1.178485676503977e-10,3060.0,87.44520908526422,33220.87672733956
1.1744087192901417e-10,3240.0,87.75709423880056,33332.08093720318
1.17034586626141e-10,3420.0,88.07012155131851,33443.68413561618
1.1662970686245207e-10,3600.0,88.38429541836572,33555.68767043171
1.1622622777550128e-10,3780.0,88.69962025392817,33668.092888636835
1.1582414451966404e-10,3960.0,89.01610049051864,33780.90113987392
1.154234522660792e-10,4140.0,89.333740579265,33894.11377767784
1.1502414620259098e-10,4320.0,89.65254498999971,34007.73215991636
1.1462622153369119e-10,4500.0,89.9725182113493,34121.757648952735
1.1422967348046164e-10,4680.0,90.29366475082442,34236.19161171168
1.138344972805168e-10,4860.0,90.61598913491083,34351.0354197114
1.1344068818794647e-10,5040.0,90.93949590915983,34466.290449083855
1.1304824147325889e-10,5220.0,91.26418963828118,34581.95808059145
1.1265715242332397e-10,5400.0,91.5900749062343,34698.03969964158
1.1226741634131659e-10,5580.0,91.91715631632131,34814.536696301046
1.1187902854666027e-10,5760.0,92.24543849128042,34931.45046531059
1.1149198437497093e-10,5940.0,92.5749260733794,35048.782406098675
