Time,RanGDP_nuc,RCC1_RanGDP,GDP,RCC1,RCC1_RanGTP,RCC1_Ran,GTP,RanGTP_nuc,RanGAP,RanBP1,RanGTP_cy,RanGTP_RanBP1,RanGDP_cy,nucleus,cytoplasm,RCC1_binding,GDP_dissociation,GTP_binding,RanGTP_release,Cytoplasmic_transfer,Nucleoplasmic_transfer,RanGTP_binding,RanBP1_RanGDP,RanGAP_RanGDP
0.0,0.0,0.0,1.6,0.7,0.0,0.0,499.99999999999994,0.0,0.7,2.0,0.0,0.0,5.0,1.2e-11,1.8e-11,0.0,0.0,0.0,0.0,0.0,-7.2e-12,0.0,0.0,0.0
0.01,0.004865003353618643,0.0010507828999912713,1.6,0.6988741985928097,3.279267817438495e-05,4.2225829024395e-05,499.99999999999994,3.6863355708552215e-06,0.7,1.9999999999998834,1.366435871515913e-10,1.1674857709857404e-13,4.996003672465654,1.2e-11,1.8e-11,2.325705770087227e-12,2.558791957078481e-13,1.445362538640622e-13,1.8551625813703336e-14,1.3270316138165051e-18,-7.1872396835213305e-12,1.475749900647345e-21,1.5887146371555408e-22,2.6071596423434312e-20
0.02,0.008475997883952997,0.0030210265340060364,1.6,0.6965531012241787,0.0002578354540062944,0.0001680367878086336,499.99999999999994,5.631623530257383e-05,0.7,1.9999999999925009,4.508127537579937e-09,7.499218132471947e-12,4.992013853554322,1.2e-11,1.8e-11,3.2488590470449035e-12,7.258093169843379e-13,5.461459525976459e-13,1.2309870162502025e-13,2.0272221783013048e-17,-7.176294512165331e-12,4.86877234113102e-20,1.0204936033902533e-20,8.601507286307245e-19
0.03,0.011531486032798221,0.005128834184481437,1.6,0.6938043794113401,0.0007370996416495066,0.00032968676252896547,499.99999999999994,0.0002280487224249876,0.7,1.9999999999307134,2.8942961605496768e-08,6.928646107421472e-11,4.988029867425163,1.2e-11,1.8e-11,3.719498251722635e-12,1.2228363702432046e-12,1.0188136268081882e-12,2.9662032068353345e-13,8.208712060681755e-17,-7.166157669205004e-12,3.1258348646601645e-19,9.428501616446461e-20,5.522316845997062e-18
0.04,0.014262593532145103,0.007147381382812169,1.6,0.6908972780628817,0.0014515957276015057,0.0005037448267045992,499.99999999999994,0.0005574711584367014,0.7,1.9999999997021065,9.81380695483214e-08,2.978935620508119e-10,4.984051377145569,1.2e-11,1.8e-11,4.033068787278934e-12,1.6947492010686551e-12,1.4825175502434135e-12,4.958668130620196e-13,2.006542873321751e-16,-7.156495848403331e-12,1.0598890061303571e-18,4.053735580311631e-19,1.8724741044662667e-17
0.05,0.01675465965446401,0.009019267335909733,1.6,0.6879264045697726,0.002372415286509115,0.0006819128078085184,499.99999999999994,0.0010541393521881078,0.7,1.9999999991439805,2.384263653565745e-07,8.56019499249531e-10,4.980078164426362,1.2e-11,1.8e-11,4.282347383286038e-12,2.1288353836400936e-12,1.913975422786588e-12,6.955897357364871e-13,3.794043332961905e-16,-7.147185846871533e-12,2.574998581408483e-18,1.164871324607236e-18,4.549173501513579e-17
0.06,0.019046758397015588,0.010738032526385818,1.6,0.684925833875613,0.003474807086733794,0.0008613265112670923,499.99999999999994,0.0017132717761988517,0.7,1.9999999980742718,4.735794745067387e-07,1.9257285595209527e-09,4.976110060296396,1.2e-11,1.8e-11,4.497406319985834e-12,2.5240720374696166e-12,2.3085194247862263e-12,8.852157572820426e-13,6.166073508207642e-16,-7.1381711547351065e-12,5.114644454502428e-18,2.620531373331791e-18,9.035890260428342e-17
0.07,0.021162518828625004,0.012311814051772162,1.6,0.6819088377073773,0.0047383690285274635,0.0010409792123226426,499.99999999999994,0.0025246947931468174,0.7,1.9999999963167756,8.233279771586032e-07,3.6832247921427225e-09,4.9721469223792,1.2e-11,1.8e-11,4.688849578071063e-12,2.8827223314040426e-12,2.6671770258572514e-12,1.0613895284753894e-12,9.085937274610772e-16,-7.1294175411128276e-12,8.8919156177189e-18,5.012132112539723e-18,1.5709079327436853e-16
0.08,0.023119735810658827,0.01375227007148876,1.6,0.6788815115066428,0.006145725854309859,0.0012204925675582269,499.99999999999994,0.0034768714982312474,0.7,1.9999999937156847,1.3032140176361806e-06,6.284315766624164e-09,4.968188626633499,1.2e-11,1.8e-11,4.861160092001015e-12,3.20780402774687e-12,2.9925477484269688e-12,1.2237185302041932e-12,1.2512045823169e-15,-7.12089920278489e-12,1.4074666099172267e-17,8.55169635780656e-18,2.4865277163958675e-16
0.09,0.02493342910393921,0.015071270596579684,1.6,0.6758473949343655,0.007681632653508027,0.0013997018155464623,499.99999999999994,0.0045584680975692005,0.7,1.9999999901416334,1.924953180025375e-06,9.858366944272297e-09,4.964235063677022,1.2e-11,1.8e-11,5.016820884987477e-12,3.5023431668946676e-12,3.2875142909674345e-12,1.3728830049550294e-12,1.640355531980103e-15,-7.11259435378524e-12,2.0789423261556824e-17,1.3415264415239747e-17,3.672800567532512e-16
