A,I1,I2,O,R,S,Time
0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.11666552605542878,0.0028296579238675204,0.0009319804284500204,0.016631111636302005,0.8629291330288146,1.259092713720242e-05,0.01
0.23125429058697672,0.005249002071367571,0.003995072233309648,0.014390514020668127,0.7450893653643305,2.1755723346998094e-05,0.02
0.32796513751787565,0.007314538394513676,0.008875608031753069,0.012449373142414039,0.6433684588646422,2.6884048800918966e-05,0.03
0.40929335320626786,0.009074853385353366,0.01526814609106824,0.010773270975344746,0.5555611321609506,2.92441810148246e-05,0.04
0.47739793906858025,0.010571885201972095,0.02291045698743661,0.009325983625913742,0.4797639881312613,2.9746984835570316e-05,0.05
0.5341412739019165,0.01184183327150551,0.031577592172527244,0.008076234294424845,0.4143340247612554,2.904159837003855e-05,0.06
0.5811296904261153,0.012915943420694399,0.04107674968278775,0.0069970207452441455,0.35785300915082324,2.7586574335086037e-05,0.07
0.619748510267004,0.013821185553843833,0.051242842834073314,0.006065031536245702,0.30909672763394214,2.5702174891161085e-05,0.08
0.651192288029677,0.014580838537887567,0.06193467613410309,0.005260141933862833,0.26700844661087414,2.3608753595360968e-05,0.09
0.6764909356346709,0.015214995329359519,0.0730316432111615,0.004564978380844324,0.23067599255391194,2.1454890051858084e-05,0.1
0.6965322572779962,0.015740998637923942,0.08443087944121917,0.003964542711044388,0.19931198400765432,1.9337924162040356e-05,0.11
0.7120814168867642,0.016173817245242174,0.0960448030843709,0.0034458874456955446,0.17223675640254515,1.7318935382302958e-05,0.12
0.723797744802324,0.01652637086229887,0.1077989933484185,0.0029978354130205296,0.14886362195689226,1.5433617045967923e-05,0.13
0.7322492464530665,0.016809810551974187,0.11963035938810145,0.0026107376597358472,0.12868614580790677,1.3700139215377517e-05,0.14
0.7379251036131547,0.0170337603438778,0.1314855633941689,0.002276264821326224,0.11126718303318049,1.2124794292198787e-05,0.15
0.741246496685217,0.017206526396286833,0.143319656182997,0.0019872264821925623,0.09622938820546885,1.070604783808986e-05,0.16
0.7425759293678286,0.0173352772148842,0.15509490228380604,0.0017374155077706456,0.08324703822303892,9.437402671919056e-06,0.17
0.7422252823583372,0.017426199311603493,0.16677976582487916,0.001521473572731853,0.07203896952169839,8.309410750265899e-06,0.18
0.740462766938207,0.01748463160712968,0.1783480355800329,0.001334775038788171,0.06236247976950541,7.311066337214745e-06,0.19
0.7375189238512624,0.017515181388116665,0.18977807075578826,0.00117332675896774,0.05400806649269235,6.430753172840292e-06,0.2
0.733591794073857,0.0175218242660062,0.2010521514829763,0.0010336816982354103,0.04679489160650892,5.656872416516865e-06,0.21
0.7288513952812148,0.017507990723389093,0.2121559170945037,0.0009128641388777324,0.04056685451615539,4.978245859599008e-06,0.22
0.7234435810340348,0.017476640736092956,0.22307788242190582,0.0008083051867880544,0.035189206262548026,4.384358630629217e-06,0.23
0.7174933629355019,0.017430328021288903,0.23380902194145164,0.0007177872405416224,0.030545634370047856,3.865491168551688e-06,0.24
0.7111077893130241,0.017371255719407713,0.2443424099593477,0.0006393958620163478,0.026535736370075867,3.4127761290528446e-06,0.25
0.7043784236108618,0.017301324343595364,0.25467291134074516,0.0005714783288588901,0.023072844171180548,3.018204759165396e-06,0.26
0.6973834827393582,0.01722217316068932,0.264796915174439,0.0005126078633587977,0.020082146461623797,2.674600531870767e-06,0.27
0.6901896841437964,0.017135215945449873,0.274712105198653,0.0004615527242206816,0.017499066414815447,2.375573065324896e-06,0.28
0.6828538414038997,0.017041671876968343,0.2844172619522062,0.00041724949692784774,0.01526785980904476,2.1154609541450844e-06,0.29
0.6754242365218673,0.016942592120992958,0.2939120930847738,0.0003787801129219621,0.013340408890197246,1.889269247669848e-06,0.3
0.6679418081974243,0.01683888285720614,0.3031970868599553,0.0003453519416776848,0.0116751775376846,1.6926060528930718e-06,0.31
