Time,R,O,I1,S,A,I2,open_probability,Phi1,k1,L1,l2,lminus2,c,L3,Phi2,k2,l4,Phi_minus2,kminus1,kminus2,kminus3,lminus4,L5,Phi3,k3,Phi4,k4,l6,Phi_minus4,kminus4,lminus6,Phi5,IP3,compartment,v1,v2,v3,v4,v5
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30571231933929804,0.64,0.12,1.7,0.8,10.0,0.025,1.4812112869924294,37.4,1.7,22.31962905718702,0.04,1.4,29.8,2.5,54.7,0.0929984544049459,0.11,761.3292117465223,4.0,4707.0,0.14158102766798422,0.54,11.4,1.755731225296443,10.0,1.0,14.812112869924295,0.30571231933929804,0.0,0.0,0.0
0.01,0.8629291330288146,0.016631111636302005,0.0028296579238675204,1.259092713720242e-05,0.11666552605542878,0.0009319804284500204,0.00012943158493185363,0.30571231933929804,0.64,0.12,1.7,0.8,10.0,0.025,1.4812112869924294,37.4,1.7,22.31962905718702,0.04,1.4,29.8,2.5,54.7,0.0929984544049459,0.11,761.3292117465223,4.0,4707.0,0.14158102766798422,0.54,11.4,1.755731225296443,10.0,1.0,12.41060347463779,0.26143115402763983,0.0011714580485235652,12.645233487461867,0.20405044345125406
0.02,0.7450893653643305,0.014390514020668127,0.005249002071367571,2.1755723346998094e-05,0.23125429058697672,0.003995072233309648,0.0019288530994812979,0.30571231933929804,0.64,0.12,1.7,0.8,10.0,0.025,1.4812112869924294,37.4,1.7,22.31962905718702,0.04,1.4,29.8,2.5,54.7,0.0929984544049459,0.11,761.3292117465223,4.0,4707.0,0.14158102766798422,0.54,11.4,1.755731225296443,10.0,1.0,10.715156843073162,0.22337383626062635,0.0006899750062742964,10.923177475868608,0.40266451829135225
0.03,0.6433684588646422,0.012449373142414039,0.007314538394513676,2.6884048800918966e-05,0.32796513751787565,0.008875608031753069,0.007719555179073248,0.30571231933929804,0.64,0.12,1.7,0.8,10.0,0.025,1.4812112869924294,37.4,1.7,22.31962905718702,0.04,1.4,29.8,2.5,54.7,0.0929984544049459,0.11,761.3292117465223,4.0,4707.0,0.14158102766798422,0.54,11.4,1.755731225296443,10.0,1.0,9.251780839119139,0.19054145149786805,0.0003566278062875649,9.431637800043353,0.5683631220021036
0.04,0.5555611321609506,0.010773270975344746,0.009074853385353366,2.92441810148246e-05,0.40929335320626786,0.01526814609106824,0.01862867588696954,0.30571231933929804,0.64,0.12,1.7,0.8,10.0,0.025,1.4812112869924294,37.4,1.7,22.31962905718702,0.04,1.4,29.8,2.5,54.7,0.0929984544049459,0.11,761.3292117465223,4.0,4707.0,0.14158102766798422,0.54,11.4,1.755731225296443,10.0,1.0,7.988578783808674,0.16221900540399367,0.00013042095535095223,8.144057726026285,0.7057838778140332
0.05,0.4797639881312613,0.009325983625913742,0.010571885201972095,2.9746984835570316e-05,0.47739793906858025,0.02291045698743661,0.034376270492356316,0.30571231933929804,0.64,0.12,1.7,0.8,10.0,0.025,1.4812112869924294,37.4,1.7,22.31962905718702,0.04,1.4,29.8,2.5,54.7,0.0929984544049459,0.11,761.3292117465223,4.0,4707.0,0.14158102766798422,0.54,11.4,1.755731225296443,10.0,1.0,6.898165848001467,0.1377893779774228,-1.9158085084184187e-05,7.032553271857976,0.8189376846454283
0.06,0.4143340247612554,0.008076234294424845,0.01184183327150551,2.904159837003855e-05,0.5341412739019165,0.031577592172527244,0.053766356325178066,0.30571231933929804,0.64,0.12,1.7,0.8,10.0,0.025,1.4812112869924294,37.4,1.7,22.31962905718702,0.04,1.4,29.8,2.5,54.7,0.0929984544049459,0.11,761.3292117465223,4.0,4707.0,0.14158102766798422,0.54,11.4,1.755731225296443,10.0,1.0,5.956903786983227,0.11671987574288491,-0.00011436232463341934,6.073048818775779,0.9112833358842919
0.07,0.35785300915082324,0.0069970207452441455,0.012915943420694399,2.7586574335086037e-05,0.5811296904261153,0.04107674968278775,0.07522891070627746,0.30571231933929804,0.64,0.12,1.7,0.8,10.0,0.025,1.4812112869924294,37.4,1.7,22.31962905718702,0.04,1.4,29.8,2.5,54.7,0.0929984544049459,0.11,761.3292117465223,4.0,4707.0,0.14158102766798422,0.54,11.4,1.755731225296443,10.0,1.0,5.144388254844754,0.09855068093666193,-0.00017136780043851567,5.244759349771882,0.9858030736944443
0.08,0.30909672763394214,0.006065031536245702,0.013821185553843833,2.5702174891161085e-05,0.619748510267004,0.051242842834073314,0.09721200996328787,0.30571231933929804,0.64,0.12,1.7,0.8,10.0,0.025,1.4812112869924294,37.4,1.7,22.31962905718702,0.04,1.4,29.8,2.5,54.7,0.0929984544049459,0.11,761.3292117465223,4.0,4707.0,0.14158102766798422,0.54,11.4,1.755731225296443,10.0,1.0,4.4430063633290535,0.08288488163993092,-0.00020188625296849551,4.529741047728434,1.0450678233261104
0.09,0.26700844661087414,0.005260141933862833,0.014580838537887567,2.3608753595360968e-05,0.651192288029677,0.06193467613410309,0.11840375907779191,0.30571231933929804,0.64,0.12,1.7,0.8,10.0,0.025,1.4812112869924294,37.4,1.7,22.31962905718702,0.04,1.4,29.8,2.5,54.7,0.0929984544049459,0.11,761.3292117465223,4.0,4707.0,0.14158102766798422,0.54,11.4,1.755731225296443,10.0,1.0,3.8375548316714494,0.0693798671247679,-0.00021435578734187025,3.9125032388339105,1.0912935058132922
