_1_task1,tumor_at_Exp_Lin_growth_2_task1,tumor_at_Exp_growth_1_task1,tumor_at_Gen__logistic_growth_3_task1,tumor_at_Gomp__growth_4_task1,tumor_at_Logistic_growth_5_task1,tumor_at_Power_growth_6_task1,tumor_at_Von_Bert__growth_7_task1
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,1.0202013405713588,1.0202013405713588,1.0150774656236219,1.0954754627334233,1.0199952877751985,1.0821522962962375,1.0778883474683754
0.04,1.0408107756117977,1.0408107756117977,1.0303589352258176,1.1979015381669993,1.0403861857447723,1.1686850370369752,1.1596078830884045
0.06,1.0618365767161895,1.0618365767161895,1.045846715420212,1.307587801203425,1.0611803748300814,1.2597119999999349,1.2452396768209972
0.08,1.0832871738618362,1.0832871738618362,1.0615431294213518,1.4248430780442902,1.0823856703764647,1.3553469629628947,1.3348641082310007
0.1,1.105171052012875,1.105171052012875,1.077450505985603,1.5499753161455514,1.1040099340702207,1.455703703703632,1.4285613317234733
0.12,1.1274970273445855,1.1274970273445855,1.09357120770787,1.6832884763622793,1.1260613074249344,1.5608959999999248,1.5264101126655092
0.14,1.150274015257184,1.150274015257184,1.1099076065571214,1.8250834342307072,1.1485480146888956,1.671037629629551,1.6284888334729943
0.16,1.173511121243893,1.173511121243893,1.126462093019318,1.9756565398660006,1.1714784394087459,1.786242370370288,1.734875118944679
0.18,1.1972176434654465,1.1972176434654465,1.1432370755887973,2.1352977118912757,1.1948611253892152,1.906623999999914,1.8456458658777593
0.2,1.2214030653088084,1.2214030653088084,1.160234979919671,2.304290391275233,1.218704770251919,2.0322962962962072,1.9608772761583548
0.22,1.2460770626541662,1.2460770626541662,1.1774582489732786,2.4829101283471515,1.2430182306206388,2.1633730370369437,2.0806448528824197
0.24,1.2712495411355604,1.2712495411355604,1.1949093458139433,2.671421951209942,1.267810551925994,2.2999679999999025,2.2050232912292076
0.26,1.29693048638959,1.29693048638959,1.2125907403852036,2.8700870041478623,1.2930908451270269,2.442194962962862,2.3340870103979996
0.28,1.3231302233995288,1.3231302233995288,1.230504931450556,3.0791493185152152,1.318868498482163,2.5901677037035986,2.4679092752956766
0.3,1.349859212874404,1.349859212874404,1.248654428523671,3.2988448024469514,1.3451530097049058,2.7439999999998905,2.6065629251098836
0.32,1.3771281711096173,1.3771281711096173,1.267041762128438,3.5293954056070005,1.37195408404212,2.9038056296295163,2.7501199592135603
0.34,1.4049479962275202,1.4049479962275202,1.2856694763869487,3.7710110913117423,1.3992815718242124,3.069698370370253,2.89865183541758
0.36,1.4333298296656254,1.4333298296656254,1.304540134459924,4.023887333557083,1.4271455190112468,3.2417919999998777,3.052229254908803
0.38,1.4622850142263033,1.4622850142263033,1.3236563141301148,4.2882061567014285,1.4555561311998781,3.4202002962961697,3.2109223422190754
0.4,1.4918251325890934,1.4918251325890934,1.343020610757373,4.564134078774445,1.4845238043511728,3.6050370370369063,3.374800523940464
0.42,1.521962000161208,1.521962000161208,1.3626356363065413,4.8518220966964645,1.5140591181822756,3.7964159999998635,3.5439325688683274
0.44,1.5527076741216381,1.5527076741216381,1.3825040191796076,5.151404793601563,1.5441728413886664,3.994450962962822,3.7183865957060114
0.46,1.5840744509951756,1.5840744509951756,1.4026284042576638,5.463000639019826,1.574875930208007,4.1992557037035585,3.8982300708983333
0.48,1.6160748813830295,1.6160748813830295,1.4230114526117257,5.78671075231769,1.6061795367758516,4.41094399999985,4.083529820271559
0.5,1.648721763286552,1.648721763286552,1.4436558416377623,6.122619376335681,1.6380950053871246,4.629629629629475,4.27435202385322
0.52,1.682028151519639,1.682028151519639,1.4645642648660728,6.470793283136128,1.67063387772346,4.85542637037021,4.470762222917842
0.54,1.7160073698890712,1.7160073698890712,1.4857394316874453,6.831281737022443,1.7038078992042178,5.088447999999834,4.672825327943189
