Time,tumor_at_Exp_growth,tumor_at_Exp_Lin_growth,tumor_at_Gen__logistic_growth,tumor_at_Gomp__growth,tumor_at_Logistic_growth,tumor_at_Power_growth,tumor_at_Von_Bert__growth,alpha_0,alpha_1,tau,alpha_1_variable,alpha_0_variable,alpha,K,nu,a,b,gamma,compartment,exponential_linear_growth,generalized_logistic_growth,Gompertz_growth,power_law_model,Von_Bertalanffy_equation,exponential_growth,logistic_growth
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.0,0.748811356849042,4.605170185988092,4.0,3.8,1.0,0.99
0.02,1.0202013405713588,1.0202013405713588,1.0150774656236219,1.0954754627334233,1.0199952877751985,1.0821522962962375,1.0778883474683754,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.0202013405713588,0.7589542517979427,4.944956196420445,4.2161777777776255,3.9895176305892637,1.0202013405713588,1.0095913839043624
0.04,1.0408107756117977,1.0408107756117977,1.0303589352258176,1.1979015381669993,1.0403861857447723,1.1686850370369752,1.1596078830884045,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.0408107756117977,0.7692118973439535,5.300233801944811,4.438044444444288,4.1831128803791255,1.0408107756117977,1.0295621515898867
0.06,1.0618365767161895,1.0618365767161895,1.045846715420212,1.307587801203425,1.0611803748300814,1.2597119999999349,1.2452396768209972,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.0618365767161895,0.779585170333061,5.6709901436031975,4.665599999999839,4.380749159097852,1.0618365767161895,1.0499193369508364
0.08,1.0832871738618362,1.0832871738618362,1.0615431294213518,1.4248430780442902,1.0823856703764647,1.3553469629628947,1.3348641082310007,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.0832871738618362,0.7900749458972252,6.057162518818078,4.89884444444428,4.58239018671953,1.0832871738618362,1.0706700829821016
0.1,1.105171052012875,1.105171052012875,1.077450505985603,1.5499753161455514,1.1040099340702207,1.455703703703632,1.4285613317234733,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.105171052012875,0.8006820899397498,6.458640473466497,5.137777777777609,4.788000979690793,1.105171052012875,1.0918215547249635
0.12,1.1274970273445855,1.1274970273445855,1.09357120770787,1.6832884763622793,1.1260613074249344,1.5608959999999248,1.5264101126655092,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.1274970273445855,0.8114074778740764,6.875258598957275,5.382399999999827,4.997545248528985,1.1274970273445855,1.113381166744139
0.14,1.150274015257184,1.150274015257184,1.1099076065571214,1.8250834342307072,1.1485480146888956,1.671037629629551,1.6284888334729943,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.150274015257184,0.8222519781242693,7.3068027134208275,5.632711111110934,5.210987643520294,1.150274015257184,1.1353563892684375
0.16,1.173511121243893,1.173511121243893,1.126462093019318,1.9756565398660006,1.1714784394087459,1.786242370370288,1.734875118944679,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.173511121243893,0.8332164580781122,7.7530085391317725,5.88871111111093,5.428292905169134,1.173511121243893,1.1577548220687504
0.18,1.1972176434654465,1.1972176434654465,1.1432370755887973,2.1352977118912757,1.1948611253892152,1.906623999999914,1.8456458658777593,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.1972176434654465,0.8443017835870884,8.21355953316008,6.150399999999815,5.649425926301858,1.1972176434654465,1.1805841942995514
0.2,1.2214030653088084,1.2214030653088084,1.160234979919671,2.304290391275233,1.218704770251919,2.0322962962962072,1.9608772761583548,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.2214030653088084,0.855508818246606,8.688090530564185,6.41777777777759,5.8743518126933765,1.2214030653088084,1.2038523570815711
0.22,1.2460770626541662,1.2460770626541662,1.1774582489732786,2.4829101283471515,1.2430182306206388,2.1633730370369437,2.0806448528824197,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.2460770626541662,0.8668384233379643,9.176187484222446,6.690844444444251,6.103035865968554,1.2460770626541662,1.2275672874040862
0.24,1.2712495411355604,1.2712495411355604,1.1949093458139433,2.671421951209942,1.267810551925994,2.2999679999999025,2.2050232912292076,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.2712495411355604,0.8782914595046772,9.677384405109418,6.969599999999803,6.335443374003589,1.2712495411355604,1.2517371159702448
0.26,1.29693048638959,1.29693048638959,1.2125907403852036,2.8700870041478623,1.2930908451270269,2.442194962962862,2.3340870103979996,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.29693048638959,0.889868777925904,10.19118484226298,7.2540444444442445,6.571540587948344,1.29693048638959,1.2763700057895135
0.28,1.3231302233995288,1.3231302233995288,1.230504931450556,3.0791493185152152,1.318868498482163,2.5901677037035986,2.4679092752956766,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.3231302233995288,0.9015712345548446,10.717031001893233,7.544177777777573,6.811293078705113,1.3231302233995288,1.301474357319277
0.3,1.349859212874404,1.349859212874404,1.248654428523671,3.2988448024469514,1.3451530097049058,2.7439999999998905,2.6065629251098836,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.349859212874404,0.913399678110825,11.254331798120855,7.839999999999791,7.054667083042085,1.349859212874404,1.3270586435097242
0.32,1.3771281711096173,1.3771281711096173,1.267041762128438,3.5293954056070005,1.37195408404212,2.9038056296295163,2.7501199592135603,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.3771281711096173,0.9253549566347218,11.802452128263443,8.1415111111109,7.301628744478857,1.3771281711096173,1.3531315039549217
0.34,1.4049479962275202,1.4049479962275202,1.2856694763869487,3.7710110913117423,1.3992815718242124,3.069698370370253,2.89865183541758,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.4049479962275202,0.9374379125002562,12.360722072347425,8.448711111110896,7.552144631983313,1.4049479962275202,1.379701682651744
0.36,1.4333298296656254,1.4333298296656254,1.304540134459924,4.023887333557083,1.4271455190112468,3.2417919999998777,3.052229254908803,1.0,10000.0,10.0,0.0,1.0,1.0,100.0,0.3,4.0,0.2,0.6666666666666666,1.0,1.4333298296656254,0.9496493858004128,12.928435142394196,8.76159999999978,7.80618135837874,1.4333298296656254,1.406778075686908
