TFp53_1_task1,_1_task1
0.0,0.0
7.806757308431098,12.0
18.61063791073639,24.0
30.58597089337675,36.0
42.907937250400025,48.0
55.27420030809508,60.0
67.57512269653094,72.0
79.76968922907422,84.0
91.84175357776459,96.0
103.78463990722061,108.0
115.59556788881088,120.0
127.27353070808799,132.0
138.81843280232368,144.0
150.23067597182495,156.0
161.51099288141023,168.0
172.66028301217384,180.0
183.67959755643605,192.0
194.57007901698526,204.0
205.332933846921,216.0
215.96941317315338,228.0
226.48079889092372,240.0
236.86839357318735,252.0
247.13351322716338,264.0
257.27749149753754,276.0
267.3016483807286,288.0
277.2073115256232,300.0
286.9958096408085,312.0
296.668468276457,324.0
306.2265756066914,336.0
315.6714456132925,348.0
325.0043813607442,360.0
334.22665694249196,372.0
343.33957664085096,384.0
352.344367940144,396.0
361.24219319999463,408.0
370.0343991694161,420.0
378.72236639403974,432.0
387.3071206030713,444.0
395.78984036416824,456.0
404.17170098233714,468.0
412.45396801731624,480.0
420.6378669209718,492.0
428.7243778720767,504.0
436.7149653971489,516.0
444.61024858271287,528.0
452.41168810217783,540.0
460.12043055451124,552.0
467.73748696012973,564.0
475.2639542978712,576.0
482.7008599290605,588.0
490.0491959899915,600.0
497.3101017119014,612.0
504.48470003263856,624.0
511.57395297640875,636.0
518.5788387762069,648.0
525.5003584449317,660.0
532.3395183070996,672.0
539.0972752809621,684.0
545.7745858880604,696.0
552.3723369630158,708.0
558.8915358992075,720.0
565.3331869743058,732.0
571.698149326167,744.0
577.987333413201,756.0
584.2016423792098,768.0
590.3419560332246,780.0
596.4091630466197,792.0
602.404133315145,804.0
608.3277218106923,816.0
614.1807718650791,828.0
619.9640353787056,840.0
625.6783788885334,852.0
631.3247222774554,864.0
636.9038545776767,876.0
642.416531330008,888.0
647.8635567409231,900.0
653.2457093672066,912.0
658.5637802836794,924.0
663.8184563643222,936.0
669.0105746601163,948.0
674.1408833113736,960.0
679.2099891826755,972.0
684.2188828014945,984.0
689.167872802169,996.0
694.0578088018501,1008.0
698.8894874085271,1020.0
703.6637052301891,1032.0
708.3811521170085,1044.0
713.0423781477285,1056.0
717.6480699141666,1068.0
722.1988948091047,1080.0
726.6955090668022,1092.0
731.1385478339299,1104.0
735.5286492563222,1116.0
739.866478784325,1128.0
744.1525301259454,1140.0
748.387694655798,1152.0
752.5721781222753,1164.0
756.7066928426523,1176.0
760.7919002579912,1188.0
764.8284618093544,1200.0
768.8170388947719,1212.0
772.7581869059642,1224.0
776.6523573467435,1236.0
780.5001229747381,1248.0
784.3020365018749,1260.0
788.0586424816993,1272.0
791.7704716725399,1284.0
795.4380674325772,1296.0
799.0619537509085,1308.0
802.6426445170046,1320.0
806.1806764618414,1332.0
809.6765262130456,1344.0
813.1307225973637,1356.0
816.5437535463453,1368.0
819.9161083554376,1380.0
823.248285200092,1392.0
826.540708449347,1404.0
829.793897259861,1416.0
833.0083254809349,1428.0
836.1844591004316,1440.0
839.3227562447756,1452.0
842.4236674400807,1464.0
845.4876350593433,1476.0
848.515093678875,1488.0
851.5064700453878,1500.0
854.462183050718,1512.0
857.3826926344584,1524.0
860.2684089990659,1536.0
863.1197296996837,1548.0
865.937056960947,1560.0
868.7207866365464,1572.0
871.4713430419221,1584.0
874.1891267926744,1596.0
876.8745121681408,1608.0
879.5278824119448,1620.0
882.149615707839,1632.0
884.7400968965968,1644.0
887.2997061095351,1656.0
889.8288035441913,1668.0
892.3277526560316,1680.0
894.7969124089876,1692.0
897.2366409302495,1704.0
899.6472937749844,1716.0
902.0292132342008,1728.0
904.3827415499703,1740.0
906.7082165740841,1752.0
909.0059717680524,1764.0
911.2763362031048,1776.0
913.5196421645334,1788.0
915.7362178029922,1800.0
917.926374189069,1812.0
920.0904250095837,1824.0
922.2286797372225,1836.0
924.3414436305376,1848.0
926.4290177339478,1860.0
928.4917141088927,1872.0
930.5298355652917,1884.0
932.543663544113,1896.0
934.5334859827595,1908.0
936.4995869062463,1920.0
938.4422464272006,1932.0
940.3617407458614,1944.0
942.258361896955,1956.0
944.1323859236871,1968.0
945.9840709809012,1980.0
947.8136818720124,1992.0
949.6214798284077,2004.0
