Time,TFp53,miR34a,k1,k2,k3,k4,k5,K,g,cell,Constant_synthesis_of_TFp53,Positive_feedback_loop_through_miR34,Degradation_of_P53,Transcriptional_activation_of_miR43a_by_p53,Degradation_of_miR34a
0.0,0.0,0.0,0.5,1.0,0.001,0.06,0.1,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0
12.0,7.806757308431098,0.3151978253407721,0.5,1.0,0.001,0.06,0.1,1.0,1.0,1.0,0.5,0.3151978253407721,0.007806757308431098,0.05318704968257052,0.031519782534077216
24.0,18.61063791073639,0.4851566307694027,0.5,1.0,0.001,0.06,0.1,1.0,1.0,1.0,0.5,0.4851566307694027,0.018610637910736392,0.05694043609019208,0.048515663076940274
36.0,30.58597089337675,0.5494499484351292,0.5,1.0,0.001,0.06,0.1,1.0,1.0,1.0,0.5,0.5494499484351292,0.03058597089337675,0.058100422488118565,0.05494499484351292
48.0,42.907937250400025,0.5739185295256193,0.5,1.0,0.001,0.06,0.1,1.0,1.0,1.0,0.5,0.5739185295256193,0.04290793725040003,0.058633504469639976,0.05739185295256193
60.0,55.27420030809508,0.583933232420683,0.5,1.0,0.001,0.06,0.1,1.0,1.0,1.0,0.5,0.583933232420683,0.05527420030809509,0.05893379204552874,0.0583933232420683
72.0,67.57512269653094,0.5885521356980218,0.5,1.0,0.001,0.06,0.1,1.0,1.0,1.0,0.5,0.5885521356980218,0.06757512269653095,0.059125047136036175,0.05885521356980218
84.0,79.76968922907422,0.5910145355806281,0.5,1.0,0.001,0.06,0.1,1.0,1.0,1.0,0.5,0.5910145355806281,0.07976968922907422,0.059257147073701964,0.059101453558062816
96.0,91.84175357776459,0.5925217537057559,0.5,1.0,0.001,0.06,0.1,1.0,1.0,1.0,0.5,0.5925217537057559,0.0918417535777646,0.05935373904856565,0.05925217537057559
108.0,103.78463990722061,0.5935496066510028,0.5,1.0,0.001,0.06,0.1,1.0,1.0,1.0,0.5,0.5935496066510028,0.10378463990722062,0.059427396992029306,0.05935496066510028
120.0,115.59556788881088,0.5943053874121512,0.5,1.0,0.001,0.06,0.1,1.0,1.0,1.0,0.5,0.5943053874121512,0.11559556788881088,0.05948540067957628,0.05943053874121512
132.0,127.27353070808799,0.5948898326174381,0.5,1.0,0.001,0.06,0.1,1.0,1.0,1.0,0.5,0.5948898326174381,0.127273530708088,0.05953224956334489,0.059488983261743816
144.0,138.81843280232368,0.5953577899210474,0.5,1.0,0.001,0.06,0.1,1.0,1.0,1.0,0.5,0.5953577899210474,0.1388184328023237,0.05957087203169536,0.05953577899210474
156.0,150.23067597182495,0.5957413995903313,0.5,1.0,0.001,0.06,0.1,1.0,1.0,1.0,0.5,0.5957413995903313,0.15023067597182496,0.059603255096134206,0.059574139959033136
