Time,R,ins,IR,I2R,Rp,IRp,I2Rp,Ren,IRen,I2Ren,RPen,IRPen,I2RPen,kins,kins1d,kins2d,kins1den,kins2den,kyd,kyden,kyp,intk1,intk2,reck1,Rtotal,k1ub,k2ub,pansec,Kpan,mliver,vp,rholiver,vhep,vd,mkidney,Kkidney,r1,r2,r3,r4,r5,r6,r7,i1,i2,i3,i4,i5,i6,i7,f1,f2,f3,f4,f5,f6,bw,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_12,parameter_13,parameter_14,compartment1
0.0,35.3837,100.0,0.0,0.0,0.0,0.0,0.0,4.6163,0.0,0.0,0.0,0.0,0.0,0.001,0.0004,0.04,0.001925,0.00385,0.00385,0.00722,0.0231,0.00055,0.0002,0.001533,40.0,0.35,0.2,0.0016976,0.5,10.0,0.00675,1051.0,0.0074215033301617515,0.002121600000000001,1.4782608695652173,3.326086956521739e-05,3.53837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.790000000028799e-08,0.0,0.0,0.0,0.0,0.0,200.0,3.890374035310287,0.49275362318840576,4.383127658498693,88.757944974909,11.242055025091,1.5756014843006663,0.19956521739130434,1.7751667016919705,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.01,35.3483340924839,100.0,0.0353441479837375,1.7674933664929154e-05,5.443195116561286e-12,4.082345154655768e-06,2.722147127399916e-09,4.616299964149575,3.535437842519673e-08,1.178531199635081e-11,5.663573146671746e-17,1.0208965181264718e-11,0.0,0.001,0.0004,0.04,0.001925,0.00385,0.00385,0.00722,0.0231,0.00055,0.0002,0.001533,40.0,0.35,0.2,0.0016976,0.5,10.0,0.00675,1051.0,0.0074215033301617515,0.002121600000000001,1.4782608695652173,3.326086956521739e-05,3.5348192715891966,-1.6323937423506512e-09,0.003533707801027153,4.081256295804808e-07,2.0956301198760952e-14,0.0008164341013954908,4.0828048739342295e-07,6.805717846850371e-11,1.9652257973934582e-14,4.5373451185950624e-14,0.0,4.0890998118970004e-19,8.166124328934357e-10,2.722407071157037e-13,-7.121026544517142e-06,7.068829596747501e-06,3.534986732985831e-09,2.9936704915323685e-15,2.2452898350606725e-09,1.4971809200699539e-12,200.0,3.890355768388623,0.49275362318840576,4.383109391577029,88.75789812284118,11.242101877158822,1.5755940861973923,0.19956521739130434,1.7751593035886966,0.0008841485840269669,4.419416899342138e-07,0.0008841476996176054,4.4194139530141385e-07,8.844093615009013e-10,2.946327999525586e-13,1.0
0.02,35.31300374500598,100.0,0.07060929045593228,7.063214020481238e-05,4.3498467739875226e-11,1.63115147709919e-05,2.1758016721394754e-08,4.616299857605351,1.4130034299685272e-07,9.420856412260408e-11,9.054295695496171e-16,8.160718441602429e-11,9.237055564881302e-14,0.001,0.0004,0.04,0.001925,0.00385,0.00385,0.00722,0.0231,0.00055,0.0002,0.001533,40.0,0.35,0.2,0.0016976,0.5,10.0,0.00675,1051.0,0.0074215033301617515,0.002121600000000001,1.4782608695652173,3.326086956521739e-05,3.5312721307844157,-6.520256061622772e-09,0.007058103759985036,1.6302811564303344e-06,1.6746910079851962e-13,0.0016310118102001673,1.6315186703667885e-06,2.720031602689415e-10,1.5709383000084676e-13,3.627029718720257e-13,3.5562663924793017e-16,6.537201492148236e-18,3.263448719355814e-09,2.1755509158203697e-12,-1.4186932707807923e-05,1.4121858091186457e-05,1.4126428040962478e-08,2.3922769233401255e-14,8.971333124045545e-09,1.1966909196767116e-11,200.0,3.890332099204475,0.49275362318840576,4.383085722392881,88.75783741415411,11.242162585845897,1.5755845001778124,0.19956521739130434,1.7751497175691167,0.001767409933629338,1.7663498130617115e-06,0.00176740639672312,1.7663474555383443e-06,3.5369062179914368e-09,2.3575233672323424e-12,1.0
0.03,35.277708921636304,100.0,0.10579557500297974,0.00015877038721800717,1.4664859544607798e-10,3.666076159902899e-05,7.336871215246458e-08,4.6162996804408545,3.1766239741040203e-07,3.177044735458359e-10,4.580318635901102e-15,2.7520659056701895e-10,3.694822225952521e-13,0.001,0.0004,0.04,0.001925,0.00385,0.00385,0.00722,0.0231,0.00055,0.0002,0.001533,40.0,0.35,0.2,0.0016976,0.5,10.0,0.00675,1051.0,0.0074215033301617515,0.002121600000000001,1.4782608695652173,3.326086956521739e-05,3.5277285739336293,-1.464963978006699e-08,0.010573206684809254,3.6631414114168005e-06,5.645970924674003e-13,0.002443736638636676,3.6673134751941784e-06,6.11500115015024e-10,5.297726868415115e-13,1.2231622231514683e-12,1.4225065569917207e-15,3.306990055120596e-17,7.336014388596393e-09,7.336305677261672e-12,-2.1245625788569e-05,2.115911500059595e-05,3.1754077443601434e-08,8.064970586687406e-14,2.0163418879465946e-08,4.035279168385552e-11,200.0,3.8903030407808643,0.49275362318840576,4.3830566639692705,88.75776288180195,11.242237118198034,1.57557273151625,0.19956521739130434,1.7751379489075543,0.0026497849444046652,3.9711018501028846e-06,0.0026497769880127232,3.971093898253991e-06,7.956391941989216e-09,7.951848893604084e-12,1.0
0.04,35.24244958648147,100.0,0.14090314895143893,0.0002819886544313377,3.472356429602641e-10,6.510340698280303e-05,1.7375804728357948e-07,4.616299432729535,5.642653913100855e-07,7.52486627959045e-10,1.446610714711021e-14,6.518261530736625e-10,1.1439738045737613e-12,0.001,0.0004,0.04,0.001925,0.00385,0.00385,0.00722,0.0231,0.00055,0.0002,0.001533,40.0,0.35,0.2,0.0016976,0.5,10.0,0.00675,1051.0,0.0074215033301617515,0.002121600000000001,1.4782608695652173,3.326086956521739e-05,3.5241885973885663,-2.6006639228825183e-08,0.014079035348966639,6.503390376388959e-06,1.3368572253970168e-12,0.0032546120926613556,6.513268948881858e-06,1.0862108782719146e-09,1.2547653446668003e-12,2.8970735176423233e-12,4.404299147608981e-15,1.0444529360213571e-16,1.3029824354437784e-08,1.7374181614984914e-11,-2.8297113078082532e-05,2.818062979028779e-05,5.639773088626754e-08,1.9095742708588874e-13,3.5806873840541664e-08,9.556692600596872e-11,200.0,3.8902686061170537,0.49275362318840576,4.3830222293054595,88.75767455857763,11.242325441422373,1.5755587854774067,0.19956521739130434,1.775124002868711,0.0035312745110436692,7.054079152730576e-06,0.0035312603692725084,7.054060311965532e-06,1.414177116078677e-08,1.8840765044125438e-11,1.0
0.05,35.20722570368462,100.0,0.17593215936855694,0.00044018613323961077,6.774614263815956e-10,0.00010161284068459105,3.39072706892679e-07,4.616299114544762,8.809345195555943e-07,1.4685478884264723e-09,3.52934474160543e-14,1.272092332502471e-09,2.7782220968219917e-12,0.001,0.0004,0.04,0.001925,0.00385,0.00385,0.00722,0.0231,0.00055,0.0002,0.001533,40.0,0.35,0.2,0.0016976,0.5,10.0,0.00675,1051.0,0.0074215033301617515,0.002121600000000001,1.4782608695652173,3.326086956521739e-05,3.520652197504715,-4.057739013119826e-08,0.017575608491526108,1.0147721160183399e-05,2.608226491569143e-12,0.00406364167197703,1.0166994247913472e-05,1.6957989501445192e-09,2.448777740067257e-12,5.653909370441918e-12,1.0696155072764668e-14,2.5481869034391205e-16,2.034040289509356e-08,3.3903397459112456e-11,-3.534140186019566e-05,3.518643187371139e-05,8.803722664792215e-08,3.725496796549888e-13,5.588706237652508e-08,1.8648998879097348e-10,200.0,3.8902288081886156,0.49275362318840576,4.382982431377021,88.7575724771136,11.2424275228864,1.5755426673163893,0.19956521739130434,1.7751078847076935,0.0044118795273281105,1.101316693181535e-05,0.004411857435379701,1.1013130148662587e-05,2.2091948409519446e-08,3.678315276336736e-11,1.0
0.06,35.17203723742542,100.0,0.21088275306262713,0.000633262226381069,1.1693878826472144e-09,0.00014616252075386584,5.854023693918646e-07,4.616298725959832,1.26749532171004e-06,2.535660914842963e-09,7.313474519638081e-14,2.1964395500981067e-09,5.7340798775840085e-12,0.001,0.0004,0.04,0.001925,0.00385,0.00385,0.00722,0.0231,0.00055,0.0002,0.001533,40.0,0.35,0.2,0.0016976,0.5,10.0,0.00675,1051.0,0.0074215033301617515,0.002121600000000001,1.4782608695652173,3.326086956521739e-05,3.5171193706413173,-5.834806951328162e-08,0.021062944817207472,1.459283598061091e-05,4.5021433481917755e-12,0.004870828870041784,1.4626103630280537e-05,2.439928494291827e-09,4.228146133938856e-12,9.762294522145407e-12,2.2076207528698432e-14,5.280328603178694e-16,2.9263283637950216e-08,5.853236707615629e-11,-4.2378499411338706e-05,4.217655061252543e-05,1.266524452762138e-07,6.430512198915819e-13,8.038938641462622e-08,3.2197130316552557e-10,200.0,3.8901836599474504,0.49275362318840576,4.382937283135856,88.75745666988291,11.2425433301171,1.5755243822787177,0.19956521739130434,1.775089599670022,0.005291600886132208,1.584625425363639e-05,0.005291569080303286,1.584619071876152e-05,3.180582892198247e-08,6.353487487097305e-11,1.0
0.07,35.136884151919986,100.0,0.24575507658357018,0.0008611165474297094,1.8549375703881309e-09,0.0001987259733353417,9.287798812488574e-07,4.6162982670479655,1.7237736812302342e-06,4.023378637343345e-09,1.3539876542008878e-13,3.4851106980796133e-09,1.0587086762825493e-11,0.001,0.0004,0.04,0.001925,0.00385,0.00385,0.00722,0.0231,0.00055,0.0002,0.001533,40.0,0.35,0.2,0.0016976,0.5,10.0,0.00675,1051.0,0.0074215033301617515,0.002121600000000001,1.4782608695652173,3.326086956521739e-05,3.5135901131613654,-7.930489557709786e-08,0.02454106299645983,1.983544613828422e-05,7.141509645994304e-12,0.00567617717408313,1.9888216443083478e-05,3.318264336368201e-09,6.708838093803256e-12,1.5490007753771878e-11,4.076028403687815e-14,9.77579086333041e-16,3.9794009537178275e-08,9.286360775620367e-11,-4.940841300053386e-05,4.915101531671404e-05,1.7222330948594188e-07,1.020008097406083e-12,1.0929928533443794e-07,5.108289346868716e-10,200.0,3.890133174321843,0.49275362318840576,4.382886797510249,88.75732716919998,11.242672830800018,1.5755039356003462,0.19956521739130434,1.7750691529916505,0.006170439479424417,2.155123403191706e-05,0.006170396197105412,2.1551133182773957e-05,4.328231900489754e-08,1.0084914310305683e-10,1.0
0.08,35.101766411420854,100.0,0.28054927622309517,0.0011236489206328563,2.765893922070706e-09,0.00025927679259200723,1.385181333750762e-06,4.616297737882306,2.2495958252181627e-06,6.001034782906722e-09,2.308277003958264e-13,5.198157547694866e-09,1.8047785488306545e-11,0.001,0.0004,0.04,0.001925,0.00385,0.00385,0.00722,0.0231,0.00055,0.0002,0.001533,40.0,0.35,0.2,0.0016976,0.5,10.0,0.00675,1051.0,0.0074215033301617515,0.002121600000000001,1.4782608695652173,3.326086956521739e-05,3.5100644214315966,-1.0343412764459583e-07,0.028009981665484202,2.5872272005850693e-05,1.0648691599972218e-11,0.006479690065102018,2.5950957118484038e-05,4.330471963544963e-09,1.0006453279312618e-11,2.310398391419088e-11,6.94839741299802e-14,1.6665759968578665e-15,5.19281328650452e-08,1.384935984739197e-10,-5.6431149889403856e-05,5.6109855244619036e-05,2.2472978412657127e-07,1.5208877982741817e-12,1.42602235925604e-07,7.618497335629191e-10,200.0,3.8900773642164688,0.49275362318840576,4.3828309874048745,88.75718400722153,11.242815992778471,1.57548133250767,0.19956521739130434,1.7750465498989743,0.007048396198267959,2.8126003026229384e-05,0.007048339677941345,2.8125852549165175e-05,5.6520326613407335e-08,1.5047706420959184e-10,1.0
0.09,35.06668398021695,100.0,0.3152654980155694,0.0014207593801668554,3.9339019094257024e-09,0.0003277886404353476,1.970526303052684e-06,4.61629713853592,2.8447883232260413e-06,8.537744300483847e-09,3.6949016576025576e-13,7.39544132221838e-09,2.887645678129047e-11,0.001,0.0004,0.04,0.001925,0.00385,0.00385,0.00722,0.0231,0.00055,0.0002,0.001533,40.0,0.35,0.2,0.0016976,0.5,10.0,0.00675,1051.0,0.0074215033301617515,0.002121600000000001,1.4782608695652173,3.326086956521739e-05,3.506542291822489,-1.3072206598319648e-07,0.031469719426350275,3.270004299141265e-05,1.5145522351288953e-11,0.007281371017893977,3.2811955155587607e-05,5.47621752221013e-09,1.4236224545270382e-11,3.2870315556862815e-11,1.1117435860796831e-13,2.6677189967890467e-15,6.566121518017514e-08,1.9701340532321596e-10,-6.344671733217542e-05,6.305309960311389e-05,2.841518760333711e-07,2.1630796217600263e-12,1.8028375223944118e-07,1.0837894666789763e-09,200.0,3.890016242512481,0.49275362318840576,4.382769865700887,88.75702721594747,11.242972784052519,1.575456578217555,0.19956521739130434,1.7750217956088592,0.007925471932821537,3.556846182726663e-05,0.007925400414061867,3.55682476617477e-05,7.151875966969479e-08,2.1416551893054707e-10,1.0
