I2R,I2RPen,I2Ren,I2Rp,IR,IRPen,IRen,IRp,R,RPen,Ren,Rp,ins,Time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3837,0.0,4.6163,0.0,100.0,0.0
1.7674933664929154e-05,0.0,1.178531199635081e-11,2.722147127399916e-09,0.0353441479837375,1.0208965181264718e-11,3.535437842519673e-08,4.082345154655768e-06,35.3483340924839,5.663573146671746e-17,4.616299964149575,5.443195116561286e-12,100.0,0.01
7.063214020481238e-05,9.237055564881302e-14,9.420856412260408e-11,2.1758016721394754e-08,0.07060929045593228,8.160718441602429e-11,1.4130034299685272e-07,1.63115147709919e-05,35.31300374500598,9.054295695496171e-16,4.616299857605351,4.3498467739875226e-11,100.0,0.02
0.00015877038721800717,3.694822225952521e-13,3.177044735458359e-10,7.336871215246458e-08,0.10579557500297974,2.7520659056701895e-10,3.1766239741040203e-07,3.666076159902899e-05,35.277708921636304,4.580318635901102e-15,4.6162996804408545,1.4664859544607798e-10,100.0,0.03
0.0002819886544313377,1.1439738045737613e-12,7.52486627959045e-10,1.7375804728357948e-07,0.14090314895143893,6.518261530736625e-10,5.642653913100855e-07,6.510340698280303e-05,35.24244958648147,1.446610714711021e-14,4.616299432729535,3.472356429602641e-10,100.0,0.04
0.00044018613323961077,2.7782220968219917e-12,1.4685478884264723e-09,3.39072706892679e-07,0.17593215936855694,1.272092332502471e-09,8.809345195555943e-07,0.00010161284068459105,35.20722570368462,3.52934474160543e-14,4.616299114544762,6.774614263815956e-10,100.0,0.05
0.000633262226381069,5.7340798775840085e-12,2.535660914842963e-09,5.854023693918646e-07,0.21088275306262713,2.1964395500981067e-09,1.26749532171004e-06,0.00014616252075386584,35.17203723742542,7.313474519638081e-14,4.616298725959832,1.1693878826472144e-09,100.0,0.06
0.0008611165474297094,1.0587086762825493e-11,4.023378637343345e-09,9.287798812488574e-07,0.24575507658357018,3.4851106980796133e-09,1.7237736812302342e-06,0.0001987259733353417,35.136884151919986,1.3539876542008878e-13,4.6162982670479655,1.8549375703881309e-09,100.0,0.07
0.0011236489206328563,1.8047785488306545e-11,6.001034782906722e-09,1.385181333750762e-06,0.28054927622309517,5.198157547694866e-09,2.2495958252181627e-06,0.00025927679259200723,35.101766411420854,2.308277003958264e-13,4.616297737882306,2.765893922070706e-09,100.0,0.08
0.0014207593801668554,2.887645678129047e-11,8.537744300483847e-09,1.970526303052684e-06,0.3152654980155694,7.39544132221838e-09,2.8447883232260413e-06,0.0003277886404353476,35.06668398021695,3.6949016576025576e-13,4.61629713853592,3.9339019094257024e-09,100.0,0.09
