Time,VENUS,p1_star,p2,lambda_star,qj_star,cell,VENUSproduction,VENUSdecayduetophotobleaching,VENUSdecayduetoauxin
0.0,1.0,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002756,0.024537037037037038
0.01,0.9997800984078278,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027553939512119734,0.02453303996951988
0.02,0.999560238516682,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027547880173519755,0.024529043204306263
0.03,0.9993404234294699,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002754182206971619,0.02452504679799399
0.04,0.9991206541788612,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027535765229169417,0.02452105076956165
0.05,0.9989009309214071,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002752970965619398,0.024517055122063404
0.06,0.9986812536663159,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027523655351043667,0.024513059855874833
0.07,0.9984616224132683,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027517602313709678,0.02450906497119831
0.08,0.9982420371587686,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002751155054409566,0.02450507046817844
0.09,0.998022497898261,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027505500042076074,0.024501076346940535
0.1,0.9978030046268361,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027499450807515606,0.024497082607603457
0.11,0.9975835573394657,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002749340284027568,0.024493089250283876
0.12,0.9973641560310814,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027487356140216603,0.024489096275097714
0.13,0.9971448006966008,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027481310707198323,0.024485103682160624
0.14,0.996925491330936,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027475266541080595,0.024481111471588116
0.15,0.9967062279289965,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027469223641723144,0.024477119643495655
0.16,0.9964870104861999,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002746318200899967,0.02447312819800792
0.17,0.9962678389976567,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002745714164277542,0.024469137135243985
0.18,0.9960487134578961,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027451102542899617,0.024465146455312316
0.19,0.9958296338616418,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002744506470922685,0.024461156158324893
0.2,0.995610600203667,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027439028141613064,0.024457166244394576
0.21,0.9953916124788419,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027432992839916885,0.02445317671363597
0.22,0.9951726706820604,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027426958803997586,0.024449187566164095
0.23,0.99495377480823,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027420926033714823,0.02444519880209419
0.24,0.9947349248522559,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027414894528928176,0.024441210421541414
0.25,0.9945161208090402,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027408864289497144,0.024437222424620878
0.26,0.994297362673482,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027402835315281163,0.0244332348114476
0.27,0.9940786504404783,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027396807606139585,0.024429247582136535
0.28,0.9938599841049246,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002739078116193172,0.024425260736802585
0.29,0.9936413636617158,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027384755982516893,0.02442127427556064
0.3,0.9934227891057456,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027378732067754345,0.024417288198525514
0.31,0.9932042604319067,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002737270941750335,0.024413302505812008
0.32,0.9929857776350909,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002736668803162311,0.02440931719753487
0.33,0.992767340710189,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027360667909972812,0.024405332273808807
0.34,0.9925489496520907,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002735464905241162,0.024401347734748488
0.35000000000000003,0.9923306044556848,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002734863145879868,0.024397363580468543
0.36,0.9921123051158591,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002734261512899308,0.024393379811083565
0.37,0.9918940516275003,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027336600062853908,0.024389396426708083
0.38,0.9916758439854941,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027330586260240217,0.02438541342745661
0.39,0.9914576821847254,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002732457372101103,0.024381430813443614
0.4,0.9912395662200777,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027318562445025345,0.024377448584783506
0.41000000000000003,0.9910214960864338,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027312552432142115,0.024373466741590674
0.42,0.9908034717786753,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027306543682220296,0.024369485283979458
0.43,0.9905854932916831,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002730053619511879,0.02436550421206415
0.44,0.9903675606203368,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027294529970696485,0.024361523525959015
0.45,0.9901496737595152,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002728852500881224,0.02435754322577827
0.46,0.989931832704096,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002728252130932489,0.024353563311636083
0.47000000000000003,0.9897140374489559,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027276518872093227,0.024349583783646593
0.48,0.9894962879889706,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027270517696976033,0.02434560464192389
0.49,0.9892785843190148,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027264517783832046,0.024341625886582032
0.5,0.9890609264339624,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027258519132520006,0.024337647517735025
0.51,0.9888433143286859,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002725252174289858,0.024333669535496837
0.52,0.988625747998057,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027246525614826453,0.0243296919399814
0.53,0.9884082274369467,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002724053074816225,0.02432571473130259
0.54,0.9881907526402244,0.056,0.0053,0.52,0.16,1.0,0.0053,0.0027234537142764585,0.024321737909574266
0.55,0.987973323602759,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002722854479849204,0.024317761474910222
0.56,0.9877559403194183,0.056,0.0053,0.52,0.16,1.0,0.0053,0.002722255371520317,0.024313785427424232
