Time,M,MpY,MpT,Mpp,MAPKK,MKP,MpY_MAPKK,MpT_MAPKK,M_MAPKK_Y,M_MAPKK_T,Mpp_MKP_Y,Mpp_MKP_T,MpY_MKP_Y,MpY_MKP_T,MpT_MKP_Y,MpT_MKP_T,M_MKP_T,M_MKP_Y,k1,k_1,k2,k3,k_3,k4,k5,k_5,k6,k7,k_7,k8,h1,h_1,h2,h3,h_3,h4,h_4,h5,h6,h_6,h7,h_7,h8,h9,h_9,h10,h_10,h11,h12,h_12,cell,reaction_0000001,reaction_0000002,reaction_0000003,reaction_0000004,reaction_0000005,reaction_0000006,reaction_0000007,reaction_0000008,reaction_0000009,reaction_0000010,reaction_0000011,reaction_0000013,reaction_0000012,reaction_0000015,reaction_0000017,reaction_0000014,reaction_0000019,reaction_0000020,reaction_0000021,reaction_0000022
0.0,800.0,0.0,0.0,0.0,180.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,0.01,0.032,1.0,15.0,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,0.045,1.0,0.092,1.0,0.01,1.0,2880.0,0.0,0.0,0.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,-144.0,0.0,0.0,0.0
0.01,750.1107001839539,0.0012399421013180693,0.0012399421006689603,1.496430916520706e-06,132.3300873313789,97.78309423320904,1.8819853115671955e-05,1.881985311092996e-05,23.83493751445753,23.83493751445753,1.3926897262983538e-08,1.3926897262983538e-08,4.198402789800668e-06,4.2034579906192725e-06,4.203457989544361e-06,4.198080585690871e-06,0.8410318444955523,1.3758570910423868,0.02,1.0,0.01,0.032,1.0,15.0,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,0.045,1.0,0.092,1.0,0.01,1.0,1961.4093517564304,0.2383493751445753,0.0052317928365890835,0.0002822977967350793,1961.4093517564304,0.2383493751445753,0.0052317928338451326,0.00028229779666394937,6.570727142300437e-06,1.2812745481944854e-09,-0.0012082502947448168,0.0012082556721486704,2.0990402928454356e-06,-80.61063107094196,0.0012082553505792795,1.9732493112063138e-06,-131.83404151382084,6.570727142300437e-06,1.2812745481944854e-09,-0.0012082502953784607
0.02,715.059590580262,0.004350462128017193,0.0043504621090980754,1.764647695312474e-05,99.33424070671812,95.73406844425877,0.00010527460580512808,0.00010527460559174085,40.33277437203533,40.33277437203533,3.387081984956252e-07,3.387081984956252e-07,2.9763626147843155e-05,2.983684898019336e-05,2.983684891801077e-05,2.9758969046250573e-05,1.6186227210904172,2.647188960941487,0.02,1.0,0.01,0.032,1.0,15.0,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,0.045,1.0,0.092,1.0,0.01,1.0,1380.2652554349056,0.4033277437203533,0.013723520664912343,0.0015791190870769211,1380.2652554349056,0.4033277437203533,0.013723520604987613,0.0015791190838761128,7.568289826087592e-05,3.1161154261597516e-08,-0.004135037524247485,0.004135115404119245,1.4879484523125287e-05,-75.16191861095413,0.004135110765129692,1.3988904289486281e-05,-122.84940836087021,7.568289826087592e-05,3.1161154261597516e-08,-0.004135037542297342
0.03,689.6429459460646,0.008707290397227948,0.008707290265356344,6.697749172738085e-05,75.84883781695507,93.81158968726444,0.0002537764590656215,0.0002537764573225463,52.075327315064364,52.075327315064364,1.9843781378722955e-06,1.9843781378722955e-06,8.992571430245733e-05,9.026393465849003e-05,9.02639340137891e-05,8.990425738098175e-05,2.348410927579489,3.8396350585595753,0.02,1.0,0.01,0.032,1.0,15.0,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,0.045,1.0,0.092,1.0,0.01,1.0,994.096991858339,0.5207532731506437,0.02088023497019751,0.0038066468859843227,994.096991858339,0.5207532731506437,0.020880234651866735,0.0038066468598381945,0.0002807625456116317,1.8256278868425118e-07,-0.008078183482601425,0.008078543159234232,4.495212869049087e-05,-70.96418784361752,0.008078521826023604,4.226508572215494e-05,-115.91615302825696,0.0002807625456116317,1.8256278868425118e-07,-0.00807818360566757
0.04,670.7560054575251,0.013921985773522744,0.013921985260346778,0.00016100253123611092,58.795600901944624,91.98840952914625,0.0004372878754617589,0.0004372878683198636,60.60176226115588,60.60176226115588,6.53405533682664e-06,6.53405533682664e-06,0.00019238032423564912,0.0001933617988945591,0.00019336179557916325,0.00019231823070654905,3.0407045940356023,4.970101386558211,0.02,1.0,0.01,0.032,1.0,15.0,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,0.045,1.0,0.092,1.0,0.01,1.0,728.1482857281089,0.6060176226115589,0.025756360742221252,0.006559318131926383,728.1482857281089,0.6060176226115589,0.025756359783843493,0.006559318024797954,0.0006599324496991173,6.011330909880509e-07,-0.01261325102029601,0.012614294585168623,9.615911535327452e-05,-67.61045534149014,0.012614232963701932,9.041875239075509e-05,-110.36738642937178,0.0006599324496991173,6.011330909880509e-07,-0.012613251489043022
0.05,656.4367404335991,0.019738293090780144,0.01973829163750278,0.00030271292247796707,46.23069342079893,90.24582631045159,0.0006303515528269698,0.0006303515326616932,66.88402293805788,66.88402293805788,1.575395891591724e-05,1.575395891591724e-05,0.00034139130878248615,0.0003436028285912517,0.00034360281696354817,0.000341251796309815,3.702577915383128,6.050194417496976,0.02,1.0,0.01,0.032,1.0,15.0,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,0.045,1.0,0.092,1.0,0.01,1.0,540.0664910046278,0.6688402293805789,0.02857012769612441,0.009455273292404547,540.0664910046278,0.6688402293805789,0.028570125566337038,0.009455272989925398,0.0012135820431584943,1.4493642202643862e-06,-0.017469381570867606,0.01747173259152134,0.0001706258981549075,-64.8463219663436,0.017471594390570833,0.00016045391512776848,-105.78618969129566,0.0012135820431584943,1.4493642202643862e-06,-0.017469382870762065
0.06,645.3897640005603,0.025979574017889927,0.02597957064872611,0.0004887904770357565,36.87161546679424,88.57059646891028,0.0008148748548753399,0.0008148748096861241,71.5633773917707,71.5633773917707,3.1274949192820425e-05,3.1274949192820425e-05,0.0005389950809550006,0.0005432458348548238,0.0005432458028141945,0.0005387276971003435,4.339040265075039,7.08813650170074,0.02,1.0,0.01,0.032,1.0,15.0,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,0.045,1.0,0.092,1.0,0.01,1.0,404.3678866969041,0.715633773917707,0.029838208766844853,0.012223122823130098,404.3678866969041,0.715633773917707,0.029838204836785665,0.012223122145291861,0.001916885935279286,2.877295325739479e-06,-0.022467014880824466,0.02247153298653832,0.00026936384855017175,-62.5056545249083,0.02247126858677215,0.0002533276880488503,-101.90026232418785,0.001916885935279286,2.877295325739479e-06,-0.022467017832872326
0.07,636.7304100246657,0.032520038451933284,0.03252003164457871,0.0007122726987647227,29.84306160844951,86.95310075901206,0.0009801990173082308,0.0009801989306400295,75.07748899680138,75.07748899680138,5.440689773934327e-05,5.440689773934327e-05,0.0007857372991340147,0.0007930638221655366,0.0007930637473709953,0.0007852777515675887,4.953730225573782,8.089903058998608,0.02,1.0,0.01,0.032,1.0,15.0,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,0.045,1.0,0.092,1.0,0.01,1.0,304.962208089987,0.7507748899680138,0.03007572133565791,0.014702985259623462,304.962208089987,0.7507748899680138,0.030075714921452452,0.014702983959600442,0.0027326374907218638,5.005434592019581e-06,-0.027484112135402135,0.02749189813120554,0.00039263887578379434,-60.47623104972266,0.027491444502845002,0.0003692965305929869,-98.52564387030347,0.0027326374907218638,5.005434592019581e-06,-0.02748411797981348
0.08,629.8383888690106,0.03926797185354341,0.03926795941121996,0.0009647090732233404,24.53168897153452,85.38620053781469,0.0011215193112968222,0.0011215191624590758,77.73303399499596,77.73303399499596,8.606568483607337e-05,8.606568483607337e-05,0.0010811477846543772,0.0010928127396784427,0.0010928125849811803,0.0010804181411908477,5.549348365461542,9.059931774103767,0.02,1.0,0.01,0.032,1.0,15.0,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,0.045,1.0,0.092,1.0,0.01,1.0,231.28695516634363,0.7773303399499597,0.029704390194434337,0.01682278966945233,231.28695516634363,0.7773303399499597,0.029704380575873403,0.016822787436886137,0.003620712222574314,7.91804300491875e-06,-0.03243660598499077,0.0324490004287811,0.0005402090705954239,-58.6802137167921,0.03244828140934483,0.0005081394587875573,-95.53472211271567,0.003620712222574314,7.91804300491875e-06,-0.03243661645432076
0.09,624.2697149128284,0.04615540815236046,0.046155387080520194,0.0012376402481383364,20.49876756922151,83.86449577908853,0.0012380994926044235,0.0012380992569084616,79.7493781160146,79.7493781160146,0.00012677654328122688,0.00012677654328122688,0.0014240597534251969,0.0014415464052996202,0.0014415461135046555,0.0014229688902123372,6.127937932111966,10.001582614550687,0.02,1.0,0.01,0.032,1.0,15.0,0.02,1.0,0.01,0.032,1.0,15.0,0.045,1.0,0.092,1.0,0.01,0.01,1.0,0.5,0.086,0.0011,0.01,1.0,0.47,0.14,0.0018,0.045,1.0,0.092,1.0,0.01,1.0,176.18581761403027,0.797493781160146,0.029038027988284816,0.018571492389066354,176.18581761403027,0.797493781160146,0.02903801440168459,0.018571488853626923,0.004543956848190015,1.1663441981872874e-05,-0.03726643653646018,0.037285013759752496,0.0007114844451061686,-57.06246869629004,0.03728394056833222,0.0006693080841098425,-92.83709520233836,0.004543956848190015,1.1663441981872874e-05,-0.0372664539164578
