I_2_task1,T_1_task1,VI_3_task1,VNI_4_task1,_1_task1
1000000.0,1000000.0,10000000.0,1000000.0,0.0
895398.5120331027,1590078.0688681975,1466781.2315620163,283935.080745939,0.35
690760.0272703638,2941399.7031449177,372553.35172821494,163394.21319584321,0.7
527470.8139418524,5372144.491826702,192756.60469706627,118098.73925704144,1.05
417678.5044182064,9276264.98551974,138317.59007650576,90937.49033066459,1.4
352695.90613642195,14659281.208020525,111490.65733875653,74171.06209852853,1.75
321832.67185981426,20717993.490816273,97629.15805964477,65066.99779415529,2.1
315765.0157244463,26157871.102323525,92427.52968594835,61616.01481090765,2.45
327219.06186207396,30133836.91542657,93324.6855619567,62216.16899286529,2.8
351135.46112199285,32620618.29162509,98531.2364325037,65687.45618522854,3.15
384396.08856061724,34023102.36853313,106877.36997724196,71251.5760249405,3.5
425309.9097164045,34762702.31536931,117677.82185554081,78451.88075550558,3.85
473126.3975111466,35132329.918358915,130585.38485624231,87056.92318815262,4.2
527684.6605806907,35304321.3730791,145471.4981549342,96980.99876639922,4.55
589192.6244035161,35372166.54748484,162345.03072331168,108230.0204818447,4.9
658094.4275806671,35384615.95271526,181301.80462406648,120867.869749062,5.25
734995.642666295,35366459.63667868,202494.91512028483,134996.6100795748,5.6
820620.4389626543,35330055.86382147,226117.90637536778,150745.2709168444,5.95
915785.2356129958,35281377.942976706,252394.50519676897,168263.00346450883,6.3
1021387.4741577882,35223179.26910646,281574.15377581265,187716.10251721344,6.65
1138390.946658925,35156510.63823761,313926.4810313683,209284.3206875773,7.0
1267819.3043495268,35081557.93377137,349741.2275383033,233160.8183589072,7.35
1410746.3595215224,34998084.452195495,389322.0881804354,259548.05878694795,7.7
1568283.9404029637,34905590.9083179,432986.11239869805,288657.4082657971,8.05
1741566.9880286648,34803447.33689308,481059.877644279,320706.58509618574,8.4
1931735.1467436973,34690950.344512165,533873.1499831068,355915.4333220714,8.75
2139911.030621006,34567363.77911546,591753.8539055906,394502.56927039794,9.1
2367172.265406605,34431941.21137217,655020.935744004,436680.62382935535,9.45
2614518.9674326587,34283946.895362236,723975.7229880468,482650.48199204134,9.8
2882832.1775076427,34122685.60742659,798889.8986733726,532593.2657822568,10.15
3172834.727625768,33947524.46399589,879995.4508570116,586663.6339046925,10.5
3485038.7336620246,33757920.96956317,967470.0451944619,644980.0301296449,10.85
3819691.282487007,33553455.164131332,1061421.588075901,707614.3920506011,11.2
4176730.494246254,33333858.236955598,1161875.3955949761,774583.5970633199,11.55
4555732.905184566,33099044.56126825,1268759.0459668892,845839.3639779317,11.9
4955862.217739041,32849146.707736753,1381886.7983644446,921257.8655763074,12.25
5375833.968436534,32584543.99179755,1500948.1622360596,1000632.1081573816,12.6
5813889.033438804,32305888.359791066,1625498.5957120296,1083665.7304746876,12.95
