Time,T,I,VI,VNI,s,r,k,d1,alpha,d2,beta,d3,nr,c,n1,compartment,Formation_of_target_cells,Removal_of_target_cell,Formation_infected_cell,Removal_of_infected_cell,Formation_of_infected_virion,Removal_of_infected_virion,Formation_of_non_infected_virion,Removal_of_non_infected_virion
0.0,1000000.0,1000000.0,10000000.0,1000000.0,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,1934723.1669444444,1359999.9999999998,1349999.9999999998,1000000.0,1740000.0,60000000.0,1160000.0,6000000.0
0.35,1590078.0688681975,895398.5120331027,1466781.2315620163,283935.080745939,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,3024494.795608945,330760.8308868053,314860.0501981233,895398.5120331027,1557993.4109375987,8800687.389372097,1038662.2739583991,1703610.484475634
0.7,2941399.7031449177,690760.0272703638,372553.35172821494,163394.21319584321,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,5375132.188186974,177350.81998561622,147936.82295416706,690760.0272703638,1201922.447450433,2235320.1103692898,801281.6316336219,980365.2791750593
1.05,5372144.491826702,527470.8139418524,192756.60469706627,118098.73925704144,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,9095255.088505002,193516.1497634528,139794.70484518577,527470.8139418524,917799.2162588232,1156539.6281823977,611866.1441725488,708592.4355422487
1.4,9276264.98551974,417678.5044182064,138317.59007650576,90937.49033066459,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,13703165.21834788,265977.1832457994,173214.53339060198,417678.5044182064,726760.5976876791,829905.5404590345,484507.0651251194,545624.9419839876
1.75,14659281.208020525,352695.90613642195,111490.65733875653,74171.06209852853,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,17293077.9653981,367233.15330965025,220640.341229445,352695.90613642195,613690.8766773742,668943.9440325391,409127.25111824943,445026.3725911712
2.1,20717993.490816273,321832.67185981426,97629.15805964477,65066.99779415529,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,17501635.900697637,480241.7701692978,273061.8352611351,321832.67185981426,559988.8490360768,585774.9483578687,373325.89935738454,390401.98676493176
2.45,26157871.102323525,315765.0157244463,92427.52968594835,61616.01481090765,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14231215.853077978,587969.2110804496,326390.5000572144,315765.0157244463,549431.1273605365,554565.1781156901,366287.41824035766,369696.08886544587
2.8,30133836.91542657,327219.06186207396,93324.6855619567,62216.16899286529,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,9771452.206561921,680989.5345667738,379651.1654125081,327219.06186207396,569361.1676400087,559948.1133717402,379574.11176000576,373297.0139571917
3.15,32620618.29162509,351135.46112199285,98531.2364325037,65687.45618522854,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,6093684.3727349825,760116.4131342373,433910.23021798645,351135.46112199285,610975.7023522676,591187.4185950223,407317.13490151166,394124.73711137124
3.5,34023102.36853313,384396.08856061724,106877.36997724196,71251.5760249405,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,3717992.982337983,831131.4831333957,490900.4594480644,384396.08856061724,668849.194095474,641264.2198634518,445899.462730316,427509.456149643
3.85,34762702.31536931,425309.9097164045,117677.82185554081,78451.88075550558,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,2377596.4134440063,899884.9003421983,552257.8771885053,425309.9097164045,740039.2429065439,706066.9311332449,493359.4952710292,470711.2845330335
4.2,35132329.918358915,473126.3975111466,130585.38485624231,87056.92318815262,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,1685046.569666288,970672.0903271147,619348.7911435255,473126.3975111466,823239.9316693951,783512.3091374538,548826.62111293,522341.53912891576
4.55,35304321.3730791,527684.6605806907,145471.4981549342,96980.99876639922,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,1357646.7989062273,1046372.5041312767,693329.2904004857,527684.6605806907,918171.3094104019,872828.9889296052,612114.2062736012,581885.9925983953
4.9,35372166.54748484,589192.6244035161,162345.03072331168,108230.0204818447,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,1227598.5057728228,1128958.553236554,775236.8877617056,589192.6244035161,1025195.1664621179,974070.18433987,683463.4443080786,649380.1228910682
5.25,35384615.95271526,658094.4275806671,181301.80462406648,120867.869749062,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,1203679.7404456702,1219910.9478283217,866064.7883011689,658094.4275806671,1145084.3039903608,1087810.827744399,763389.5359935737,725207.218494372
5.6,35366459.63667868,734995.642666295,202494.91512028483,134996.6100795748,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,1238557.338863601,1320470.9090684075,966806.3127016207,734995.642666295,1278892.4182393535,1214969.490721709,852594.9454929022,809979.6604774488
5.95,35330055.86382147,820620.4389626543,226117.90637536778,150745.2709168444,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,1308377.821368741,1431782.9242852475,1078482.3656470329,820620.4389626543,1427879.5637950185,1356707.4382522067,951919.709196679,904471.6255010664
6.3,35281377.942976706,915785.2356129958,252394.50519676897,168263.00346450883,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,1401510.5225037276,1554965.2797877702,1202151.5003580032,915785.2356129958,1593466.3099666126,1514367.0311806137,1062310.8733110751,1009578.020787053
6.65,35223179.26910646,1021387.4741577882,281574.15377581265,187716.10251721344,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,1512514.9076576028,1691153.2736500385,1338921.4809589738,1021387.4741577882,1777214.2050345514,1689444.922654876,1184809.4700230341,1126296.6151032806
7.0,35156510.63823761,1138390.946658925,313926.4810313683,209284.3206875773,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,1639214.1680950772,1841500.6618328884,1489935.5554505123,1138390.946658925,1980800.2471865295,1883558.88618821,1320533.498124353,1255705.9241254637
7.35,35081557.93377137,1267819.3043495268,349741.2275383033,233160.8183589072,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,1781069.9864603365,2007193.6426590094,1656378.0633212957,1267819.3043495268,2206005.589568177,2098447.36522982,1470670.393045451,1398964.9101534432
7.7,34998084.452195495,1410746.3595215224,389322.0881804354,259548.05878694795,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,1938321.2504530908,2189427.032889892,1839446.188367937,1410746.3595215224,2454698.665567449,2335932.5290826126,1636465.777044966,1557288.3527216876
8.05,34905590.9083179,1568283.9404029637,432986.11239869805,288657.4082657971,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,2111665.2405185113,2389396.7837133864,2040340.8746302072,1568283.9404029637,2728814.056301157,2597916.6743921884,1819209.3708674377,1731944.4495947824
8.4,34803447.33689308,1741566.9880286648,481059.877644279,320706.58509618574,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,2301995.565491631,2608277.659229391,2260243.18586046,1741566.9880286648,3030326.559169877,2886359.265865674,2020217.7061132512,1924239.5105771143
8.75,34690950.344512165,1931735.1467436973,533873.1499831068,355915.4333220714,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,2510283.288697143,2847186.0398499747,2500276.536404853,1931735.1467436973,3361219.1553340335,3203238.899898641,2240812.7702226886,2135492.5999324284
9.1,34567363.77911546,2139911.030621006,591753.8539055906,394502.56927039794,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,2737490.484937433,3107148.687103647,2761475.0493124924,2139911.030621006,3723445.1932805507,3550523.1234335434,2482296.795520367,2367015.4156223875
9.45,34431941.21137217,2367172.265406605,655020.935744004,436680.62382935535,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,2984518.6236720774,3389061.1296007177,3044741.717486996,2367172.265406605,4118879.7418074924,3930125.614464024,2745919.8278716616,2620083.742976132
9.8,34283946.895362236,2614518.9674326587,723975.7229880468,482650.48199204134,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,3252160.6682750164,3693640.0764148687,3350800.607461246,2614518.9674326587,4549263.003332826,4343854.337928281,3032842.0022218837,2895902.8919522483
10.15,34122685.60742659,2882832.1775076427,798889.8986733726,532593.2657822568,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,3541038.767110385,4021363.1504706163,3680136.29439635,2882832.1775076427,5016127.988863298,4793339.392040236,3344085.3259088653,3195559.594693541
10.5,33947524.46399589,3172834.727625768,879995.4508570116,586663.6339046925,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,3851559.187506359,4372420.30262338,4032945.0579834213,3172834.727625768,5520732.426068837,5279972.70514207,3680488.284045891,3519981.803428155
10.85,33757920.96956317,3485038.7336620246,967470.0451944619,644980.0301296449,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,4183859.5274602706,4746649.148718369,4409069.939022738,3485038.7336620246,6063967.396571923,5804820.271166772,4042644.931047948,3869880.180777869
11.2,33553455.164131332,3819691.282487007,1061421.588075901,707614.3920506011,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,4537753.717187872,5143473.376516998,4807938.824875684,3819691.282487007,6646262.831527391,6368529.5284554055,4430841.887684927,4245686.352303606
11.55,33333858.236955598,4176730.494246254,1161875.3955949761,774583.5970633199,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,4912689.580217511,5561860.1953484565,5228521.612978901,4176730.494246254,7267511.059988482,6971252.373569857,4845007.373325654,4647501.5823799195
11.9,33099044.56126825,4555732.905184566,1268759.0459668892,845839.3639779317,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,5307708.00758901,6000276.592608668,5669286.146995985,4555732.905184566,7926975.255021145,7612554.275801335,5284650.170014096,5075036.1838675905
12.25,32849146.707736753,4955862.217739041,1381886.7983644446,921257.8655763074,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,5721406.286497177,6456654.760426735,6128163.293349367,4955862.217739041,8623200.258865932,8291320.790186668,5748800.172577287,5527547.193457845
12.6,32584543.99179755,5375833.968436534,1500948.1622360596,1000632.1081573816,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,6151922.59705245,6928386.481859431,6602541.041941456,5375833.968436534,9353951.105079569,9005688.973416358,6235967.403386379,6003792.64894429
12.95,32305888.359791066,5813889.033438804,1625498.5957120296,1083665.7304746876,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,6596935.350091645,7412337.665477357,7089278.7818794465,5813889.033438804,10116166.918183519,9752991.574272178,6744111.278789012,6501994.382848126
13.3,32014125.989114933,6267780.967490911,1754953.5055050608,1169969.0036700277,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,7053679.863519553,7904887.114978668,7584745.855087519,6267780.967490911,10905938.883434184,10529721.033030365,7270625.922289455,7019814.022020167
13.65,31710507.834297318,6734785.628902894,1888588.3209321946,1259058.8806214428,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,7518991.749949345,8401997.869145146,8084892.790802172,6734785.628902894,11718526.994291035,11331529.925593168,7812351.329527357,7554353.283728657
14.0,31396587.145915817,7211736.222557431,2025545.6031430033,1350363.7354286537,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,7989376.796559418,8899320.442818455,8585354.571359297,7211736.222557431,12548421.02724993,12153273.61885802,8365614.018166619,8102182.412571922
14.35,31074206.45877313,7695081.056040012,2164848.3605882833,1443232.2403921802,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,8461099.273731818,9392319.627283404,9081577.562695673,7695081.056040012,13389441.037509622,12989090.1635297,8926294.025006413,8659393.442353081
14.7,30745473.258206613,8180961.303227988,2305419.295128192,1536946.196752116,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,8930285.237526251,9876417.716369908,9568962.983787842,8180961.303227988,14234872.667616699,13832515.77076915,9489915.111744465,9221677.180512697
15.05,30412719.87379632,8665311.937855907,2446107.2552926308,1630738.170195067,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,9393041.730407346,10347151.788162164,10043024.5894242,8665311.937855907,15077642.771869278,14676643.531755785,10051761.847912852,9784429.021170402
15.4,30078449.53626686,9143982.106525708,2585719.7784976936,1723813.1856651076,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,9845582.754877687,10800334.148146119,10499549.65278345,9143982.106525708,15910528.865354732,15514318.67098616,10607019.243569821,10342879.113990646
15.75,29745271.972450882,9612866.056496326,2723059.5875591054,1815373.058372725,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,10284351.764730467,11232202.7036578,10934749.983933292,9612866.056496326,16726386.938303607,16338357.525354631,11150924.625535738,10892238.35023635
16.1,29415831.6825096,10068035.945153397,2856962.654193336,1904641.7694622255,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,10706132.321826356,11639549.212285647,11345390.895460552,10068035.945153397,17518382.54456691,17141775.925160017,11678921.696377939,11427850.616773352
16.45,29092731.78000758,10505866.460418351,2986335.372871659,1990890.2485811135,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,11108140.788958766,12019815.608894128,11728888.291094052,10505866.460418351,18280207.64112793,17918012.237229954,12186805.094085285,11945341.491486682
16.8,28778459.79748689,10923152.10337998,3110189.937027212,2073459.9580181423,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,11488092.76319009,12371158.866788464,12083374.268813595,10923152.10337998,19006284.659881163,18661139.622163273,12670856.439920776,12440759.748108853
17.15,28475313.42962721,11317200.943856975,3227675.1281658625,2151783.418777242,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,11844247.731965533,12692476.35897351,12407723.224677239,11317200.943856975,19691929.642311137,19366050.768995173,13127953.09487409,12910700.51266345
