species_1,species_10,species_11,species_12,species_13,species_14,species_15,species_7,species_8,species_9,Time
6.69999967735732e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.693194679646279e-05,1.3075024216480003e-09,9.354002275329695e-09,2.596147620723244e-09,1.4585651720406286e-09,1.235762987947295e-09,1.3169364384621388e-09,4.542491863099929e-08,3.042939574451219e-09,2.369860949850161e-09,0.01
6.686396591334478e-05,2.6136772813160103e-09,1.8698507040309993e-08,5.189659264014514e-09,2.915649401762773e-09,2.4702712539668017e-09,5.169724660657706e-09,8.828971478463908e-08,6.059471278109889e-09,4.737315680604438e-09,0.02
6.679605406814105e-05,3.918525656480275e-09,2.8033522003313032e-08,7.78053706928659e-09,4.371253891129273e-09,3.7035258164163003e-09,1.1422079531378235e-08,1.2873064274938968e-07,9.04978891814916e-09,7.1023661451990815e-09,0.03
6.672821119084354e-05,5.222048892265806e-09,3.7359056787496836e-08,1.0368783707389668e-08,5.825380140674631e-09,4.9355279466171105e-09,1.9938945921960694e-08,1.6688268609713048e-07,1.2014097207353762e-08,9.465014781686354e-09,0.04
6.666043721038568e-05,6.524248354135234e-09,4.6675121161516784e-08,1.2954401889555864e-08,7.278029673620681e-09,6.166278935112294e-09,3.059128154794278e-08,2.0287498016607974e-07,1.495260221349755e-08,1.1825264064980653e-08,0.05
6.659273205668205e-05,7.825125388700105e-09,5.598172475916568e-08,1.5537394289587007e-08,8.729203992160204e-09,7.3957800546281424e-09,4.325916834548556e-08,2.3682696509136038e-07,1.7865504593040605e-08,1.4183116435828598e-08,0.06
6.652509565986214e-05,9.124681338441581e-09,6.527887718468722e-08,1.811776357308372e-08,1.0178904593878396e-08,8.624032573987189e-09,5.782898949867206e-08,2.688523277381292e-07,2.0753003741376203e-08,1.653857432749045e-08,0.07
6.645752795013632e-05,1.0422917544288254e-08,7.456658803121783e-08,2.069551240256388e-08,1.1627132974628501e-08,9.851037760544579e-09,7.419360523056728e-08,2.9905790005571236e-07,2.3615297535016392e-08,1.8891640170412417e-08,0.08
6.639002885777808e-05,1.1719835345954407e-08,8.384486688320663e-08,2.3270643438134266e-08,1.3073890628909163e-08,1.1076796880507775e-08,9.225205551754081e-08,3.275442443411892e-07,2.645258223679901e-08,2.1242316392839767e-08,0.09
6.632259831312381e-05,1.30154360819471e-08,9.311372331646616e-08,2.5843159337504612e-08,1.4519179049872326e-08,1.2301311198943259e-08,1.119090447843014e-07,3.544064186295836e-07,2.926505261181945e-08,2.3590605420829658e-08,0.1
6.625523624658011e-05,1.4309721089423633e-08,1.0237316689715263e-07,2.8413062755704612e-08,1.5962999729164225e-08,1.3524581979641804e-08,1.3307431455591883e-07,3.7973476604846273e-07,3.205290201332014e-08,2.59365096779928e-08,0.11
6.618794258862272e-05,1.5602691704213503e-08,1.1162320718192307e-07,3.098035634512748e-08,1.7405354156949874e-08,1.4746610485139237e-08,1.5566312761384567e-07,4.036139664975843e-07,3.481632226265239e-08,2.8280031585533242e-08,0.12
6.612071726979855e-05,1.689434926077781e-08,1.2086385371764476e-07,3.35450427554494e-08,1.8846243821867827e-08,1.5967397976678067e-08,1.7959489631499687e-07,4.261243066025023e-07,3.7555503740336613e-08,3.06211735621748e-08,0.13
6.605356022072522e-05,1.818469509221981e-08,1.3009511604147094e-07,3.610712463365044e-08,2.028567021104188e-08,1.7186945714217466e-08,2.0479352732465423e-07,4.473418248503283e-07,4.027063536624519e-08,3.295993802418021e-08,0.14
6.59864713720908e-05,1.947373053028895e-08,1.3931700368086945e-07,3.866660462402255e-08,2.1723634810085614e-08,1.840525495643707e-08,2.3118734003472563e-07,4.673380927927707e-07,4.296190460077956e-08,3.529632738535835e-08,0.15
6.591945065465418e-05,2.0761456905373936e-08,1.485295261535734e-07,4.122348536815587e-08,2.3160139103094668e-08,1.9622326960730435e-08,2.587083881549477e-07,4.861810229021184e-07,4.5629497463444264e-08,3.7630344057051815e-08,0.16
6.585249799924424e-05,2.2047875546518654e-08,1.5773269296769485e-07,4.3777769504970265e-08,2.4595184572664482e-08,2.0838162983220095e-08,2.872924922271472e-07,5.03934661264586e-07,4.827359854170062e-08,3.996199044816567e-08,0.17
