Time,species_1,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,compartment_1,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5
0.0,6.69999967735732e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.00825,0.49,0.039,0.49,0.00255,0.05,0.285,0.038475,1000.0,0.0011279069461637248,0.005331923745501245,0.00034862578335969675,0.0,0.0
0.01,6.693194679646279e-05,4.542491863099929e-08,3.042939574451219e-09,2.369860949850161e-09,1.3075024216480003e-09,9.354002275329695e-09,2.596147620723244e-09,1.4585651720406286e-09,1.235762987947295e-09,1.3169364384621388e-09,0.49,0.00825,0.49,0.039,0.49,0.00255,0.05,0.285,0.038475,1000.0,0.0011267615198545283,0.005326509002948679,0.0003482717425004906,0.0002589218009666611,2.3415418600368054e-06
0.02,6.686396591334478e-05,8.828971478463908e-08,6.059471278109889e-09,4.737315680604438e-09,2.6136772813160103e-09,1.8698507040309993e-08,5.189659264014514e-09,2.915649401762773e-09,2.4702712539668017e-09,5.169724660657706e-09,0.49,0.00825,0.49,0.039,0.49,0.00255,0.05,0.285,0.038475,1000.0,0.0011256172562270257,0.005321099756709576,0.0003479180610156262,0.0005032504856356058,4.66276258342804e-06
0.03,6.679605406814105e-05,1.2873064274938968e-07,9.04978891814916e-09,7.1023661451990815e-09,3.918525656480275e-09,2.8033522003313032e-08,7.78053706928659e-09,4.371253891129273e-09,3.7035258164163003e-09,1.1422079531378235e-08,0.49,0.00825,0.49,0.039,0.49,0.00255,0.05,0.285,0.038475,1000.0,0.0011244741543382701,0.005315696002326367,0.0003475647386136471,0.0007337627745164492,6.96381131209533e-06
0.04,6.672821119084354e-05,1.6688268609713048e-07,1.2014097207353762e-08,9.465014781686354e-09,5.222048892265806e-09,3.7359056787496836e-08,1.0368783707389668e-08,5.825380140674631e-09,4.9355279466171105e-09,1.9938945921960694e-08,0.49,0.00825,0.49,0.039,0.49,0.00255,0.05,0.285,0.038475,1000.0,0.0011233322130108406,0.005310297734233065,0.0003472117749306235,0.0009512281358835156,9.24484557968925e-06
0.05,6.666043721038568e-05,2.0287498016607974e-07,1.495260221349755e-08,1.1825264064980653e-08,6.524248354135234e-09,4.6675121161516784e-08,1.2954401889555864e-08,7.278029673620681e-09,6.166278935112294e-09,3.059128154794278e-08,0.49,0.00825,0.49,0.039,0.49,0.00255,0.05,0.285,0.038475,1000.0,0.0011221914310494989,0.005304904946779449,0.0003468591695971178,0.0011563826949243282,1.1506023962386377e-05
0.06,6.659273205668205e-05,2.3682696509136038e-07,1.7865504593040605e-08,1.4183116435828598e-08,7.825125388700105e-09,5.598172475916568e-08,1.5537394289587007e-08,8.729203992160204e-09,7.3957800546281424e-09,4.325916834548556e-08,0.49,0.00825,0.49,0.039,0.49,0.00255,0.05,0.285,0.038475,1000.0,0.0011210518072755171,0.005299517634393354,0.0003465069222487962,0.0013499073071317398,1.3747500872223946e-05
0.07,6.652509565986214e-05,2.688523277381292e-07,2.0753003741376203e-08,1.653857432749045e-08,9.124681338441581e-09,6.527887718468722e-08,1.811776357308372e-08,1.0178904593878396e-08,8.624032573987189e-09,5.782898949867206e-08,0.49,0.00825,0.49,0.039,0.49,0.00255,0.05,0.285,0.038475,1000.0,0.0011199133405137842,0.005294135791519707,0.00034615503252244243,0.0015324500280521922,1.596942975071628e-05
0.08,6.645752795013632e-05,2.9905790005571236e-07,2.3615297535016392e-08,1.8891640170412417e-08,1.0422917544288254e-08,7.456658803121783e-08,2.069551240256388e-08,1.1627132974628501e-08,9.851037760544579e-09,7.419360523056728e-08,0.49,0.00825,0.49,0.039,0.49,0.00255,0.05,0.285,0.038475,1000.0,0.0011187760295905474,0.005288759412609859,0.0003458035000552601,0.001704619834716997,1.8171962870468913e-05
0.09,6.639002885777808e-05,3.275442443411892e-07,2.645258223679901e-08,2.1242316392839767e-08,1.1719835345954407e-08,8.384486688320663e-08,2.3270643438134266e-08,1.3073890628909163e-08,1.1076796880507775e-08,9.225205551754081e-08,0.49,0.00825,0.49,0.039,0.49,0.00255,0.05,0.285,0.038475,1000.0,0.0011176398733331143,0.005283388492120176,0.0003454523244847808,0.0018669899623084503,2.035525126223768e-05
