data_set_value_component_environment_variable_time,data_set_value_component_GSH_variable_GSH,data_set_value_component_GSH_variable_V,data_set_value_component_GSH_variable_Kms,data_set_value_component_GSH_variable_Kmp,data_set_value_component_GSH_variable_Kmq,data_set_value_component_GSH_variable_Keq,data_set_value_component_HTA_variable_HTA,data_set_value_component_SDLGSH_variable_SDLGSH,data_set_value_component_SDLGSH_variable_V,data_set_value_component_SDLGSH_variable_Kms,data_set_value_component_SDLGSH_variable_Kmp,data_set_value_component_SDLGSH_variable_Keq,data_set_value_component_D_lactate_variable_D_lactate
0.0,1.0,0.00344,0.49,0.49,0.49,0.49,1.0,1.0,0.0812,0.61,0.61,0.61,0.0
0.1,1.0001380613395858,0.00344,0.49,0.49,0.49,0.49,1.0,0.998015504888293,0.0812,0.61,0.61,0.61,0.0
0.2,1.0002759561065258,0.00344,0.49,0.49,0.49,0.49,1.0,0.9960393604343256,0.0812,0.61,0.61,0.61,0.0
0.30000000000000004,1.0004136800000605,0.00344,0.49,0.49,0.49,0.49,1.0,0.9940717811474368,0.0812,0.61,0.61,0.61,0.0
0.4,1.000551234241335,0.00344,0.49,0.49,0.49,0.49,1.0,0.9921127033608854,0.0812,0.61,0.61,0.61,0.0
0.5,1.000688619209292,0.00344,0.49,0.49,0.49,0.49,1.0,0.9901621073120317,0.0812,0.61,0.61,0.61,0.0
0.6000000000000001,1.000825834241673,0.00344,0.49,0.49,0.49,0.49,1.0,0.9882200276396708,0.0812,0.61,0.61,0.61,0.0
0.7000000000000001,1.000962879338477,0.00344,0.49,0.49,0.49,0.49,1.0,0.9862864643438026,0.0812,0.61,0.61,0.61,0.0
0.8,1.0010997551802128,0.00344,0.49,0.49,0.49,0.49,1.0,0.9843613820286273,0.0812,0.61,0.61,0.61,0.0
0.9,1.0012364629721855,0.00344,0.49,0.49,0.49,0.49,1.0,0.9824447180015917,0.0812,0.61,0.61,0.61,0.0
1.0,1.0013730023884269,0.00344,0.49,0.49,0.49,0.49,1.0,0.9805364892352563,0.0812,0.61,0.61,0.61,0.0
