Time,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,eta_T,gamma_T,alpha_T,beta_T,u,const_val_0,const_val_1,Cytoplasm,R6,R7,R8
0.0,5e-08,1.5e-07,0.0,2.2e-07,0.0,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.5e-09,0.0,0.0
0.01,4.9993941839625984e-08,1.4998501043107837e-07,6.058160374014044e-12,2.1999106859145246e-07,8.931408547576179e-12,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.498456745586603e-09,1.3327411743777429e-09,8.931408547576179e-14
0.02,4.9993272466837296e-08,1.4997002924135085e-07,6.7275331627128475e-12,2.1997675677451372e-07,2.3243225486399887e-11,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4981530001119394e-09,1.479900926226559e-09,2.324322548639989e-13
0.03,4.999319884061341e-08,1.4995505164192876e-07,6.801159386591526e-12,2.1996185280131544e-07,3.814719868464381e-11,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4979863109005613e-09,1.4959956198717303e-09,3.8147198684643813e-13
0.04,4.9993190843806404e-08,1.4994007710260191e-07,6.809156193604778e-12,2.199468862587956e-07,5.311374120444047e-11,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.497834746706364e-09,1.4976527028331638e-09,5.311374120444047e-13
0.05,4.999319024211449e-08,1.4992510556458994e-07,6.80975788550866e-12,2.1993191532247552e-07,6.808467752452215e-11,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.497684913334827e-09,1.4976830946422506e-09,6.808467752452215e-13
0.06,4.999319039120284e-08,1.4991013702065534e-07,6.809608797162201e-12,2.1991694662945254e-07,8.305337054748796e-11,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4975352825695533e-09,1.4975483744129701e-09,8.305337054748797e-13
0.07,4.999319054891338e-08,1.498951714694581e-07,6.8094510866250025e-12,2.1990198092054478e-07,9.801907945525581e-11,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4973856837096076e-09,1.4974117829303942e-09,9.801907945525582e-13
0.08,4.9993190786052846e-08,1.4988020891041725e-07,6.809213947154859e-12,2.1988701812436448e-07,1.1298187563558534e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4972361330329587e-09,1.4972577506107159e-09,1.1298187563558535e-12
0.09,4.99931910055596e-08,1.4986524934278892e-07,6.8089944403958674e-12,2.1987205833722938e-07,1.2794166277066765e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.497086608209893e-09,1.4971076228165909e-09,1.2794166277066764e-12
0.1,4.999319121973308e-08,1.4985029276609655e-07,6.808780266919895e-12,2.1985710154636355e-07,1.4289845363652357e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4969371120643059e-09,1.4969586945510835e-09,1.4289845363652357e-12
0.11,4.9993191435324835e-08,1.4983533917981448e-07,6.8085646751659245e-12,2.1984214774448973e-07,1.5785225551033362e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4967876461436255e-09,1.496809481245741e-09,1.5785225551033363e-12
0.12,4.999319165246629e-08,1.4982038858331756e-07,6.8083475337078866e-12,2.1982719693085133e-07,1.7280306914872852e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4966382104718118e-09,1.4966599540660796e-09,1.7280306914872853e-12
0.13,4.999319186960749e-08,1.4980544097598555e-07,6.808130392515338e-12,2.1981224910637814e-07,1.8775089362191664e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4964888046862182e-09,1.4965104537882856e-09,1.8775089362191665e-12
