Cdc20,Cdc20_CMad2,Mad1_CMad2,Mad1_CMad2_OMad2,OMad2,Time
2.2e-07,0.0,5e-08,0.0,1.5e-07,0.0
2.1999106859145246e-07,8.931408547576179e-12,4.9993941839625984e-08,6.058160374014044e-12,1.4998501043107837e-07,0.01
2.1997675677451372e-07,2.3243225486399887e-11,4.9993272466837296e-08,6.7275331627128475e-12,1.4997002924135085e-07,0.02
2.1996185280131544e-07,3.814719868464381e-11,4.999319884061341e-08,6.801159386591526e-12,1.4995505164192876e-07,0.03
2.199468862587956e-07,5.311374120444047e-11,4.9993190843806404e-08,6.809156193604778e-12,1.4994007710260191e-07,0.04
2.1993191532247552e-07,6.808467752452215e-11,4.999319024211449e-08,6.80975788550866e-12,1.4992510556458994e-07,0.05
2.1991694662945254e-07,8.305337054748796e-11,4.999319039120284e-08,6.809608797162201e-12,1.4991013702065534e-07,0.06
2.1990198092054478e-07,9.801907945525581e-11,4.999319054891338e-08,6.8094510866250025e-12,1.498951714694581e-07,0.07
2.1988701812436448e-07,1.1298187563558534e-10,4.9993190786052846e-08,6.809213947154859e-12,1.4988020891041725e-07,0.08
2.1987205833722938e-07,1.2794166277066765e-10,4.99931910055596e-08,6.8089944403958674e-12,1.4986524934278892e-07,0.09
2.1985710154636355e-07,1.4289845363652357e-10,4.999319121973308e-08,6.808780266919895e-12,1.4985029276609655e-07,0.1
2.1984214774448973e-07,1.5785225551033362e-10,4.9993191435324835e-08,6.8085646751659245e-12,1.4983533917981448e-07,0.11
2.1982719693085133e-07,1.7280306914872852e-10,4.999319165246629e-08,6.8083475337078866e-12,1.4982038858331756e-07,0.12
2.1981224910637814e-07,1.8775089362191664e-10,4.999319186960749e-08,6.808130392515338e-12,1.4980544097598555e-07,0.13
2.1979730427087932e-07,2.0269572912073388e-10,4.99931920863235e-08,6.807913676500267e-12,1.4979049635720273e-07,0.14
2.1978236242345844e-07,2.176375765416258e-10,4.999319230290711e-08,6.807697092888353e-12,1.4977555472636545e-07,0.15
2.197674235631745e-07,2.3257643682556389e-10,4.999319251956609e-08,6.807480433907751e-12,1.497606160827405e-07,0.16
2.1975248768958706e-07,2.475123104130055e-10,4.999319273623367e-08,6.807263766331297e-12,1.4974568042582064e-07,0.17
2.197375548021514e-07,2.6244519784866197e-10,4.999319295288738e-08,6.807047112620093e-12,1.497307477550387e-07,0.18
2.197226249002835e-07,2.77375099716559e-10,4.999319316952418e-08,6.806830475819021e-12,1.497158180698076e-07,0.19
2.1970769798338835e-07,2.9230201661170636e-10,4.9993193386145454e-08,6.806613854544038e-12,1.4970089136953371e-07,0.2
2.1969277405092874e-07,3.0722594907130146e-10,4.999319360275224e-08,6.806397247757839e-12,1.496859676536809e-07,0.21
2.1967785310233155e-07,3.2214689766849566e-10,4.9993193819345196e-08,6.806180654798102e-12,1.4967104692167667e-07,0.22
2.1966293513695618e-07,3.370648630438639e-10,4.999319403592436e-08,6.805964075629116e-12,1.4965612917288048e-07,0.23
2.1964802015418507e-07,3.5197984581498956e-10,4.999319425248961e-08,6.8057475103781435e-12,1.496412144066746e-07,0.24
2.1963310815340655e-07,3.6689184659351156e-10,4.9993194469040907e-08,6.805530959081191e-12,1.4962630262244738e-07,0.25
2.196181991340205e-07,3.8180086597955544e-10,4.9993194685578275e-08,6.805314421714893e-12,1.4961139381959869e-07,0.26
2.1960329309542984e-07,3.9670690457021534e-10,4.999319490210173e-08,6.80509789826558e-12,1.4959648799753146e-07,0.27
2.1958839003703933e-07,4.1160996296073306e-10,4.999319511861126e-08,6.804881388738354e-12,1.4958158515565046e-07,0.28
2.1957348995825364e-07,4.265100417463931e-10,4.9993195335106856e-08,6.80466489314115e-12,1.4956668529336039e-07,0.29
2.195585928584775e-07,4.414071415225566e-10,4.999319555158852e-08,6.804448411477539e-12,1.4955178841006587e-07,0.3
2.1954369873711532e-07,4.563012628847253e-10,4.9993195768056246e-08,6.804231943749637e-12,1.4953689450517144e-07,0.31
2.1952880759357165e-07,4.711924064284109e-10,4.9993195984510037e-08,6.804015489959979e-12,1.4952200357808156e-07,0.32
2.19513919427251e-07,4.860805727490415e-10,4.9993196200949884e-08,6.803799050111585e-12,1.4950711562820078e-07,0.33
2.1949903423755814e-07,5.009657624419249e-10,4.999319641737579e-08,6.8035826242075564e-12,1.494922306549338e-07,0.34
2.1948415202389782e-07,5.158479761022428e-10,4.9993196633787743e-08,6.803366212250909e-12,1.4947734865768546e-07,0.35000000000000003
2.1946927278567502e-07,5.307272143250536e-10,4.999319685018575e-08,6.8031498142446076e-12,1.4946246963586067e-07,0.36
2.194543965222948e-07,5.456034777052954e-10,4.9993197066569805e-08,6.8029334301916104e-12,1.4944759358886449e-07,0.37
2.194395232331623e-07,5.60476766837787e-10,4.9993197282939904e-08,6.802717060094891e-12,1.4943272051610207e-07,0.38
2.1942465291768286e-07,5.753470823172284e-10,4.999319749929604e-08,6.802500703957427e-12,1.4941785041697876e-07,0.39
2.1940978557526186e-07,5.902144247382011e-10,4.9993197715638215e-08,6.8022843617821915e-12,1.4940298329089996e-07,0.4
2.1939492120530487e-07,6.050787946951675e-10,4.9993197931966426e-08,6.802068033572156e-12,1.493881191372712e-07,0.41000000000000003
2.1938005980721755e-07,6.199401927824709e-10,4.999319814828067e-08,6.80185171933029e-12,1.493732579554981e-07,0.42
2.1936520138040567e-07,6.347986195943442e-10,4.999319836458094e-08,6.801635419059566e-12,1.493583997449865e-07,0.43
2.193503459242751e-07,6.496540757248985e-10,4.9993198580867236e-08,6.801419132762952e-12,1.4934354450514224e-07,0.44
2.1933549343823186e-07,6.645065617681159e-10,4.999319879713956e-08,6.801202860443414e-12,1.4932869223537134e-07,0.45
2.1932064392168213e-07,6.793560783178596e-10,4.9993199013397894e-08,6.800986602103921e-12,1.4931384293507995e-07,0.46
2.1930579737403212e-07,6.942026259678755e-10,4.999319922964225e-08,6.800770357747439e-12,1.492989966036743e-07,0.47000000000000003
2.192909537946882e-07,7.09046205311794e-10,4.999319944587262e-08,6.800554127376931e-12,1.4928415324056075e-07,0.48
2.1927611318305687e-07,7.238868169431282e-10,4.9993199662089004e-08,6.800337910995364e-12,1.492693128451458e-07,0.49
2.1926127553854472e-07,7.387244614552719e-10,4.999319987829139e-08,6.8001217086057004e-12,1.4925447541683603e-07,0.5
2.1924644086055849e-07,7.535591394415001e-10,4.999320009447979e-08,6.799905520210902e-12,1.492396409550382e-07,0.51
2.1923160914850502e-07,7.683908514949687e-10,4.9993200310654185e-08,6.799689345813931e-12,1.4922480945915913e-07,0.52
2.1921678040179126e-07,7.832195982087153e-10,4.9993200526814584e-08,6.7994731854177474e-12,1.4920998092860577e-07,0.53
2.1920195461982432e-07,7.980453801756588e-10,4.9993200742960974e-08,6.79925703902531e-12,1.4919515536278523e-07,0.54
2.191871318020114e-07,8.128681979885996e-10,4.999320095909336e-08,6.799040906639579e-12,1.491803327611047e-07,0.55
2.1917231194775976e-07,8.276880522402195e-10,4.999320117521174e-08,6.79882478826351e-12,1.4916551312297143e-07,0.56
2.191574950564769e-07,8.425049435230819e-10,4.9993201391316103e-08,6.798608683900062e-12,1.4915069644779293e-07,0.5700000000000001
2.1914268112757036e-07,8.573188724296315e-10,4.999320160740645e-08,6.798392593552188e-12,1.4913588273497672e-07,0.58
2.191278701604478e-07,8.72129839552195e-10,4.999320182348278e-08,6.798176517222845e-12,1.491210719839305e-07,0.59
2.1911306215451702e-07,8.869378454829802e-10,4.999320203954509e-08,6.7979604549149865e-12,1.4910626419406201e-07,0.6
2.1909825710918594e-07,9.017428908140765e-10,4.999320225559338e-08,6.797744406631565e-12,1.490914593647792e-07,0.61
2.1908345502386255e-07,9.165449761374552e-10,4.9993202471627635e-08,6.797528372375533e-12,1.4907665749549009e-07,0.62
2.1906865589795504e-07,9.313441020449688e-10,4.9993202687647864e-08,6.797312352149839e-12,1.490618585856028e-07,0.63
2.1905385973087166e-07,9.461402691283518e-10,4.999320290365406e-08,6.797096345957437e-12,1.490470626345256e-07,0.64
2.190390665220208e-07,9.609334779792202e-10,4.9993203119646214e-08,6.796880353801273e-12,1.4903226964166687e-07,0.65
2.1902427627081095e-07,9.75723729189072e-10,4.999320333562433e-08,6.796664375684296e-12,1.4901747960643515e-07,0.66
2.1900948897665074e-07,9.905110233492863e-10,4.99932035515884e-08,6.796448411609453e-12,1.4900269252823902e-07,0.67
2.189947046389489e-07,1.0052953610511245e-09,4.9993203767538434e-08,6.796232461579692e-12,1.4898790840648721e-07,0.68
2.189799232571143e-07,1.0200767428857296e-09,4.9993203983474416e-08,6.796016525597958e-12,1.489731272405886e-07,0.6900000000000001
2.189651448305559e-07,1.0348551694441262e-09,4.999320419939635e-08,6.795800603667194e-12,1.4895834902995214e-07,0.7000000000000001
2.189503693586828e-07,1.049630641317221e-09,4.9993204415304226e-08,6.795584695790344e-12,1.4894357377398692e-07,0.71
2.1893559684090423e-07,1.0644031590958024e-09,4.999320463119805e-08,6.7953688019703495e-12,1.4892880147210217e-07,0.72
2.1892082727662949e-07,1.0791727233705408e-09,4.999320484707781e-08,6.7951529222101535e-12,1.489140321237072e-07,0.73
2.1890606066526804e-07,1.0939393347319884e-09,4.999320506294351e-08,6.7949370565126975e-12,1.4889926572821145e-07,0.74
2.1889129700622944e-07,1.1087029937705791e-09,4.9993205278795136e-08,6.7947212048809196e-12,1.488845022850245e-07,0.75
2.188765362989234e-07,1.123463701076629e-09,4.99932054946327e-08,6.794505367317758e-12,1.48869741793556e-07,0.76
2.188617785427597e-07,1.138221457240336e-09,4.999320571045619e-08,6.7942895438261495e-12,1.4885498425321577e-07,0.77
2.1884702373714824e-07,1.15297626285178e-09,4.9993205926265606e-08,6.794073734409034e-12,1.4884022966341374e-07,0.78
2.188322718814991e-07,1.1677281185009229e-09,4.999320614206095e-08,6.793857939069346e-12,1.4882547802355993e-07,0.79
2.1881752297522242e-07,1.1824770247776087e-09,4.999320635784221e-08,6.79364215781002e-12,1.488107293330645e-07,0.8
2.1880277701772847e-07,1.1972229822715637e-09,4.9993206573609384e-08,6.793426390633991e-12,1.487959835913377e-07,0.81
2.1878803400842764e-07,1.2119659915723957e-09,4.9993206789362473e-08,6.793210637544193e-12,1.4878124079778996e-07,0.8200000000000001
