Vthresh,a,b,c,d,i,u,v,Time
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12,-62.0,0.0
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12000015596929,-62.0012002393315,0.01
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120000623750517,-62.00240095457515,0.02
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120001403155317,-62.00360214165205,0.03
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12000249399452,-62.00480379648383,0.04
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120003896075783,-62.00600591498427,0.05
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120005609200888,-62.00720849306049,0.06
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120007633177295,-62.00841152662604,0.07
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120009967812983,-62.00961501159507,0.08
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120012612915932,-62.01081894388175,0.09
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120015568294118,-62.01202331940021,0.1
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120018833755527,-62.01322813406461,0.11
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120022409108135,-62.014433383789104,0.12
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12002629415992,-62.01563906448784,0.13
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120030488718868,-62.01684517207497,0.14
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12003499258408,-62.01805170245547,0.15
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120039805531228,-62.019258651510015,0.16
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120044927358588,-62.0204660151427,0.17
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.1200503578665,-62.021673789259786,0.18
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12005609685532,-62.02288196976751,0.19
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120062144125388,-62.024090552572126,0.2
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120068499477053,-62.02529953357987,0.21
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120075162710663,-62.026508908697004,0.22
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12008213362656,-62.02771867382976,0.23
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.1200894120251,-62.028928824884396,0.24
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120096997696614,-62.030139357759175,0.25
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120104890404978,-62.03135026833127,0.26
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120113089939597,-62.03256155249822,0.27
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120121596092194,-62.033773206159395,0.28
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120130408654507,-62.03498522521417,0.29
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12013952741827,-62.03619760556194,0.3
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120148952175217,-62.037410343102074,0.31
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120158682717076,-62.03862343373396,0.32
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120168718835583,-62.039836873356975,0.33
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120179060322467,-62.04105065787051,0.34
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120189706959543,-62.04226478316875,0.35
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12020065850237,-62.043479245132154,0.36
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120211914731826,-62.044694039654445,0.37
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120223475431093,-62.04590916263052,0.38
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12023534038337,-62.04712460995531,0.39
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120247509371843,-62.048340377523715,0.4
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.1202599821797,-62.049556461230665,0.41
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12027275859014,-62.05077285697106,0.42
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120285838386344,-62.051989560639825,0.43
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12029922135151,-62.05320656813186,0.44
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120312907068826,-62.05442387545683,0.45
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120326894663965,-62.05564147888682,0.46
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120341183852698,-62.05685937435543,0.47
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12035577440031,-62.05807755776785,0.48
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120370666072095,-62.059296025029255,0.49
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120385858633334,-62.06051477204483,0.5
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12040135184932,-62.061733794719764,0.51
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12041714548534,-62.06295308895924,0.52
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12043323930669,-62.06417265066843,0.53
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120449633078643,-62.06539247575254,0.54
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.1204663265665,-62.06661256011674,0.55
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120483319535545,-62.06783289966621,0.56
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12050061175107,-62.069053490306146,0.57
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120518202978356,-62.070274327941725,0.58
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120536092982697,-62.071495408478135,0.59
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120554281529383,-62.072716727820556,0.6
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.1205727683837,-62.07393828187418,0.61
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120591553310934,-62.075160066544186,0.62
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12061063607638,-62.07638207773575,0.63
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12063001644532,-62.07760431135407,0.64
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120649694183044,-62.07882676330432,0.65
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.12066966905484,-62.080049429491694,0.66
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120689940826,-62.08127230582137,0.67
30.0,0.1,0.26,-60.0,-1.0,0.0,-16.120710509261812,-62.08249538819853,0.68
