Time,a,b,c,d,Vthresh,i,v,u,cell
0.0,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.0,-16.12,1.0
0.01,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.0012002393315,-16.12000015596929,1.0
0.02,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.00240095457515,-16.120000623750517,1.0
0.03,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.00360214165205,-16.120001403155317,1.0
0.04,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.00480379648383,-16.12000249399452,1.0
0.05,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.00600591498427,-16.120003896075783,1.0
0.06,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.00720849306049,-16.120005609200888,1.0
0.07,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.00841152662604,-16.120007633177295,1.0
0.08,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.00961501159507,-16.120009967812983,1.0
0.09,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.01081894388175,-16.120012612915932,1.0
0.1,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.01202331940021,-16.120015568294118,1.0
0.11,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.01322813406461,-16.120018833755527,1.0
0.12,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.014433383789104,-16.120022409108135,1.0
0.13,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.01563906448784,-16.12002629415992,1.0
0.14,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.01684517207497,-16.120030488718868,1.0
0.15,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.01805170245547,-16.12003499258408,1.0
0.16,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.019258651510015,-16.120039805531228,1.0
0.17,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.0204660151427,-16.120044927358588,1.0
0.18,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.021673789259786,-16.1200503578665,1.0
0.19,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.02288196976751,-16.12005609685532,1.0
0.2,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.024090552572126,-16.120062144125388,1.0
0.21,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.02529953357987,-16.120068499477053,1.0
0.22,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.026508908697004,-16.120075162710663,1.0
0.23,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.02771867382976,-16.12008213362656,1.0
0.24,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.028928824884396,-16.1200894120251,1.0
0.25,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.030139357759175,-16.120096997696614,1.0
0.26,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.03135026833127,-16.120104890404978,1.0
0.27,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.03256155249822,-16.120113089939597,1.0
0.28,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.033773206159395,-16.120121596092194,1.0
0.29,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.03498522521417,-16.120130408654507,1.0
0.3,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.03619760556194,-16.12013952741827,1.0
0.31,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.037410343102074,-16.120148952175217,1.0
0.32,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.03862343373396,-16.120158682717076,1.0
0.33,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.039836873356975,-16.120168718835583,1.0
0.34,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.04105065787051,-16.120179060322467,1.0
0.35,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.04226478316875,-16.120189706959543,1.0
0.36,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.043479245132154,-16.12020065850237,1.0
0.37,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.044694039654445,-16.120211914731826,1.0
0.38,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.04590916263052,-16.120223475431093,1.0
0.39,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.04712460995531,-16.12023534038337,1.0
0.4,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.048340377523715,-16.120247509371843,1.0
0.41,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.049556461230665,-16.1202599821797,1.0
0.42,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.05077285697106,-16.12027275859014,1.0
0.43,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.051989560639825,-16.120285838386344,1.0
0.44,0.1,0.26,-60.0,-1.0,30.0,0.0,-62.05320656813186,-16.12029922135151,1.0
