Time,x,y,z,r,mu_x,zeta,b,mu_z,epsilon,k,mu_z_star,compartment_1
0.0,4.0,0.2,0.4,0.2,4.0,0.5,1.5,0.4,0.002,0.4,0.4,1.0
0.01,3.998406700970281,0.19940236899451336,0.3988065840994822,0.2,4.0,0.5,1.5,0.4000039939998263,0.002,0.4,0.4,1.0
0.02,3.9968267281629197,0.19880943232264328,0.3976262335229645,0.2,4.0,0.5,1.5,0.4000079760621826,0.002,0.4,0.4,1.0
0.03,3.9952599689256405,0.1982211253443014,0.39645879563295794,0.2,4.0,0.5,1.5,0.40001194628040093,0.002,0.4,0.4,1.0
0.04,3.993706311814106,0.1976373845147313,0.3953041199727066,0.2,4.0,0.5,1.5,0.4000159047465303,0.002,0.4,0.4,1.0
0.05,3.992165646571484,0.19705814735925462,0.39416205822142736,0.2,4.0,0.5,1.5,0.40001985155136205,0.002,0.4,0.4,1.0
0.06,3.99063786409897,0.19648335243464457,0.3930324641270695,0.2,4.0,0.5,1.5,0.40002378678446726,0.002,0.4,0.4,1.0
0.07,3.9891228563837853,0.1959129392398405,0.3919151933479323,0.2,4.0,0.5,1.5,0.4000277105342862,0.002,0.4,0.4,1.0
0.08,3.987620516625187,0.195346848372399,0.39081010373011654,0.2,4.0,0.5,1.5,0.40003162288797184,0.002,0.4,0.4,1.0
0.09,3.9861307391735825,0.1947850214520852,0.38971705517257277,0.2,4.0,0.5,1.5,0.40003552393146596,0.002,0.4,0.4,1.0
0.1,3.984653419503037,0.1942274010859894,0.38863590956574545,0.2,4.0,0.5,1.5,0.40003941374953356,0.002,0.4,0.4,1.0
0.11,3.983188454193927,0.19367393084627108,0.3875665307525932,0.2,4.0,0.5,1.5,0.4000432924257846,0.002,0.4,0.4,1.0
0.12,3.9817357409155973,0.19312455524790273,0.3865087844896087,0.2,4.0,0.5,1.5,0.40004716004269597,0.002,0.4,0.4,1.0
0.13,3.9802951784090173,0.1925792197264143,0.3854625384078388,0.2,4.0,0.5,1.5,0.4000510166816333,0.002,0.4,0.4,1.0
0.14,3.978866666469435,0.19203787061563687,0.3844276619739044,0.2,4.0,0.5,1.5,0.40005486242287275,0.002,0.4,0.4,1.0
0.15,3.977450105929036,0.19150045512544678,0.3834040264510203,0.2,4.0,0.5,1.5,0.40005869734562294,0.002,0.4,0.4,1.0
0.16,3.976045398628435,0.19096692131955323,0.38239150485025064,0.2,4.0,0.5,1.5,0.4000625215280568,0.002,0.4,0.4,1.0
0.17,3.9746524473571014,0.19043721809340658,0.38138997185456003,0.2,4.0,0.5,1.5,0.40006633504737144,0.002,0.4,0.4,1.0
0.18,3.973271155918606,0.18991129515162097,0.3803993038521255,0.2,4.0,0.5,1.5,0.40007013797973545,0.002,0.4,0.4,1.0
0.19,3.9719014290858743,0.1893891029858248,0.37941937887336824,0.2,4.0,0.5,1.5,0.40007393040033606,0.002,0.4,0.4,1.0
0.2,3.97054317257732,0.18887059285243044,0.3784500765462704,0.2,4.0,0.5,1.5,0.4000777123834061,0.002,0.4,0.4,1.0
