Time,anti_inflammatory__A,bacterial_infection__B,inflammation__I,pro_inflammatory__P,alpha_1,rho_1,beta_1,mu_1,K_B,alpha_2,beta_2,mu_2,alpha_3,beta_3,rho_2,mu_3,g,alpha_4,beta_4,gamma,BALB_c_Mouse,reaction_for_A,reaction_For_I,reaction_for_B,reaction_For_P
35.0,3.0,1.0,1.0,1.0,0.27,0.2,0.01,0.12,1.0,0.11,0.135,0.25,1.05,2.0,0.45,0.0174,0.9,1.5,5.0,0.01,1.0,-0.29500000000000004,-4.5174,-2.7953119102812867,-0.03
35.35,2.869233439101316,0.399992763282465,0.3182542876746346,0.9757484868714749,0.27,0.2,0.01,0.12,1.0,0.11,0.135,0.25,1.05,2.0,0.45,0.0174,0.9,1.5,5.0,0.01,1.0,-0.44633256225233364,-0.6272966585802435,-0.8422878598000442,-0.09422725434786515
35.7,2.702840433896998,0.24306661182429476,0.21961166921246847,0.9402075839815732,0.27,0.2,0.01,0.12,1.0,0.11,0.135,0.25,1.05,2.0,0.45,0.0174,0.9,1.5,5.0,0.01,1.0,-0.4881773729999287,-0.09437390314885707,-0.1972357543495984,-0.10436114388556811
36.05,2.5339803443272118,0.20890478916335894,0.2062678108786551,0.9043495587493328,0.27,0.2,0.01,0.12,1.0,0.11,0.135,0.25,1.05,2.0,0.45,0.0174,0.9,1.5,5.0,0.01,1.0,-0.4722380853140118,-0.005372024966806999,-0.03391447368016298,-0.0994438716678914
36.4,2.3738182411046944,0.2061293549265607,0.2084867947746527,0.8709735596665958,0.27,0.2,0.01,0.12,1.0,0.11,0.135,0.25,1.05,2.0,0.45,0.0174,0.9,1.5,5.0,0.01,1.0,-0.4421318801477401,0.013833264206755902,0.008964017026198756,-0.09106585942391765
36.75,2.2246540254224447,0.21175839342434077,0.21452356308597303,0.8406487755550144,0.27,0.2,0.01,0.12,1.0,0.11,0.135,0.25,1.05,2.0,0.45,0.0174,0.9,1.5,5.0,0.01,1.0,-0.410347346060016,0.019758365041671055,0.020757002301239003,-0.08223901597692246
37.1,2.0863931321824825,0.2197107763551755,0.221993712766005,0.8133658909318486,0.27,0.2,0.01,0.12,1.0,0.11,0.135,0.25,1.05,2.0,0.45,0.0174,0.9,1.5,5.0,0.01,1.0,-0.38005470261949964,0.022709028830774636,0.023973457235915374,-0.07374165016108021
37.45,1.9583583266030737,0.2282534382973656,0.23034149371903428,0.7889690333130841,0.27,0.2,0.01,0.12,1.0,0.11,0.135,0.25,1.05,2.0,0.45,0.0174,0.9,1.5,5.0,0.01,1.0,-0.3519497922151987,0.024941225848120863,0.024611319004944288,-0.06575874787775066
37.8,1.8397670503463273,0.2368401298949388,0.23943742984495978,0.7672719135863877,0.27,0.2,0.01,0.12,1.0,0.11,0.135,0.25,1.05,2.0,0.45,0.0174,0.9,1.5,5.0,0.01,1.0,-0.32607791299349564,0.027029168342392773,0.024361384742123127,-0.05831285186521096
38.15,1.7298572599874438,0.2452649635851914,0.24926509977567396,0.7480896908715535,0.27,0.2,0.01,0.12,1.0,0.11,0.135,0.25,1.05,2.0,0.45,0.0174,0.9,1.5,5.0,0.01,1.0,-0.30231716527003016,0.02914011127548244,0.02373848063753259,-0.0513831082278686
38.5,1.6279176576120464,0.2534324803064337,0.25984374202439475,0.7312471777330235,0.27,0.2,0.01,0.12,1.0,0.11,0.135,0.25,1.05,2.0,0.45,0.0174,0.9,1.5,5.0,0.01,1.0,-0.2805059915678666,0.03132443992334222,0.0229049848137568,-0.044937900536662044
38.85,1.5332946039259958,0.26128198108597417,0.27120287472499094,0.7165803345254725,0.27,0.2,0.01,0.12,1.0,0.11,0.135,0.25,1.05,2.0,0.45,0.0174,0.9,1.5,5.0,0.01,1.0,-0.26048182835012373,0.0335995039501269,0.02192854809727718,-0.038945552312723515
