Time,species_0,species_1,species_2,species_3,species_4,species_5,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_12,parameter_13,parameter_14,parameter_15,parameter_16,parameter_17,parameter_18,parameter_19,compartment_0,reaction_0,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9
0.0,1.023667,2.154231,6.271793,3.203692,8.232192,9.312021,10.0,10.0,10.0,10.0,10.0,10.0,1.0,8.5,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.031454814923002,8.031455842105263,8.031419093817,5.66359,5.663512347136002,5.663575219968003,0.0,0.0,8.031453607611354,5.6635908832665285
0.01,1.0236670115473283,2.154231345810475,6.271792665884189,3.2036927567757147,8.232191383753497,9.312020849035376,10.0,10.0,10.0,10.0,10.0,10.0,1.0,8.5,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.031454551525895,8.031455831773444,8.031421102832788,5.663589369353572,5.663515659234622,5.663576038773026,0.0,0.0,8.031453418569024,5.663590572647452
0.02,1.023667025403422,2.1542316697717343,6.271792353016987,3.2036934750567854,8.232190792050837,9.31202070888522,10.0,10.0,10.0,10.0,10.0,10.0,1.0,8.5,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.031454328609142,8.031455819375886,8.031422984615965,5.663588770786013,5.663518824652039,5.663576785436759,0.0,0.0,8.031453242595871,5.663590281854253
0.03,1.0236670411775963,2.1542319734565387,6.271792060074972,3.203694156557597,8.232190224156598,9.312020578689538,10.0,10.0,10.0,10.0,10.0,10.0,1.0,8.5,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.031454141497534,8.031455805262151,8.03142474788103,5.663588202868669,5.663521848774901,5.663577466532902,0.0,0.0,8.031453078717112,5.663590009641128
0.04,1.0236670584255985,2.154232258924564,6.271791785262472,3.2036948038326463,8.232189678811082,9.312020457342333,10.0,10.0,10.0,10.0,10.0,10.0,1.0,8.5,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.031453984597144,8.031455789829728,8.03142640417514,5.663587663472795,5.663524740154658,5.6635780902996125,0.0,0.0,8.031452925662625,5.663589754321305
0.05,1.0236670766043725,2.1542325291230173,6.271791525924082,3.20369542096262,8.232189153803766,9.312020343288987,10.0,10.0,10.0,10.0,10.0,10.0,1.0,8.5,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.031453850630323,8.03145577356451,8.03142797020643,5.6635871491978165,5.663527513086929,5.66357866801404,0.0,0.0,8.031452781623962,5.663589513405194
0.06,1.0236670956739684,2.1542327842706146,6.271791281862415,3.2036960082519648,8.232188648969059,9.312020236414233,10.0,10.0,10.0,10.0,10.0,10.0,1.0,8.5,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.031453739059737,8.03145575650224,8.03142944721551,5.663586659790029,5.66353016864034,5.663579200511171,0.0,0.0,8.031452646466947,5.66358928670775
0.07,1.023667115634386,2.1542330243673558,6.27179105307747,3.20369656570068,8.232188164306958,9.312020136718075,10.0,10.0,10.0,10.0,10.0,10.0,1.0,8.5,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.031453649885389,8.031455738642919,8.031430835202357,5.663586195249434,5.663532706814813,5.663579687790978,0.0,0.0,8.031452520191586,5.663589074228974
0.08,1.0236671364856256,2.154233249413241,6.271790839569247,3.203697093308766,8.232187699817468,9.31202004420051,10.0,10.0,10.0,10.0,10.0,10.0,1.0,8.5,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.031453583107279,8.031455719986544,8.03143213416695,5.663585755576029,5.663535127610262,5.663580129853524,0.0,0.0,8.03145240279787,5.663588875968865
0.09,1.0236671582276873,2.15423345940827,6.2717906413377476,3.2036975910762227,8.232187255500584,9.31201995886154,10.0,10.0,10.0,10.0,10.0,10.0,1.0,8.5,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.031453538725408,8.031455700533122,8.031433344109272,5.6635853407698145,5.663537431026625,5.663580526698793,0.0,0.0,8.03145229428581,5.6635886919274245
