data_set_value_component_DampedForcedHarmonicOscillator_variable_t,data_set_value_component_DampedForcedHarmonicOscillator_variable_u,data_set_value_component_DampedForcedHarmonicOscillator_variable_v,data_set_value_component_DampedForcedHarmonicOscillator_variable_c,data_set_value_component_DampedForcedHarmonicOscillator_variable_a,data_set_value_component_DampedForcedHarmonicOscillator_variable_b
0.0,1.0,1.0,1.0,1.0,1.0
0.1,1.0904838336691427,0.8143535728644065,1.0,1.0,1.0
0.2,1.1637460994724436,0.6549846819110919,1.0,1.0,1.0
0.30000000000000004,1.2222456955758854,0.5185725130493438,1.0,1.0,1.0
0.4,1.2681282759493966,0.4021917457875338,1.0,1.0,1.0
0.5,1.3032655546324319,0.30326508595237145,1.0,1.0,1.0
0.6000000000000001,1.3292871279090328,0.2195244998936219,1.0,1.0,1.0
0.7000000000000001,1.3476094780657528,0.14897588420991956,1.0,1.0,1.0
0.8,1.3594629764254798,0.08986603859381087,1.0,1.0,1.0
0.9,1.365912534688432,0.040657168948383955,1.0,1.0,1.0
1.0,1.3678792457843354,2.453772121289999e-07,1.0,1.0,1.0
