MC_0_1_task1,MP_0_2_task1,_1_task1
0.05157359735647449,0.07356855525736307,18.0
0.023575714979838826,0.01339868097488311,19.0
0.030474154140272464,0.016790967293508798,20.0
0.055728095395174516,0.032126886741310735,21.0
0.1183363149294669,0.07303448955271216,22.0
0.26038391698079527,0.18352402009929905,23.0
0.5111068733662493,0.43869832414533166,24.0
0.8263340929410262,0.8501327763308677,25.0
1.1418337257857032,1.330588197171514,26.0
1.434742476726325,1.8192880223357064,27.0
1.7039886155331139,2.2975714971695584,28.0
1.9524549002718492,2.7605513871631766,29.0
2.1827509094544792,3.2064536719621612,30.0
2.3960899689562445,3.6324958236894034,31.0
2.5906857490401842,4.030030852250737,32.0
2.7556852192271952,4.369736547208016,33.0
2.8457731935028026,4.549651630688336,34.0
2.7117222315865357,4.320894521605459,35.0
2.19583022547019,3.58899716816164,36.0
1.4728804501019828,2.6474019371466904,37.0
0.7708984483052972,1.6950245868244547,38.0
0.2501933653803453,0.8225180709929627,39.0
0.041514309749037026,0.18940537267329863,40.0
0.00950055894869306,0.013196156343735738,41.0
0.008343791723747603,0.004657635196288194,42.0
0.01291333341685412,0.007113440638624699,43.0
0.02429807471380874,0.013700322482130187,44.0
0.05242027069335338,0.03061703899349492,45.0
0.12367365055418683,0.07768561971986518,46.0
0.28620165144545284,0.20858676761461564,47.0
0.5595124353043965,0.5006298021329542,48.0
0.8826255287066195,0.9375464388441703,49.0
1.1962888341501625,1.4247384361314892,50.0
1.4854695017492598,1.9133911987937695,51.0
1.7511283280793482,2.3897700251563747,52.0
1.9964232052876072,2.850287067239628,53.0
2.2238479970652056,3.293347209786279,54.0
2.4342869092203387,3.715653794243477,55.0
2.6250317551926745,4.106497162668158,56.0
2.7817988939973506,4.42874956426095,57.0
2.8456334552143976,4.554785322920852,58.0
2.642143413764127,4.2196374063431925,59.0
2.0618164258109304,3.4193943410905794,60.0
1.3278406788720383,2.464792298642732,61.0
0.6479332172445021,1.5202948854795415,62.0
0.18342093924015934,0.6753579796661429,63.0
0.02831395499107605,0.12170193995989506,64.0
0.008236906734471623,0.008454075709660355,65.0
0.008586354051132993,0.00471427042113696,66.0
0.013896334175163314,0.007682170970153896,67.0
0.026833506584674045,0.015193668583721141,68.0
0.05904573215959036,0.03474874341672827,69.0
0.14045587849206076,0.0896965204544372,70.0
0.32027661067396374,0.24031156635107806,71.0
0.6063770987625092,0.5588563580492095,72.0
0.9307079246380638,1.009025992894644,73.0
1.2410311901485782,1.4983077597583345,74.0
1.5265459168568543,1.9856346934818614,75.0
1.7889824664859184,2.4597998122585363,76.0
2.031490917703127,2.9178348021790677,77.0
2.2563843489468023,3.3581090768808837,78.0
2.4641965355184112,3.7767142226391144,79.0
2.651267701150344,4.1607875069948115,80.0
2.799796737241552,4.465344015088851,81.0
2.837769256786286,4.539966806613483,82.0
2.5757151159349636,4.120877599298067,83.0
1.9539322311776135,3.278645645174553,84.0
1.2177164535502032,2.318993691888457,85.0
0.559332513306112,1.3833444375628003,86.0
0.14184479891913307,0.5651545541364101,87.0
0.021562142500411476,0.0822829253507663,88.0
0.0077996325820247755,0.006463187933759118,89.0
0.009082568889955275,0.004962949618981331,90.0
0.015187182633761625,0.008423419236806368,91.0
0.029973126006612175,0.01704609751985484,92.0
