MB_0_1_task1,_1_task1
8.579847263209427,18.0
8.713466658173841,19.0
8.841948926953012,20.0
8.962180225155825,21.0
9.06890756280108,22.0
9.152634132989558,23.0
9.19699606031881,24.0
9.180360280810373,25.0
9.089940351126195,26.0
8.929191112009265,27.0
8.710591733051597,28.0
8.453385832868506,29.0
8.183127684330282,30.0
7.930329533365645,31.0
7.72788585266265,32.0
7.605674901669671,33.0
7.579204729041489,34.0
7.637670995383687,35.0
7.7497197676828495,36.0
7.885955331861162,37.0
8.030525161072003,38.0
8.177034071691681,39.0
8.322885053831966,40.0
8.466699552657126,41.0
8.607385358598867,42.0
8.743696235171516,43.0
8.873789177938532,44.0
8.994494547487065,45.0
9.099952916782136,46.0
9.179234138217886,47.0
9.213862603830627,48.0
9.182296587610072,49.0
9.075961919703392,50.0
8.900680603956934,51.0
8.670107750996795,52.0
8.404830908150485,53.0
8.131857055520905,54.0
7.882870641132226,55.0
7.6911930026248125,56.0
7.585343948363119,57.0
7.576459709424298,58.0
7.648136024141146,59.0
7.767098773195884,60.0
7.906091941436837,61.0
8.051609302964508,62.0
8.19835631739937,63.0
8.344118003394557,64.0
8.48763588122952,65.0
8.627838091929616,66.0
8.763432752174749,67.0
8.892442488451728,68.0
9.011406694385421,69.0
9.113882955398143,70.0
9.187911078675318,71.0
9.213896573471562,72.0
9.17118374155471,73.0
9.053876557473249,74.0
8.869199106747683,75.0
8.631845489806219,76.0
8.363437399844889,77.0
8.091852403246197,78.0
7.8492861120337,79.0
7.66890756550686,80.0
7.577562332491068,81.0
7.582546392281387,82.0
7.663588303420128,83.0
7.786979198046685,84.0
7.927550267180431,85.0
8.073485265508516,86.0
8.220195358310324,87.0
8.365695695509359,88.0
8.508789855735225,89.0
8.648397400137444,90.0
8.783158510020549,91.0
8.910936324813527,92.0
