AR_Central_1_task1,_1_task1
0.01,0.0
0.012360813646836912,0.025
0.01379271874071783,0.05
0.014661215099390078,0.075
0.015187990965987296,0.1
0.015507491746420623,0.125
0.015701278495198017,0.15
0.01581881623778579,0.175
0.01589010735767024,0.2
0.015933345107524984,0.225
0.015959571548507755,0.25
0.015975478618636692,0.275
0.015985126684596496,0.3
0.015990979351349802,0.325
0.015994528787566333,0.35
0.015996681687331635,0.375
0.015997987376193266,0.4
0.015998780431495878,0.425
0.01599925982740056,0.45
0.0159995505916975,0.475
0.01599972706994613,0.5
0.015999833592872346,0.525
0.015999898993816587,0.55
0.015999940113859634,0.575
0.015999963724529723,0.6
0.015999978411878862,0.625
0.015999986832174736,0.65
0.01599999175958652,0.675
0.015999994848042112,0.7
0.015999996815266475,0.725
0.015999998041971608,0.75
0.015999998794288317,0.775
0.01599999925529218,0.8
0.015999999539809445,0.825
0.015999999741290055,0.85
0.015999999851010346,0.875
0.01599999991074474,0.9
0.019861645363885037,0.925
0.029285901141811576,0.95
0.04201338512098403,0.975
0.05667427306738912,1.0
0.07243830687004169,1.025
0.08880246177321183,1.05
0.1054621994379098,1.075
0.12223336153058113,1.1
0.1390048127449333,1.125
0.15570967525912371,1.15
0.17230793098258587,1.175
0.18877585870105884,1.2
0.20509957585901542,1.225
0.22127124964612396,1.25
0.23728660166549503,1.275
0.2531435925356343,1.3
0.26884146602830766,1.325
0.2843803457514393,1.35
0.29976061779071445,1.375
0.31498343902357906,1.4
0.3300496667972797,1.425
0.34496038061181294,1.45
0.35971652557027,1.475
0.37431943291444775,1.5
0.3887704839503354,1.525
0.40307080615257723,1.55
0.4172216018876563,1.575
0.43122414262343584,1.6
0.4450797043832805,1.625
0.45879000417399135,1.65
0.4723547023203416,1.675
0.48577648130913437,1.7
0.4990558624081835,1.725
0.5121940657496087,1.75
0.5251921569530902,1.775
0.5380513419804297,1.8
0.5507729657538978,1.825
0.5633580338930524,1.85
0.5758076587948001,1.875
0.5881229455867387,1.9
0.6003050047247995,1.925
0.6123549465671935,1.95
0.6242738322278344,1.975
0.6360627628408725,2.0
0.6477228462481959,2.025
