Time,AR_Central,AR_A1,AR_A2,AR_Dose,F1,F2,Lag_time_1,Lag_time_2,k_a_1,k_a_2,base,CL_V,compartment,A1,A2,Central,reaction,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5
0.0,0.01,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.2
0.025,0.012360813646836912,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.24721627293673826
0.05,0.01379271874071783,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.2758543748143566
0.075,0.014661215099390078,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.2932243019878016
0.1,0.015187990965987296,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.30375981931974594
0.125,0.015507491746420623,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31014983492841247
0.15,0.015701278495198017,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31402556990396036
0.175,0.01581881623778579,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3163763247557158
0.2,0.01589010735767024,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3178021471534048
0.225,0.015933345107524984,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31866690215049964
0.25,0.015959571548507755,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3191914309701551
0.275,0.015975478618636692,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3195095723727338
0.3,0.015985126684596496,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3197025336919299
0.325,0.015990979351349802,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31981958702699603
0.35,0.015994528787566333,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3198905757513266
0.375,0.015996681687331635,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3199336337466327
0.4,0.015997987376193266,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3199597475238653
0.425,0.015998780431495878,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3199756086299176
0.45,0.01599925982740056,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31998519654801116
0.475,0.0159995505916975,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31999101183395
0.5,0.01599972706994613,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3199945413989226
0.525,0.015999833592872346,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31999667185744696
0.55,0.015999898993816587,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3199979798763317
0.575,0.015999940113859634,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3199988022771927
0.6,0.015999963724529723,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31999927449059445
0.625,0.015999978411878862,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31999956823757725
0.65,0.015999986832174736,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31999973664349474
0.675,0.01599999175958652,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3199998351917304
0.7,0.015999994848042112,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31999989696084224
0.725,0.015999996815266475,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3199999363053295
0.75,0.015999998041971608,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31999996083943216
0.775,0.015999998794288317,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31999997588576634
0.8,0.01599999925529218,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3199999851058436
0.825,0.015999999539809445,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3199999907961889
0.85,0.015999999741290055,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3199999948258011
0.875,0.015999999851010346,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3199999970202069
0.9,0.01599999991074474,1.5221007388811848e-13,0.0,484.9999999999999,0.1,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,48.49999999999999,0.0,4.566302216643554e-14,0.0,0.32,0.31999999821489483
0.925,0.019861645363885037,1.206453887743124,0.0,483.78901436276806,0.1,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,48.378901436276806,0.0,0.3619361663229372,0.0,0.32,0.3972329072777008
0.95,0.029285901141811576,2.4008808504828663,0.0,482.58105240845083,0.1,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,48.25810524084508,0.0,0.7202642551448598,0.0,0.32,0.5857180228362315
0.975,0.04201338512098403,3.583378274257102,0.0,481.376106587282,0.1,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,48.1376106587282,0.0,1.0750134822771307,0.0,0.32,0.8402677024196805
1.0,0.05667427306738912,4.754042798660127,0.0,480.1741693683463,0.1,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,48.017416936834636,0.0,1.426212839598038,0.0,0.32,1.1334854613477825
