Time,T,N,D,L,a,b,c_1,c_2,d_1,d_2,d_3,e,f_1,f_2,g,h,i,j,k,s_1,s_2,u,r_1,g_1,h_1,compartment,Growth_of_tumor_cell,Impact_on_the_growth_of_tumor_cell_by_dendritic_cell__natural_killer_cell__CD8__cell,Production_of_Natural_killer_cell,Removal_of_natural_killer_cell,Formation_of_Dendritic_cell,Impact_on_the_formation_of_dendritic_cell,Formation_of_cytotoxic_CD8__T_cell,Removal_of_cytotoxic_CD8__T_cell
0.0,100.0,1.0,1.0,1.0,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,43.099906473,0.00037,13000.0,0.041211,480.0,-0.033995990000000004,1.0,0.0200000522
1.0,150.4592894144839,12734.675462923615,481.75818240248645,315.49930538448206,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,64.8477420112408,6.718171253273709,13000.0,530.9952681990642,480.0,5.730960604684785,724.8499379389143,29.126931899444504
2.0,216.68698575618166,24942.465242153583,936.40836333424,1349.6338957862572,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,93.39165172125492,18.96601219792107,13000.0,1051.526371792719,480.0,50.67341901558001,2029.0750568777582,844.786617454512
3.0,299.23871057202865,36635.88023670672,1331.152423180142,2255.184729335428,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,128.97104678019085,38.477374559981385,13000.0,1559.2624938610168,480.0,123.32089133084109,3983.3233468725716,3398.9519557533645
4.0,396.97880139575216,47829.22664087175,1645.1097940907316,2673.801591047804,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,171.09638948929245,66.62661334902732,13000.0,2051.1471857009574,480.0,209.99129725415003,6530.737142225513,6208.42199202338
5.0,506.8100143628841,58539.83380468359,1870.6375888019484,2952.031316278655,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,218.43271388963814,104.08442672943902,13000.0,2524.3148237113596,480.0,298.38138758038247,9480.578632484663,9241.646304051686
6.0,623.7035509498226,68787.55127328572,2010.7649835454067,3153.6042139779684,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,268.81259220183995,150.48274350671062,13000.0,2976.653015862558,480.0,379.65532354451005,12541.212603628319,12377.004137580378
7.0,741.0724291918966,78593.86724337655,2075.372299915821,3280.5142329519495,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,319.3970805878703,204.25002839605952,13000.0,3407.0032402590423,480.0,448.90516858874696,15380.011917761909,15290.180463404247
8.0,851.4376477581111,87980.97358786037,2077.544429225888,3334.1007241269494,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,366.9628459806555,262.6468640388944,13000.0,3815.091524695088,480.0,504.45577315044903,17688.99541933058,17670.980530212266
9.0,947.284765321521,96970.97514677755,2030.9086281947564,3318.37111322616,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,408.27134122294603,322.0136751426489,13000.0,4201.329278900776,480.0,546.6974661238869,19238.488032489222,19286.84615440099
10.0,1021.9634550966265,105585.3161393968,1948.1378956272376,3240.019196088905,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,440.4564810997527,378.1953814072099,13000.0,4566.600213985018,480.0,576.9942594365069,19909.25734819883,20016.101390616346
11.0,1070.4776174300548,113844.38333348594,1840.3741617468925,3107.9643723242293,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,461.3651356445833,427.0672333646025,13000.0,4912.091641309439,480.0,596.9453296944985,19700.793478466476,19856.279452145984
12.0,1090.0227379753028,121767.28046123087,1717.1994020880547,2932.7761420428483,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,469.7886876608787,465.0587234619643,13000.0,5239.183566649042,480.0,608.0537413805614,18717.863939135743,18910.808980698243
13.0,1080.2122174824442,129371.66860451206,1586.765489644287,2725.990863103984,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,465.56055245805027,489.58686878972,13000.0,5549.370131287503,480.0,611.6865328288245,17140.43468193272,17359.077451974368
14.0,1042.9697931244525,136673.68499339354,1455.8843387797806,2499.308572970312,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,449.50980710061623,499.3253520442004,13000.0,5844.191551729329,480.0,609.1751341691602,15184.43387630278,15417.272811619974
15.0,982.1340674984364,143687.92089356264,1330.0076236596597,2263.732396622574,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,423.2907615959371,494.275761141924,13000.0,6125.160451250784,480.0,601.9094659877211,13062.457972287912,13299.152477517211
16.0,902.8866765514534,150427.5142090078,1213.1654810975167,2028.7919860730733,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,389.1365332319457,475.659206301542,13000.0,6393.688952893402,480.0,591.3474167069076,10953.509493350819,11185.441806660001
17.0,811.0870097946232,156904.2709966814,1107.9301821258382,1802.0004230723175,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,349.5723484342696,445.65657664479045,13000.0,6651.02124420362,480.0,578.9227728540837,8986.277784816584,9207.047989800762
18.0,712.6298220349246,163128.8544125456,1015.5104868065506,1588.6289235592556,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,307.1387036100696,407.0622814511636,13000.0,6898.192912802435,480.0,565.9118246879191,7236.830574875517,7442.285088349905
19.0,612.9110950951255,169110.997927592,935.9662448717529,1391.822412293433,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,264.161168550619,362.9176970130059,13000.0,7136.020301006836,480.0,553.3121702866158,5736.640961164184,5924.577139082265
20.0,516.4498971476561,174859.72155371108,868.5244754909286,1212.9825204634358,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,222.58741111385436,316.1794976482838,13000.0,7365.121104480992,480.0,541.790801822247,4485.4937603751205,4655.223521388301
21.0,426.6811258613839,180383.51153571537,811.9064115808134,1052.2485600934042,0.431,2.17e-08,3.5e-06,1e-07,1e-06,4e-06,0.0001,0.0412,1e-08,0.01,0.024,3.42e-10,0.02,1e-07,1e-07,13000.0,480.0,1.8e-08,0.0,0.0,0.0,1.0,183.89786252378056,269.4613792353208,13000.0,7585.9518288096715,480.0,531.6983934540835,3464.2514178737765,3616.1041272507946
