value_component_environment_variable_time,value_component_Constants_variable_k_0,value_component_Constants_variable_k_1,value_component_Constants_variable_k_2,value_component_Constants_variable_k_3,value_component_Constants_variable_k_4,value_component_Constants_variable_k_5,value_component_Constants_variable_k_6,value_component_Constants_variable_k_7,value_component_Constants_variable_k_8,value_component_Constants_variable_k_9,value_component_Constants_variable_k_10,value_component_Constants_variable_k_11,value_component_Constants_variable_C_PLC_T,value_component_Constants_variable_K_D,value_component_Constants_variable_K_P,value_component_Constants_variable_K_R,value_component_Constants_variable_K_G,value_component_Constants_variable_K_S,value_component_Constants_variable_K_ER,value_component_Constants_variable_K_C1,value_component_Constants_variable_K_C2,value_component_Constants_variable_beta,value_component_Constants_variable_lambda,value_component_Constants_variable_rho,value_component_Constants_variable_n,value_component_Constants_variable_m,value_component_Constants_variable_w,value_component_R_values_variable_R_APLC,value_component_R_values_variable_R_PKC,value_component_R_values_variable_R_G,value_component_R_values_variable_R_DG,value_component_R_values_variable_R_IP_3,value_component_R_values_variable_R_Cyt1,value_component_R_values_variable_R_Cyt2,value_component_R_values_variable_R_ER,value_component_G_GTP_variable_G,value_component_APLC_variable_APLC,value_component_APLC_variable_PLC,value_component_IP_3_variable_IP_3,value_component_DG_variable_DG,value_component_C_cyt_variable_C_cyt,value_component_C_ER_variable_C_ER
0.0,0.0001,3.4,4.0,4.5,1.2,0.12,14.0,2.0,10.5,0.6,3.0,0.26,0.01,0.01,0.004,0.2,0.025,0.025,0.075,1.0,2.0,0.05,0.001,0.2,4.0,2.0,3.0,0.2,0.045454545454545456,2.5599934464167773e-06,0.009900990099009901,6.399590426212721e-05,0.16666666666666669,0.09090909090909091,0.9995783029034626,0.001,0.001,0.009000000000000001,0.001,0.001,0.2,1.0
0.1,0.0001,3.4,4.0,4.5,1.2,0.12,14.0,2.0,10.5,0.6,3.0,0.26,0.01,0.01,0.004,0.2,0.025,0.025,0.075,1.0,2.0,0.05,0.001,0.2,4.0,2.0,3.0,0.19808695439377727,0.08605080279407641,6.663095023417191e-06,0.04146157445219388,0.000575419260220765,0.16655538997403777,0.09084288069748629,0.9995783151797349,0.0012701638080445585,0.0009880719884986001,0.0090119280115014,0.002079783513555724,0.002079783513555724,0.19983978295672158,1.000009708144999
0.2,0.0001,3.4,4.0,4.5,1.2,0.12,14.0,2.0,10.5,0.6,3.0,0.26,0.01,0.01,0.004,0.2,0.025,0.025,0.075,1.0,2.0,0.05,0.001,0.2,4.0,2.0,3.0,0.19618779674125628,0.11377436362118125,1.6249975808432236e-05,0.07999663970576892,0.0016382922838527447,0.16645056238877518,0.09078051508969914,0.9995783263986208,0.0015872851482172348,0.0009762867293922099,0.00902371327060779,0.002948771806222912,0.002948771806222912,0.1996888905183441,1.0000185804323833
0.30000000000000004,0.0001,3.4,4.0,4.5,1.2,0.12,14.0,2.0,10.5,0.6,3.0,0.26,0.01,0.01,0.004,0.2,0.025,0.025,0.075,1.0,2.0,0.05,0.001,0.2,4.0,2.0,3.0,0.1943027822612763,0.13342054265052786,3.790348874545299e-05,0.11728875723938273,0.003090241432821602,0.16635563180445168,0.0907240437076459,0.9995783359245718,0.001961615662388944,0.0009646441764145993,0.009035355823585401,0.0036451790307413,0.0036451790307413,0.19955227690739893,1.0000261141346052
0.4,0.0001,3.4,4.0,4.5,1.2,0.12,14.0,2.0,10.5,0.6,3.0,0.26,0.01,0.01,0.004,0.2,0.025,0.025,0.075,1.0,2.0,0.05,0.001,0.2,4.0,2.0,3.0,0.1924325136997678,0.14769501742069197,8.567149655728714e-05,0.14999230862317953,0.004721649363695534,0.16627264394802274,0.09067468148918739,0.9995783433744646,0.002405239896962288,0.0009531464154475704,0.00904685358455243,0.004200713544475167,0.004200713544475167,0.19943287543710725,1.0000320061217385
0.5,0.0001,3.4,4.0,4.5,1.2,0.12,14.0,2.0,10.5,0.6,3.0,0.26,0.01,0.01,0.004,0.2,0.025,0.025,0.075,1.0,2.0,0.05,0.001,0.2,4.0,2.0,3.0,0.19057846574757492,0.1582302263042915,0.0001893183183327225,0.17722418246079252,0.006357295758253528,0.16620217024536016,0.09063276635440115,0.999578348631908,0.002932639805794581,0.0009418008179067862,0.009058199182093215,0.0046410979198680605,0.0046410979198680605,0.19933149777358883,1.0000361642233364
0.6000000000000001,0.0001,3.4,4.0,4.5,1.2,0.12,14.0,2.0,10.5,0.6,3.0,0.26,0.01,0.01,0.004,0.2,0.025,0.025,0.075,1.0,2.0,0.05,0.001,0.2,4.0,2.0,3.0,0.18874405163305494,0.1660726081732841,0.00041160929477071127,0.19919330533790078,0.007877093768704744,0.16614369388358047,0.09059798923691303,0.9995783517782121,0.0035612790189372004,0.000930626404714793,0.009069373595285207,0.00498739219751637,0.00498739219751637,0.199247391504867,1.000038652662027
0.7000000000000001,0.0001,3.4,4.0,4.5,1.2,0.12,14.0,2.0,10.5,0.6,3.0,0.26,0.01,0.01,0.004,0.2,0.025,0.025,0.075,1.0,2.0,0.05,0.001,0.2,4.0,2.0,3.0,0.18693692037256077,0.17192480685324138,0.000884457512503642,0.2165151855446211,0.009211862343134737,0.16609601596710163,0.0905696358223965,0.9995783530194181,0.004312263830023311,0.0009196674898002688,0.009080332510199731,0.005256889994350695,0.005256889994350695,0.19917882531731493,1.0000396343492568
0.8,0.0001,3.4,4.0,4.5,1.2,0.12,14.0,2.0,10.5,0.6,3.0,0.26,0.01,0.01,0.004,0.2,0.025,0.025,0.075,1.0,2.0,0.05,0.001,0.2,4.0,2.0,3.0,0.1851738519842825,0.176277111463343,0.00188430428984156,0.22990167715290555,0.010331506692038427,0.16605759005633708,0.09054678552389124,0.9995783526260285,0.005211137669109211,0.000909022629846732,0.009090977370153267,0.0054638400973678215,0.0054638400973678215,0.19912357025655417,1.0000393232114986
0.9,0.0001,3.4,4.0,4.5,1.2,0.12,14.0,2.0,10.5,0.6,3.0,0.26,0.01,0.01,0.004,0.2,0.025,0.025,0.075,1.0,2.0,0.05,0.001,0.2,4.0,2.0,3.0,0.18349108446430248,0.17948458583654786,0.003988211799252342,0.24003808333224788,0.011233272625373714,0.16602676615264222,0.09052845651642737,0.9995783508889413,0.006288809546807414,0.0008989054790365255,0.009101094520963474,0.005620101518080074,0.005620101518080074,0.1990792502856634,1.0000379493277047
