data_set_T,data_set_H1,data_set_H2,data_set_H3,data_set_H4,data_set_S1,data_set_S1_SLOW,data_set_S2,data_set_S3,data_set_S4,data_set_V1,data_set_V2,data_set_V3,data_set_V4
0.0,0.19499999,0.199,0.19499999,0.19499999,0.92592502,0.92592502,0.0,0.0,0.92592502,-14.5,-61.599998,-75.0,-15.0
10.0,0.19126457,0.23455067,0.27306366,0.18824181,0.9208411,0.99462807,0.0027103715,7.6738834e-06,0.92346716,-27.22854,-57.537685,-76.322433,-28.337898
20.0,0.18816616,0.26215345,0.34490564,0.182768,0.92051786,0.99462861,0.0055528437,1.0623558e-05,0.9226495,-27.410353,-56.890392,-76.31823,-28.485872
30.0,0.18517348,0.28735703,0.40957868,0.17756541,0.92020106,0.99460673,0.0073643234,1.1970419e-05,0.92153054,-27.575912,-56.641167,-76.309074,-28.619081
40.0,0.18228099,0.31083927,0.46780086,0.17261909,0.91990149,0.99458748,0.0085276263,1.259738e-05,0.92039037,-27.735291,-56.443153,-76.300079,-28.748892
50.0,0.1794845,0.33277932,0.52022153,0.16791579,0.91957569,0.99456424,0.0093909334,1.2899922e-05,0.91873926,-27.891769,-56.252502,-76.291756,-28.875277
60.0,0.1767806,0.35328737,0.56742382,0.16344297,0.91924429,0.9945401,0.010137045,1.3055766e-05,0.91686732,-28.047092,-56.06292,-76.283562,-28.998177
70.0,0.17416638,0.37245709,0.60993093,0.15918876,0.91887933,0.99451441,0.010853302,1.3145296e-05,0.91439104,-28.202269,-55.873329,-76.275734,-29.117424
80.0,0.17163926,0.39037329,0.64821297,0.15514199,0.91850358,0.99448735,0.011581357,1.3204718e-05,0.91156203,-28.357887,-55.683239,-76.267738,-29.23307
90.0,0.16919686,0.40711361,0.68269199,0.15129213,0.91802382,0.99445856,0.012342371,1.3250909e-05,0.90791863,-28.514393,-55.49255,-76.259941,-29.344727
100.0,0.16683704,0.4227494,0.71374774,0.14762917,0.91759849,0.9944281,0.013148338,1.3291396e-05,0.90386188,-28.67214,-55.300514,-76.251526,-29.453005
110.0,0.1645578,0.43734598,0.74172121,0.1441437,0.9171406,0.99439567,0.014007924,1.3330246e-05,0.89895612,-28.831488,-55.106972,-76.242882,-29.557537
120.0,0.16235736,0.45096323,0.76691926,0.14082676,0.91665763,0.99436098,0.014928645,1.3369458e-05,0.89319599,-28.992796,-54.911476,-76.233795,-29.658325
130.0,0.16023406,0.46365607,0.78961802,0.13766989,0.91615307,0.99432391,0.015918214,1.3410228e-05,0.88654417,-29.15646,-54.71352,-76.224121,-29.755358
140.0,0.15818645,0.4754746,0.81006587,0.13466503,0.91559345,0.99428403,0.016985321,1.3453378e-05,0.8789314,-29.322926,-54.512623,-76.213791,-29.848465
150.0,0.15621324,0.48646456,0.8284865,0.13180451,0.91501874,0.99424112,0.018140046,1.3499476e-05,0.87036937,-29.492695,-54.30801,-76.202667,-29.937773
160.0,0.15431334,0.49666733,0.84508139,0.12908103,0.9143526,0.99419457,0.019394707,1.3548986e-05,0.86080146,-29.666357,-54.099083,-76.190796,-30.022938
170.0,0.15248586,0.50612038,0.86003184,0.1264876,0.91369683,0.99414402,0.020764098,1.3602153e-05,0.85034221,-29.844614,-53.884586,-76.178024,-30.104319
180.0,0.15073018,0.51485687,0.8735013,0.12401756,0.9128716,0.99408871,0.022267275,1.36592e-05,0.83892709,-30.028307,-53.663795,-76.164574,-30.181158
190.0,0.14904587,0.52290618,0.8856371,0.1216645,0.91212839,0.99402785,0.023927564,1.3719995e-05,0.82685262,-30.218481,-53.434494,-76.150208,-30.2544
200.0,0.14743288,0.53029317,0.89657176,0.11942233,0.91103834,0.99396032,0.025777036,1.3784538e-05,0.81395483,-30.416452,-53.195877,-76.13549,-30.322266
210.0,0.14589155,0.53703845,0.906425,0.11728507,0.9100886,0.9938848,0.027856108,1.3852209e-05,0.80079067,-30.623949,-52.943951,-76.12001,-30.386637
220.0,0.14442268,0.5431571,0.91530454,0.11524701,0.90896666,0.99379921,0.030222893,1.3922515e-05,0.78735036,-30.843281,-52.675926,-76.104294,-30.446152
230.0,0.14302778,0.54865777,0.92330742,0.11330263,0.90752304,0.9937008,0.032960303,1.3994695e-05,0.773835,-31.077692,-52.387051,-76.088722,-30.50004
240.0,0.1417093,0.55354154,0.93052119,0.11144637,0.90618277,0.99358547,0.036190588,1.4067367e-05,0.76092851,-31.331974,-52.068291,-76.073036,-30.549942
250.0,0.14047113,0.55779696,0.93702471,0.10967305,0.90366524,0.99344611,0.04011678,1.4139804e-05,0.74805516,-31.613562,-51.711018,-76.059212,-30.58989
260.0,0.13931951,0.56139672,0.94288921,0.10797668,0.90190709,0.99327236,0.045072056,1.420876e-05,0.73743355,-31.935152,-51.288189,-76.044891,-30.628277
270.0,0.13826494,0.56428164,0.94817853,0.1063519,0.8983978,0.9930402,0.051730033,1.427332e-05,0.72793067,-32.320343,-50.766964,-76.034187,-30.652805
280.0,0.13732678,0.56633729,0.95295084,0.1047916,0.89442039,0.9926995,0.061580442,1.4327985e-05,0.72255528,-32.820595,-50.054161,-76.024841,-30.669327
290.0,0.13654701,0.56731731,0.9572584,0.10328753,0.88653314,0.99209136,0.079083718,1.4367995e-05,0.72226936,-33.575214,-48.913296,-76.021744,-30.661617
300.0,0.13605255,0.56660205,0.96114922,0.10182573,0.86581969,0.99046797,0.12696882,1.4381221e-05,0.73330164,-35.154305,-46.323734,-76.028069,-30.610151
310.0,0.13712944,0.56241745,0.96466738,0.10038145,0.69824964,0.97642505,0.71720952,1.4350145e-05,0.76325142,-44.652355,-32.810509,-76.044624,-30.499037
320.0,0.17535578,0.55292159,0.96782917,0.09915714,0.32138488,0.92997527,0.92344379,1.4517872e-05,0.58089125,-63.414196,-24.881317,-75.830284,-32.095608
330.0,0.25202325,0.54233015,0.97056854,0.099366769,0.1446332,0.88465869,0.9239158,1.597369e-05,0.26593733,-65.953667,-24.142277,-75.250534,-36.255802
340.0,0.32661921,0.53163993,0.97292775,0.10271193,0.065187536,0.84155631,0.92416245,1.8408044e-05,0.11949483,-66.026558,-23.910328,-74.795464,-40.475895
350.0,0.39269456,0.5211004,0.97499311,0.11058127,0.029511102,0.80057144,0.92409533,2.1018526e-05,0.053692475,-65.823593,-23.911564,-74.462288,-43.350506
360.0,0.45070583,0.51081866,0.97682208,0.12224923,0.013503373,0.76160389,0.9240942,2.3483568e-05,0.024125578,-65.595924,-24.012629,-74.198769,-44.748184
370.0,0.50169683,0.5008328,0.97845238,0.13537185,0.006332343,0.7245571,0.92397118,2.576583e-05,0.010840318,-65.374268,-24.157091,-73.970879,-45.084179
380.0,0.54661989,0.49115077,0.97991085,0.14786276,0.0031313368,0.68933898,0.92389196,2.7933633e-05,0.0048708678,-65.161949,-24.318235,-73.759789,-44.769882
390.0,0.58628726,0.48176757,0.9812181,0.15855047,0.0017140851,0.65586191,0.92376012,3.007299e-05,0.0021886213,-64.959175,-24.48464,-73.55584,-44.064373
400.0,0.62138849,0.47267333,0.98239088,0.16698745,0.0010984791,0.62404239,0.92365384,3.2256692e-05,0.00098341075,-64.765373,-24.651232,-73.354279,-43.114788
410.0,0.65251011,0.46385655,0.9834435,0.17316398,0.00084333582,0.59380096,0.92351955,3.4539127e-05,0.0004418749,-64.580162,-24.815935,-73.152863,-42.017895
420.0,0.68015283,0.45530561,0.98438811,0.17731844,0.00075044716,0.56506193,0.92339844,3.6959729e-05,0.00019854827,-64.403015,-24.977945,-72.950607,-40.863873
430.0,0.70474607,0.44700912,0.98523563,0.17981967,0.00073074707,0.53775322,0.92326027,3.9547831e-05,8.9224217e-05,-64.233536,-25.137053,-72.747131,-39.756199
440.0,0.72665906,0.43895641,0.98599565,0.1810801,0.00074418978,0.51180619,0.92312777,4.2326654e-05,4.0171522e-05,-64.071289,-25.293278,-72.542366,-38.800838
450.0,0.74621046,0.43113735,0.98667651,0.18148746,0.00077274936,0.48715547,0.92298353,4.5316014e-05,1.8451648e-05,-63.915928,-25.446758,-72.33638,-38.072182
460.0,0.76367629,0.42354247,0.98728585,0.18136199,0.00080828869,0.46373874,0.92284054,4.8534028e-05,9.5400046e-06,-63.76709,-25.597666,-72.129333,-37.587822
470.0,0.7792961,0.41616282,0.98783028,0.18094234,0.00084711437,0.4414967,0.92268836,5.199814e-05,6.7935998e-06,-63.624466,-25.746181,-71.921394,-37.315418
480.0,0.79327869,0.40899006,0.98831588,0.18039203,0.00088752824,0.42037281,0.92253458,5.5725675e-05,6.6048442e-06,-63.48774,-25.892487,-71.712784,-37.199871
490.0,0.8058064,0.40201631,0.98874789,0.17981496,0.00092873047,0.40031317,0.922373,5.9734168e-05,6.912825e-06,-63.356636,-26.036758,-71.5037,-37.186909
500.0,0.81703883,0.3952342,0.98913121,0.17927225,0.00097032514,0.38126647,0.92220795,6.4041509e-05,6.8687445e-06,-63.230888,-26.179161,-71.294357,-37.233761
510.0,0.82711619,0.38863668,0.98946995,0.1787959,0.0010120996,0.3631838,0.92203552,6.8665926e-05,6.3874036e-06,-63.110249,-26.319857,-71.084976,-37.310463
520.0,0.83616185,0.38221723,0.98976797,0.17839895,0.0010539244,0.34601852,0.92185825,7.3625983e-05,5.6624044e-06,-62.99448,-26.459,-70.875763,-37.39753
