data_set_value_component_environment_variable_time,data_set_value_component_P_variable_P,data_set_value_component_Ra_variable_Ra,data_set_value_component_Ri_variable_Ri,data_set_value_component_Ca_variable_Ca,data_set_value_component_Ci_variable_Ci,data_set_value_component_rho_variable_rho,data_set_value_component_model_parameters_variable_k1,data_set_value_component_model_parameters_variable_k1_,data_set_value_component_model_parameters_variable_k2,data_set_value_component_model_parameters_variable_k2_,data_set_value_component_model_parameters_variable_k3,data_set_value_component_model_parameters_variable_k3_,data_set_value_component_model_parameters_variable_k4,data_set_value_component_model_parameters_variable_k4_,data_set_value_component_model_parameters_variable_kcl,data_set_value_component_model_parameters_variable_D,data_set_value_component_model_parameters_variable_De,data_set_value_component_model_parameters_variable_Dd,data_set_value_component_model_parameters_variable_dmax,data_set_value_component_model_parameters_variable_dmin,data_set_value_component_model_parameters_variable_tau_on,data_set_value_component_model_parameters_variable_tau_off,data_set_value_component_model_parameters_variable_cycle_length,data_set_value_component_model_parameters_variable_j,data_set_value_component_model_parameters_variable_time_hour
0.0,3.0,16.9,1.7,0.0004,0.05,0.9061682323167332,1e-06,0.001,1e-07,0.001,0.001,0.0001,0.002,0.4,0.005,7.5,0.0,7.5,7.5,0.0,0.5,0.5,1.0,9.0,0.0
0.1,3.7483108515613215,16.899995333323147,1.7000039424250002,0.0003996770580720104,0.050001047193775044,0.9061679647825905,1e-06,0.001,1e-07,0.001,0.001,0.0001,0.002,0.4,0.005,7.5,0.0,7.5,7.5,0.0,0.5,0.5,1.0,9.0,2.777777777777778e-05
0.2,4.496247687843108,16.899989407281893,1.7000078718359097,0.0004005915642494852,0.05000212931794417,0.9061676960733358,1e-06,0.001,1e-07,0.001,0.001,0.0001,0.002,0.4,0.005,7.5,0.0,7.5,7.5,0.0,0.5,0.5,1.0,9.0,5.555555555555556e-05
0.30000000000000004,5.243809426952756,16.899982218352495,1.7000117881908472,0.00040270383429746545,0.050003289622359656,0.9061674238722384,1e-06,0.001,1e-07,0.001,0.001,0.0001,0.002,0.4,0.005,7.5,0.0,7.5,7.5,0.0,0.5,0.5,1.0,9.0,8.333333333333334e-05
0.4,5.990996225030899,16.899973767181354,1.7000156914945725,0.00040596978427895016,0.05000457153979524,0.9061671458502569,1e-06,0.001,1e-07,0.001,0.001,0.0001,0.002,0.4,0.005,7.5,0.0,7.5,7.5,0.0,0.5,0.5,1.0,9.0,0.00011111111111111112
0.5,6.7378082902456224,16.899964054611594,1.700019581759494,0.000410337779380743,0.05000602584953145,0.9061668592840355,1e-06,0.001,1e-07,0.001,0.001,0.0001,0.002,0.4,0.005,7.5,0.0,7.5,7.5,0.0,0.5,0.5,1.0,9.0,0.0001388888888888889
0.6000000000000001,7.484245711068892,16.899953081001485,1.7000234589915009,0.0004157859392702626,0.050007674067743445,0.9061665630196004,1e-06,0.001,1e-07,0.001,0.001,0.0001,0.002,0.4,0.005,7.5,0.0,7.5,7.5,0.0,0.5,0.5,1.0,9.0,0.0001666666666666667
0.7000000000000001,8.230308718947507,16.899940847277886,1.7000273232117735,0.00042226116461369285,0.05000956834572759,0.90616625425956,1e-06,0.001,1e-07,0.001,0.001,0.0001,0.002,0.4,0.005,7.5,0.0,7.5,7.5,0.0,0.5,0.5,1.0,9.0,0.00019444444444444446
0.8,8.975997463281569,16.899927354039292,1.7000311744348309,0.00042972915703355375,0.050011742368844286,0.9061659311969891,1e-06,0.001,1e-07,0.001,0.001,0.0001,0.002,0.4,0.005,7.5,0.0,7.5,7.5,0.0,0.5,0.5,1.0,9.0,0.00022222222222222223
0.9,9.721312182960014,16.899912602230632,1.7000350126928117,0.0004381400203784957,0.05001424505617801,0.9061655912072132,1e-06,0.001,1e-07,0.001,0.001,0.0001,0.002,0.4,0.005,7.5,0.0,7.5,7.5,0.0,0.5,0.5,1.0,9.0,0.00025
1.0,10.466253061667658,16.89989659257878,1.7000388380113887,0.00044745534750054324,0.05001711406233038,0.906165232269886,1e-06,0.001,1e-07,0.001,0.001,0.0001,0.002,0.4,0.005,7.5,0.0,7.5,7.5,0.0,0.5,0.5,1.0,9.0,0.0002777777777777778
