APC_active_1_task1,CDK1_active_2_task1,_1_task1
0.0,0.0,0.0
5.163365991832463e-12,0.024999999999999998,0.25
1.5959202746897505e-09,0.05,0.5
5.958395718113081e-08,0.075,0.75
7.751638489447387e-07,0.09999999999999996,1.0
5.6447747295784564e-06,0.12499999999999997,1.25
2.8478639323585927e-05,0.15,1.5
0.00011153808401442179,0.175,1.75
0.00036291242583846953,0.19999999999999993,2.0
0.0010245796516249153,0.22499999999999992,2.25
0.0025844709979312534,0.2499999999999999,2.5
0.005943562867418413,0.27499999999999986,2.75
0.01263483611692083,0.2999999999999928,3.0
0.025049539875285822,0.3249999999980572,3.25
0.04653708407135105,0.349999999676743,3.5
0.0811089012425767,0.37499996797460816,3.75
0.13239117205349238,0.3999980821073478,4.0
0.2016863129645691,0.4249319861986994,4.25
0.28526623615820523,0.4486212957694439,4.5
0.3675497399970688,0.4607668332224476,4.75
0.41181845852791543,0.44072567286222786,5.0
0.4036903801461843,0.41067719963096144,5.25
0.37560759310800673,0.39896028413827356,5.5
0.35309179471450486,0.4021814969671577,5.75
0.34474188530501704,0.4113728521810565,6.0
0.34997356596485335,0.42062420037660464,6.25
0.3624622318498526,0.42589283414715406,6.5
0.3734170381927802,0.42531724921567704,6.75
0.37710724445163774,0.4208992870512133,7.0
0.37417153576116285,0.41674578449235755,7.25
0.36893508444548007,0.4152078381515855,7.5
0.365193412920476,0.41606748919423536,7.75
0.36441993967652553,0.41793589078626425,8.0
0.3659786654823214,0.4194632134689299,8.25
0.3681996749099925,0.4199442809814141,8.5
0.3696169147616213,0.4194748861031992,8.75
0.369732552673286,0.41865966293463974,9.0
0.3689650314664942,0.418085831441672,9.25
0.3680692531878862,0.41798300121222687,9.5
0.36758712462987525,0.4182321810329951,9.75
0.3676332030762182,0.4185671549677681,10.0
0.36799037933147627,0.4187726132086904,10.25
0.36834760206590744,0.4187817954477225,10.5
0.36850721413517656,0.41866123323727883,10.75
0.3684530190585853,0.41852516524866906,11.0
0.36829343338765236,0.41845484530389854,11.25
0.3681555659549382,0.4184651568905511,11.5
0.36810768150666395,0.41852089259530706,11.75
0.3681437109889289,0.4185747594976461,12.0
0.3682134466310927,0.41859767202038667,12.25
0.3682660605953283,0.4185878685129008,12.5
0.36827806578731304,0.41856278594831786,12.75
0.36825802009103914,0.41854187674148075,13.0
0.3682283954406142,0.41853504550913795,13.25
0.3682086182118612,0.41854092217848526,13.5
0.3682061314124606,0.41855212793474394,13.75
0.3682166030954676,0.4185604967412805,14.0
0.36822944856627843,0.41856218198353307,14.25
0.3682366425201041,0.418558901702223,14.5
0.36823657956131856,0.41855406924658095,14.75
0.36823149305802116,0.41855077117523,15.0
0.36822587925357364,0.4185503754278961,15.25
0.3682230363103266,0.41855212853653867,15.5
0.36822359132146554,0.4185543311418093,15.75
0.36822623370263763,0.4185556204418362,16.0
0.3682286141425868,0.4185554962758762,16.25
0.36822951763673956,0.4185545763083676,16.5
0.368228968659914,0.4185536303359782,16.75
0.3682277865657703,0.41855319351647174,17.0
0.3682268970053547,0.418553226616564,17.25
0.3682265022093728,0.4185535373524695,17.5
0.36822650831833487,0.41855387812242273,17.75
0.36822686522766795,0.4185541672298378,18.0
0.36822724622752756,0.41855427838742465,18.25
0.36822766090933967,0.41855432087524785,18.5
0.36822779592392446,0.4185541357303361,18.75
0.3682277186523165,0.4185540375161759,19.0
0.3682276414233957,0.41855394247891786,19.25
0.3682275651905626,0.41855392157339655,19.5
0.3682274936356333,0.4185539028035185,19.75
0.3682274783313846,0.41855390971424183,20.0
0.3682274630271359,0.4185539166249652,20.25
0.36822744772288724,0.41855392353568865,20.5
0.3682274363165045,0.4185539296385916,20.75
0.36822743770488175,0.4185539330898213,21.0
0.3682274390932589,0.418553936541051,21.25
0.3682274404816361,0.4185539399922807,21.5
0.3682274415626779,0.4185539421421718,21.75
0.36822744216349973,0.41855394225868553,22.0
0.36822744276432157,0.4185539423751992,22.25
0.3682274433651434,0.4185539424917129,22.5
0.3682274439659653,0.41855394260822665,22.75
0.3682274445667872,0.41855394272474034,23.0
0.368227445167609,0.418553942841254,23.25
0.36822744576843086,0.41855394295776777,23.5
0.3682274463692527,0.41855394307428145,23.75
0.36822744697007453,0.41855394319079514,24.0
0.36822744757089637,0.4185539433073089,24.25
0.3682274478641422,0.4185539433455686,24.5
0.36822744789433204,0.41855394331690116,24.75
0.3682274479245219,0.4185539432882337,25.0
