Time,APC_active,CDK1_active,a1,b1,k1,n1,a2,b2,k2,n2,nuclear,R1_Cdk1_activation_by_cyclin_synthesis,R2_Cdk1_inactivation_by_APC_active,R3_APC_activation_by_Cdk1_active,R4_APC_Inactivation
0.0,0.0,0.0,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.0,0.0,0.0
0.25,5.163365991832463e-12,0.024999999999999998,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,9.699838614000352e-90,1.171874999948172e-10,5.163365991832463e-12
0.5,1.5959202746897505e-09,0.05,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,1.6159233664699626e-69,2.9999999652122414e-08,1.5959202746897505e-09
0.75,5.958395718113081e-08,0.075,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,9.150761290585788e-57,7.688669446356618e-07,5.958395718113081e-08
1.0,7.751638489447387e-07,0.09999999999999996,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,1.0011734032093499e-47,7.67997438600719e-06,7.751638489447387e-07
1.25,5.6447747295784564e-06,0.12499999999999997,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,9.895646030091223e-41,4.577541031288899e-05,5.6447747295784564e-06
1.5,2.8478639323585927e-05,0.15,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,4.984325109934017e-35,0.00019681148174810438,2.8478639323585927e-05
1.75,0.00011153808401442179,0.175,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,3.219472416062463e-30,0.000675335189158258,0.00011153808401442179
2.0,0.00036291242583846953,0.19999999999999993,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,4.6217443882631153e-26,0.00196407930612374,0.00036291242583846953
2.25,0.0010245796516249153,0.22499999999999992,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,2.098502783890783e-22,0.005030909549103352,0.0010245796516249153
2.5,0.0025844709979312534,0.2499999999999999,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,3.8218578764193946e-19,0.01164298282881788,0.0025844709979312534
2.75,0.005943562867418413,0.27499999999999986,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,3.289037309960298e-16,0.024763523258145504,0.005943562867418413
3.0,0.01263483611692083,0.2999999999999928,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,1.4963713351307827e-13,0.04892999380820815,0.01263483611692083
3.25,0.025049539875285822,0.3249999999980572,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,3.8693908842679714e-11,0.09032084519710558,0.025049539875285822
3.5,0.04653708407135105,0.349999999676743,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,5.9132004757388166e-09,0.1559079357453619,0.04653708407135105
3.75,0.0811089012425767,0.37499996797460816,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,5.394365733492696e-07,0.25086372892740405,0.0811089012425767
4.0,0.13239117205349238,0.3999980821073478,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,2.89921786433067e-05,0.3739320842839288,0.13239117205349238
4.25,0.2016863129645691,0.4249319861986994,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.0008928690514375043,0.5123357218889937,0.2016863129645691
4.5,0.28526623615820523,0.4486212957694439,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.014941550101831963,0.63423098526561,0.28526623615820523
4.75,0.3675497399970688,0.4607668332224476,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.1086014788538206,0.6491785519795783,0.3675497399970688
5.0,0.41181845852791543,0.44072567286222786,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.23107448723084037,0.4712761423412961,0.41181845852791543
5.25,0.4036903801461843,0.41067719963096144,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.18843435737942688,0.30696116674767154,0.4036903801461843
5.5,0.37560759310800673,0.39896028413827356,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.11020813067040149,0.264353854229955,0.37560759310800673
5.75,0.35309179471450486,0.4021814969671577,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.07027827034014862,0.2893719820371986,0.35309179471450486
6.0,0.34474188530501704,0.4113728521810565,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.05996755431942627,0.34110622570321525,0.34474188530501704
6.25,0.34997356596485335,0.42062420037660464,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.06874016333151015,0.3910615183859136,0.34997356596485335
6.5,0.3624622318498526,0.42589283414715406,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.09054057104537297,0.4149956763929233,0.3624622318498526
6.75,0.3734170381927802,0.42531724921567704,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.11259188285448829,0.404420114707473,0.3734170381927802
7.0,0.37710724445163774,0.4208992870512133,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.1196776067485644,0.3763070469788437,0.37710724445163774
7.25,0.37417153576116285,0.41674578449235755,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.1119579211107346,0.35469152303116863,0.37417153576116285
7.5,0.36893508444548007,0.4152078381515855,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.1006119348186658,0.34915796533347637,0.36893508444548007
7.75,0.365193412920476,0.41606748919423536,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.09351631927546912,0.35599262155871647,0.365193412920476
8.0,0.36441993967652553,0.41793589078626425,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.09247289461514935,0.36693087196420376,0.36441993967652553
8.25,0.3659786654823214,0.4194632134689299,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.09578921135495241,0.374734545064093,0.3659786654823214
8.5,0.3681996749099925,0.4199442809814141,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.1002764702101543,0.37617901455745606,0.3681996749099925
8.75,0.3696169147616213,0.4194748861031992,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.10303464421367613,0.3726507864881359,0.3696169147616213
9.0,0.369732552673286,0.41865966293463974,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.10307092111812169,0.36794857334339964,0.369732552673286
9.25,0.3689650314664942,0.418085831441672,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.10136980929196673,0.3651518981045522,0.3689650314664942
9.5,0.3680692531878862,0.41798300121222687,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.09954809323760026,0.3650898000758734,0.3680692531878862
9.75,0.36758712462987525,0.4182321810329951,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.09865010959938784,0.36677692503432985,0.36758712462987525
10.0,0.3676332030762182,0.4185671549677681,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.09882037814066373,0.3686487989619983,0.3676332030762182
10.25,0.36799037933147627,0.4187726132086904,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.09957883963955497,0.3696073641541478,0.36799037933147627
10.5,0.36834760206590744,0.4187817954477225,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.1002950470506034,0.36945062360384123,0.36834760206590744
10.75,0.36850721413517656,0.41866123323727883,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.10058640064201148,0.3686728325422887,0.36850721413517656
11.0,0.3684530190585853,0.41852516524866906,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.10044492491711017,0.3679328642727306,0.3684530190585853
11.25,0.36829343338765236,0.41845484530389854,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.10010830096314145,0.36762735201114194,0.36829343338765236
11.5,0.3681555659549382,0.4184651568905511,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.09983516632733459,0.36776601478437265,0.3681555659549382
11.75,0.36810768150666395,0.41852089259530706,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.09975286634014428,0.36810982782428414,0.36810768150666395
12.0,0.3681437109889289,0.4185747594976461,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.09983763764375092,0.3683943254542087,0.3681437109889289
12.25,0.3682134466310927,0.41859767202038667,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.09998245110364708,0.3684836392556006,0.3682134466310927
12.5,0.3682660605953283,0.4185878685129008,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.10008534235259935,0.3683973431400226,0.3682660605953283
12.75,0.36827806578731304,0.41856278594831786,0.1,3.0,0.5,8.0,3.0,1.0,0.5,8.0,1.0,0.1,0.10010336717802688,0.36824808946641147,0.36827806578731304
