Time,x,y,y0,beta_x,psi,alpha_x,alpha_xy,beta_y,alpha_y,alpha_0,fx,flag1,flag2,flag3,M,xmax,xmin,compartment,R1,R2,R3,R4,R5,R6
0.0,0.28,0.73,0.0,2.55,1.0,0.0,3.15,0.85,0.6,55.0,0.5700000000000001,0.0,0.0,1.0,34.0,0.92,0.12,1.0,0.5700000000000001,0.0,0.6438600000000001,0.23800000000000002,0.0,0.438
0.01,0.27927607126191745,0.7261808168573791,0.0018280559422861093,2.55,1.0,0.0,3.15,0.85,0.6,55.0,0.5677603454665571,0.0,0.0,1.0,34.0,0.92,0.12,1.0,0.5677603454665571,0.0,0.6388355155067512,0.23738466057262983,0.100543076825736,0.43570849011442747
0.02,0.2785762099456118,0.7231539148242447,0.0028781075815062715,2.55,1.0,0.0,3.15,0.85,0.6,55.0,0.5655951495192364,0.0,0.0,1.0,34.0,0.92,0.12,1.0,0.5655951495192364,0.0,0.6345784519170701,0.23678977845377,0.15829591698284493,0.4338923488945468
0.03,0.2778950847652146,0.7205865328879328,0.00347943140101368,2.55,1.0,0.0,3.15,0.85,0.6,55.0,0.5634879184923826,0.0,0.0,1.0,34.0,0.92,0.12,1.0,0.5634879184923826,0.0,0.6307794852583272,0.23621082205043237,0.1913687270557524,0.4323519197327597
0.04,0.27722961396442164,0.7182867473871786,0.0038219673010516206,2.55,1.0,0.0,3.15,0.85,0.6,55.0,0.5614291182024294,0.0,0.0,1.0,34.0,0.92,0.12,1.0,0.5614291182024294,0.0,0.6272606267358087,0.2356451718697584,0.21020820155783912,0.43097204843230713
0.05,0.27657800995379855,0.7161438626885371,0.004015292497377206,2.55,1.0,0.0,3.15,0.85,0.6,55.0,0.5594132182945643,0.0,0.0,1.0,34.0,0.92,0.12,1.0,0.5594132182945643,0.0,0.6239193798065191,0.23509130846072876,0.22084108735574634,0.42968631761312226
0.06,0.2759392303835885,0.7140940488096326,0.004122617583357796,2.55,1.0,0.0,3.15,0.85,0.6,55.0,0.5574369939992269,0.0,0.0,1.0,34.0,0.92,0.12,1.0,0.5574369939992269,0.0,0.6206966710875966,0.2345483458260502,0.2267439670846788,0.42845642928577954
0.07,0.2753126623147509,0.7121005105436579,0.004180405995188501,2.55,1.0,0.0,3.15,0.85,0.6,55.0,0.5554985490362605,0.0,0.0,1.0,34.0,0.92,0.12,1.0,0.5554985490362605,0.0,0.6175584052894235,0.23401576296753823,0.22992232973536755,0.4272603063261947
0.08,0.2746979405342979,0.7101420466929346,0.0042096928119675185,2.55,1.0,0.0,3.15,0.85,0.6,55.0,0.5535967535279841,0.0,0.0,1.0,34.0,0.92,0.12,1.0,0.5535967535279841,0.0,0.6144848567970851,0.23349324945415323,0.23153310465821353,0.4260852280157607
0.09,0.27409484306681525,0.7082064520737879,0.004222612414818739,2.55,1.0,0.0,3.15,0.85,0.6,55.0,0.5517309207379596,0.0,0.0,1.0,34.0,0.92,0.12,1.0,0.5517309207379596,0.0,0.6114645694712233,0.23298061660679295,0.23224368281503063,0.4249238712442727
0.1,0.27350323106738594,0.7062867116806092,0.004226163756798397,2.55,1.0,0.0,3.15,0.85,0.6,55.0,0.5499006211147253,0.0,0.0,1.0,34.0,0.92,0.12,1.0,0.5499006211147253,0.0,0.6084908477695085,0.23247774640727806,0.23243900662391184,0.4237720270083655
0.11,0.2729230141867412,0.7043788018437254,0.004224385773775712,2.55,1.0,0.0,3.15,0.85,0.6,55.0,0.5481055751402305,0.0,0.0,1.0,34.0,0.92,0.12,1.0,0.5481055751402305,0.0,0.6055597350445697,0.23198456205873,0.23234121755766415,0.4226272811062352
0.12,0.2723541307318614,0.7024804273322367,0.004219606830547235,2.55,1.0,0.0,3.15,0.85,0.6,55.0,0.5463455919516961,0.0,0.0,1.0,34.0,0.92,0.12,1.0,0.5463455919516961,0.0,0.6026688553479861,0.23150101112208216,0.23207837568009793,0.421488256399342
0.13,0.27179653616884974,0.7005902874887137,0.004213170776581849,2.55,1.0,0.0,3.15,0.85,0.6,55.0,0.5446205337723788,0.0,0.0,1.0,34.0,0.92,0.12,1.0,0.5446205337723788,0.0,0.5998167422508587,0.23102705574352228,0.23172439271200168,0.4203541724932282
