Time,AdoMet,Homocysteine,Methionine,Metin,AdoHcy,_5mTHF,Cystathionine,V_max_MATI,K_m_MATI,K_i_MATI,V_max_MATIII,K_m1_MATIII,K_m2_MATIII,V_max_GNMT,K_m_GNMT,K_i_GNMT,V_max_METH,K_m1_METH,K_m2_METH_A,alpha_1,alpha_2,beta_1,beta_2,V_max_MS,K_m_Hcy_MS,K_m_5mTHF_MS,K_d_MS,V_max_BHMT,K_m_BHMT,Compartment,V_MAT_I,V_MAT_III,V_METH,V_GNMT,V_AH,V_MS,V_BHMT,V_CBS,METIN
0.0,137.6,0.88,53.5,200.0,13.2,5.2,0.0,561.0,41.0,50.0,22870.0,16689.375062333565,21.1,10600.0,4500.0,20.0,4521.0,4.3,10.0,100.0,10.0,1.7,30.0,500.0,0.1,25.0,1.0,2500.0,12.0,1.0,144.76057723843883,256.29597342822404,398.54545454545456,2.0964706395330555,439.9999999999999,84.13001912045888,116.14906832298142,199.19679999999997,200.0
0.01,137.60481670463545,0.9030595996490182,53.52330834367483,200.0,13.103826111209386,5.2,2.044989240831424,561.0,41.0,50.0,22870.0,16689.217732445344,21.1,10600.0,4500.0,20.0,4521.0,4.275956527802347,10.0,100.0,10.0,1.7,30.0,500.0,0.1,25.0,1.0,2500.0,12.0,1.0,144.80460754154356,256.48798704281467,398.6134158780792,2.102730576621571,407.32301147192055,84.17902248333013,119.37925411345812,204.27631930689978,200.0
0.02,137.61139306801303,0.8985129587459683,53.543155622745985,200.0,13.044952033653367,5.2,4.081986316841732,561.0,41.0,50.0,22870.0,16689.002927016536,21.1,10600.0,4500.0,20.0,4521.0,4.261238008413342,10.0,100.0,10.0,1.7,30.0,500.0,0.1,25.0,1.0,2500.0,12.0,1.0,144.8406732564253,256.6527723611038,398.6553440352112,2.106708354048333,405.9822446193683,84.16955516134682,119.04777484917068,203.16796450257925,200.0
0.03,137.61931133432725,0.8949299244918065,53.558145712302604,200.0,12.998468777718061,5.2,6.109144251160354,561.0,41.0,50.0,22870.0,16688.744292010626,21.1,10600.0,4500.0,20.0,4521.0,4.249617194429515,10.0,100.0,10.0,1.7,30.0,500.0,0.1,25.0,1.0,2500.0,12.0,1.0,144.8662164842162,256.7787309976947,398.6886878259851,2.1099550876464384,404.9169532799995,84.16202807062476,118.7732703872714,202.2991118559994,200.0
0.04,137.62821251506918,0.8921108821272468,53.569252633708544,200.0,12.961825508945633,5.2,8.128598460149474,561.0,41.0,50.0,22870.0,16688.45355373565,21.1,10600.0,4500.0,20.0,4521.0,4.240456377236408,10.0,100.0,10.0,1.7,30.0,500.0,0.1,25.0,1.0,2500.0,12.0,1.0,144.8834014997904,256.8735884612751,398.7152045997756,2.1126148425931097,404.0716687673166,84.15606439949029,118.54500390317219,201.61979336018769,200.0
0.05,137.63780930465464,0.8898978717393046,53.577261906506784,200.0,12.932989352540963,5.2,10.14204156455837,561.0,41.0,50.0,22870.0,16688.140096941053,21.1,10600.0,4500.0,20.0,4521.0,4.233247338135241,10.0,100.0,10.0,1.7,30.0,500.0,0.1,25.0,1.0,2500.0,12.0,1.0,144.89397153363765,256.9435823445749,398.73629592148376,2.114803668910502,403.4010635147917,84.15135691032175,118.35425376016204,201.09054040873457,200.0
0.06,137.64787276217632,0.8881654696015313,53.5828048089945,200.0,12.910345028955133,5.2,12.150811930272543,561.0,41.0,50.0,22870.0,16687.811399838225,21.1,10600.0,4500.0,20.0,4521.0,4.227586257238784,10.0,100.0,10.0,1.7,30.0,500.0,0.1,25.0,1.0,2500.0,12.0,1.0,144.8993258033449,256.993730265433,398.75307608705344,2.116614564769006,402.8690332939819,84.14765576493902,118.19391324413714,200.68007326356488,200.0
0.07,137.65822136906087,0.886813781854921,53.586386812997354,200.0,12.892613419081554,5.2,14.155964617005296,561.0,41.0,50.0,22870.0,16687.473391532756,21.1,10600.0,4500.0,20.0,4521.0,4.223153354770389,10.0,100.0,10.0,1.7,30.0,500.0,0.1,25.0,1.0,2500.0,12.0,1.0,144.9005832579038,257.02805318614975,398.7664278895721,2.118121675947523,402.44756005323444,84.14475817124188,118.05816793792519,200.36353031616193,200.0
0.08,137.66871070939382,0.8857635237741912,53.58841471371524,200.0,12.878774393338357,5.2,16.15833665977835,561.0,41.0,50.0,22870.0,16687.13078912255,21.1,10600.0,4500.0,20.0,4521.0,4.219693598334589,10.0,100.0,10.0,1.7,30.0,500.0,0.1,25.0,1.0,2500.0,12.0,1.0,144.89864318926493,257.04978947747844,398.77705565597756,2.1193844828080683,402.11391555964457,84.14250078107128,117.94235304238903,200.12119481666986,200.0
0.09,137.679226710747,0.8849518357945562,53.58921472590517,200.0,12.868017810678372,5.2,18.158588916874823,561.0,41.0,50.0,22870.0,16686.78731850007,21.1,10600.0,4500.0,20.0,4521.0,4.217004452669594,10.0,100.0,10.0,1.7,30.0,500.0,0.1,25.0,1.0,2500.0,12.0,1.0,144.89422558232667,257.0615378523727,398.78551892579054,2.120450454438428,401.84994527328115,84.14075257816748,117.84272977884572,199.93744762834373,200.0
0.1,137.68967957908944,0.8843286909834266,53.58904869554507,200.0,12.859699867204776,5.2,20.1572431671772,561.0,41.0,50.0,22870.0,16686.44591248071,21.1,10600.0,4500.0,20.0,4521.0,4.214924966801194,10.0,100.0,10.0,1.7,30.0,500.0,0.1,25.0,1.0,2500.0,12.0,1.0,144.8879072217694,257.06538571887006,398.79226250692193,2.1213574789393954,401.64129573705105,84.13940832886279,117.75628712969691,199.79986988248172,200.0
