Time,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36,k37,k38,k39,k40,k41,k42,IIa_plus_1_2mIIa,compartment_1,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R6b,R8b,R12b,R18b
0.0,2.5e-11,0.0,1e-08,0.0,1e-10,0.0,0.0,0.0,1.6e-07,0.0,9e-08,0.0,0.0,1.4e-06,7e-10,0.0,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0.0,0.0,2.5e-09,0.0,0.0,3.4e-06,0.0,0.0,0.0,0.0,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,0.0,1.0,8e-13,5.750000000000001e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2.4991426608039945e-11,7.998500984931858e-15,9.999992001486554e-09,5.611101399233475e-16,9.999942512148324e-11,1.4527839071927103e-20,6.327294697849027e-25,1.1064771636381805e-17,1.599999999887192e-07,2.009374458144776e-19,8.999999999747297e-08,2.5123016086208986e-18,1.4741684798531937e-20,1.4e-06,7e-10,1.4716275281095066e-29,6.98125440718979e-45,9.621041472743072e-47,1.20382028726277e-34,1.20382028726277e-34,2e-08,4.204684475178138e-28,8.353090018163166e-42,4.403971720517995e-43,1.0332649108493126e-46,2.499999999999388e-09,1.3559024283900816e-25,6.117168577803508e-22,3.399999999999998e-06,0.0,0.0,0.0,0.0,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,0.0,1.0,7.997002164425873e-13,5.747821131527013e-14,2.4688826409220494e-18,1.8886175687360133e-21,1.4552766164993865e-28,2.232822549316945e-15,-3.8178114702957365e-18,4.989696020561432e-16,1.5254231025523458e-22,8.858212576988636e-27,2.1693920097512687e-42,1.116999742967465e-43,8.82976516865704e-32,9.621041472743072e-50,6.98125440718979e-48,2.530917879139611e-25,2.4417285581410977e-39,1.1240716938215077e-39,1.2946432219400468e-80,3.268758909934055e-23,1.6074988936268836e-19,3.804053006581827e-33,7.409197926682818e-23,2.4943014947902392e-48,2.4559646874354193e-23,1.527408940060754e-26,4.387881294200574e-19,6.638862981829083e-17,4.522142895517618e-18,7.889254007649319e-46,2.796522042528927e-41
0.02,2.4982856430781072e-11,1.5994004700514796e-14,9.999984005946185e-09,1.0957262147725306e-15,9.999885048459241e-11,1.6160145859922765e-19,9.006643612319848e-24,4.252306917584832e-17,1.599999999557563e-07,1.5522636032277553e-18,8.999999999013463e-08,9.74745781539027e-18,1.1791454547129098e-19,1.4e-06,7e-10,4.0002515290339404e-28,1.945293632308665e-42,4.615720125625461e-44,7.025313565684616e-33,7.025313565684616e-33,2e-08,1.1429490806195255e-26,3.171934834770563e-39,4.842847080767488e-40,7.070646860382536e-42,2.499999999993193e-09,1.930140662820581e-24,6.804533447784587e-21,3.399999999999991e-06,0.0,0.0,0.0,0.0,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,0.0,1.0,7.99400545723542e-13,5.745651252142764e-14,4.821187633953354e-18,2.1008156017288063e-20,2.0715247176204843e-27,4.3382556352435076e-15,-2.949300845743179e-17,9.627596944302434e-16,1.6968153152918903e-21,1.2609301057247785e-25,4.716781143487123e-40,3.1124651951130685e-41,2.4001509174203644e-30,4.615720125625462e-47,1.945293632308665e-45,3.6026574449279395e-24,7.381745671640922e-37,3.941895519359738e-37,3.3641446621212724e-73,3.636025869966336e-22,1.241810134080144e-18,1.057452861225469e-31,8.241674388560588e-22,1.7068541520963394e-43,1.9644563275517027e-22,2.1742037680140054e-25,8.568578999521168e-19,2.5513841505508993e-16,1.7545424067702486e-17,3.784890503012878e-43,3.075207896287355e-38
0.03,2.4974289466227246e-11,2.3986512274032012e-14,9.999976013378534e-09,1.6057895098003867e-15,9.99982760876922e-11,7.39280957460764e-19,5.393358316182885e-23,9.199936152233425e-17,1.599999999023342e-07,4.896065474465702e-18,8.99999999783231e-08,2.1286145202589912e-17,3.907644792223113e-19,1.4e-06,7e-10,3.869644343323686e-27,6.375200973254879e-41,3.094573920833627e-42,1.0114913038347e-31,1.0114913038347e-31,2e-08,1.105641569271081e-25,1.0712251752699304e-37,4.5852548708955646e-38,2.576350952995269e-39,2.499999999968859e-09,1.1558604893444833e-23,3.11291852910187e-20,3.3999999999999806e-06,0.0,0.0,0.0,0.0,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,0.0,1.0,7.991009877749735e-13,5.743489759468754e-14,7.065456895437046e-18,9.610629394281704e-20,1.240469437247843e-26,6.326558705682327e-15,-9.302524398873148e-17,1.394123809986047e-15,7.762450053338022e-21,7.550701642656038e-25,1.512087680589577e-38,1.0200290605242206e-39,2.3217866059942118e-29,3.094573920833627e-45,6.375200973254879e-44,2.1573433264731542e-23,3.267376581406046e-35,1.0274339936756595e-35,4.1397780017688144e-69,1.6633779931682376e-21,3.916848955313391e-18,9.280343242910566e-31,3.770332883049875e-21,6.219311200530545e-41,6.5101362238436695e-22,1.3019566975265409e-24,1.2557273966638953e-18,5.519961691340056e-16,3.831506136466184e-17,2.537550615083574e-41,2.9116368430186835e-36
0.04,2.4965725712432725e-11,3.197602483857601e-14,9.999968023782683e-09,2.093256197845103e-15,9.999770192974765e-11,2.189474619127288e-18,2.0167509926959686e-22,1.5734701310290398e-16,1.599999998295794e-07,1.0791837294804411e-17,8.999999996235071e-08,3.674172168211663e-17,9.07570916693334e-19,1.3999999999999997e-06,7e-10,2.0216590965490065e-26,8.668466542014572e-40,5.92187066446125e-41,7.201261440562285e-31,7.201261440562285e-31,2e-08,5.776374597584709e-25,1.4906823080382422e-36,1.0397847911251315e-36,7.922272039367024e-38,2.4999999999077624e-09,4.322345134344486e-23,9.219426119740299e-20,3.399999999999966e-06,0.0,0.0,0.0,0.0,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,0.0,1.0,7.98801542530541e-13,5.741336046557543e-14,9.210297819375816e-18,2.8463079034203645e-19,4.638512450945084e-26,8.207810418704014e-15,-2.0504490850045492e-16,1.7957504452354166e-15,2.298948350083652e-20,2.823451389774356e-24,1.8347556571636892e-37,1.3869487233743817e-38,1.212995457929404e-28,5.921870664461251e-44,8.668466542014572e-43,8.067003970783875e-23,5.055908864177252e-34,1.0159768963946534e-34,1.77143861528257e-66,4.926302332412158e-21,8.633459694156266e-18,4.523887870846109e-30,1.1166320557549059e-20,1.9124364703031805e-39,1.5120131472110794e-21,4.8684368963680194e-24,1.6369263467148541e-18,9.44082078617424e-16,6.613509902780994e-17,4.855933944858225e-40,6.602633423644585e-35
0.05,2.495716516740923e-11,3.996254359249022e-14,9.999960037156812e-09,2.5601356373282052e-15,9.999712801059686e-11,5.072275746055227e-18,5.84029887533817e-22,2.3654975237563195e-16,1.5999999973856924e-07,1.9594786508949092e-17,8.999999994251744e-08,5.574327464490318e-17,1.7392549373247277e-18,1.3999999999999995e-06,7e-10,7.499438490185201e-26,8.167536411371276e-39,7.466395975536747e-40,3.4971281729795726e-30,3.4971281729795726e-30,1.9999999999999997e-08,2.1427966293999324e-24,1.1823466793105976e-35,1.7785098018115916e-35,9.726179693043413e-37,2.4999999997862884e-09,1.2517655909622278e-22,2.1358646481603374e-19,3.399999999999948e-06,0.0,0.0,0.0,0.0,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,0.0,1.0,7.985022099222691e-13,5.739189490014596e-14,1.1264551787712535e-17,6.593932118538963e-19,1.343263373243972e-25,9.992165292585951e-15,-3.7230094338434703e-16,2.1703382129759857e-15,5.325889533357987e-20,8.176418425473437e-24,1.3043027044397142e-36,1.3067983572881831e-37,4.499663094111121e-28,7.466395975536746e-43,8.167536411371275e-42,2.3361195501352678e-22,4.3451774554550465e-33,-1.7657974483110363e-34,1.724957439367207e-64,1.1412575364087383e-20,1.56758057113081e-17,1.6023448495018002e-29,2.5868606304881263e-20,2.347899777900644e-38,2.897598725582952e-21,1.4098481485066126e-23,2.0020260683906257e-18,1.4192985142537917e-15,1.0033789436082574e-16,6.122444699940131e-39,1.1293537241503607e-33
0.06,2.494860782941863e-11,4.794606961728576e-14,9.999952053498482e-09,3.008168245462032e-15,9.999655433093718e-11,9.941425676576134e-18,1.3770381081434419e-21,3.2798498493794726e-16,1.5999999963018484e-07,3.1469240971538557e-17,8.999999991906985e-08,7.798613639057113e-17,2.9439344260612028e-18,1.3999999999999985e-06,6.999999999999998e-10,2.117234598520545e-25,4.2714400392006307e-38,4.512358081254944e-39,1.1852589710540276e-29,1.1852589710540276e-29,1.9999999999999994e-08,6.0495803553040426e-24,3.515217094169047e-35,1.4115641411599674e-34,2.8474833397683673e-36,2.499999999581078e-09,2.951566612080874e-22,4.186263340264588e-19,3.3999999999999255e-06,0.0,0.0,0.0,0.0,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,0.0,1.0,7.982029898905004e-13,5.737049549924028e-14,1.3235876818329867e-17,1.2923791414193406e-18,3.1671724631731757e-25,1.1688288719851627e-14,-5.97915577801312e-16,2.5201846911439428e-15,1.0438496960404928e-19,1.9278533514008178e-23,6.232786250630542e-36,6.834258923343763e-37,1.270340759112327e-27,4.512358081254944e-42,4.271440039200631e-41,5.508152432573765e-22,2.4049550956503736e-32,-9.617806722111005e-33,1.5014283166972999e-63,2.2368101512150055e-20,2.5175346724115493e-17,4.4394044784138187e-29,5.070127095053717e-20,6.873824782200688e-38,4.904594753817856e-21,3.3241699930581957e-23,2.3523875679512576e-18,1.9679099096276838e-15,1.4037504550302806e-16,3.7001336266290536e-38,8.963432296365793e-33
0.07,2.4940053696750184e-11,5.592660400836208e-14,9.99994407280444e-09,3.4390259232686824e-15,9.999598089231222e-11,1.7371941431256648e-17,2.816861695394132e-21,4.301741744302334e-16,1.5999999950523932e-07,4.6481092518448116e-17,8.999999989223671e-08,1.0318758388907558e-16,4.575576704361682e-18,1.3999999999999972e-06,6.999999999999994e-10,5.042338154379306e-25,1.7263807948680188e-37,2.0389091665150984e-38,3.286580868676505e-29,3.286580868676505e-29,1.9999999999999984e-08,1.44076194633986e-23,-9.322443406419822e-35,8.892093473080496e-34,-2.0984423251067743e-35,2.4999999992678637e-09,6.03796761218611e-22,7.315319719236161e-19,3.3999999999998993e-06,0.0,0.0,0.0,0.0,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,0.0,1.0,7.979038823763466e-13,5.734915707664773e-14,1.5131629434949048e-17,2.25833975573181e-18,6.478745665396275e-25,1.3304420767385616e-14,-8.83140756536178e-16,2.847473125902025e-15,1.8240538502819443e-19,3.9436063735517814e-23,2.3070741804294594e-35,2.7621888741557113e-36,3.0254028926275834e-27,2.0389091665150986e-41,1.7263807948680187e-40,1.126744678157652e-21,1.0013397347961036e-31,-1.0463998354171683e-31,2.9343914726165894e-62,3.9086650842046657e-20,3.7184793535351823e-17,1.038236357108237e-28,8.859690129940628e-20,-5.065639772807603e-37,7.622910789466337e-21,6.799904132681233e-23,2.68931827199603e-18,2.5810450465814004e-15,1.8573765100033607e-16,1.6719055165423805e-37,5.646479355406114e-32
0.08,2.4931502767667565e-11,6.390414791012055e-14,9.999936095070423e-09,3.85434659219434e-15,9.999540769724664e-11,2.796224126048293e-17,5.213865798271327e-21,5.417362058643746e-16,1.5999999936450213e-07,6.461831132463126e-17,8.99999998622357e-08,1.3107835632370093e-16,6.685713034642741e-18,1.3999999999999949e-06,6.999999999999987e-10,1.070488628693645e-24,6.1233473124635574e-37,8.417451673113063e-38,8.016151309828133e-29,8.016151309828133e-29,1.9999999999999967e-08,3.058767971700383e-23,-4.005049810246154e-33,7.213806577483442e-33,-7.19032330165815e-34,2.499999998821373e-09,1.117646617090133e-21,1.177508953065786e-18,3.3999999999998696e-06,0.0,0.0,0.0,0.0,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,0.0,1.0,7.976048873198691e-13,5.732787455199707e-14,1.695901662848618e-17,3.63506813383702e-18,1.199181470192692e-24,1.4848563291384043e-14,-1.2277479127969182e-15,3.1543238724881107e-15,2.936035332350697e-19,7.299412117579845e-23,7.156673610928312e-35,9.797271486511219e-36,6.422931772161871e-27,8.417451673113063e-41,6.123347312463557e-40,2.085546319308527e-21,3.4292104190014575e-31,-1.303729050915254e-30,4.319640446237171e-59,6.29146404536431e-20,5.169451950934869e-17,2.153898714929443e-28,1.4260743042845748e-19,-1.735744045020211e-35,1.1138397915714379e-20,1.25862720370265e-22,3.0140990350958586e-18,3.250417235186248e-15,2.359410413826617e-16,6.902310371952711e-37,4.580767176701986e-31
0.09,2.49229550390484e-11,7.18787035369002e-14,9.999928120284075e-09,4.2567614631100974e-15,9.999483475497592e-11,4.2825714894594235e-17,9.473187249687466e-21,6.607494280907107e-16,1.5999999920908926e-07,8.55255478525968e-17,8.999999982938946e-08,1.6125843630801026e-16,9.351733578062596e-18,1.3999999999999906e-06,6.999999999999974e-10,2.3699698166556602e-24,3.8025039227733817e-36,8.367185341495086e-37,2.2098078131900575e-28,2.2098078131900575e-28,1.999999999999993e-08,6.77197370423e-23,-1.791475694806353e-31,2.066080310810326e-31,-3.327884198922469e-32,2.4999999981945055e-09,2.0308313836926954e-21,1.803463146531335e-18,3.3999999999998357e-06,0.0,0.0,0.0,0.0,0.0,0.0031,3200000.0,0.0031,23000000.0,440000.0,13000000.0,23000.0,1.05,25000000.0,6.0,19.0,22000000.0,2.4,10000000.0,1.8,7500.0,20000000.0,0.005,10000000.0,0.001,100000000.0,8.2,22000.0,0.006,0.001,20000000.0,0.2,400000000.0,103.0,100000000.0,63.5,15000000.0,0.00036,900000.0,0.00011,320000000.0,50000000.0,1500.0,7100.0,490.0,7100.0,230.0,0.0,1.0,7.973060046128143e-13,5.730663976637716e-14,1.872961580877035e-17,5.56730291839438e-18,2.1788174060379237e-24,1.6333258868777184e-14,-1.6249854051887644e-15,3.444065062397379e-15,4.496700063932365e-19,1.3262462149562403e-22,2.2161425061452207e-34,6.083922574509585e-35,1.4219818899933962e-26,8.367185341495087e-40,3.802503922773382e-39,3.789274899874974e-21,1.1958879744202999e-30,-4.6361286928635134e-29,8.942735486249571e-56,9.635712734394946e-20,6.842023985171823e-17,4.3223823860888106e-28,2.1841114596242004e-19,-8.033512456198453e-34,1.5579988141051534e-20,2.2868274020744437e-22,3.328787464151935e-18,3.964496568544264e-15,2.9026518535441845e-16,6.861091980025971e-36,1.3119609973645568e-29
