Time,SAM,A,P,S,D,aS,aD,Met,ORN,AcCoA,CoA,Vmaxodc,Vmaxssat,Vmaxsamdc,Antz,Keq,Kdodc,Ksodc,Kdssat,Ksssat,Kdsamdc,Kssamdc,Kdantz,Ksantz,R,C,Kaccoa,Kcoa,cytosol,ODC,SAMdc,SSAT_for_S,SSAT_for_D,PAO_for_aD,PAO_for_aS,SpdS,SpmS,MAT,VCoA,VacCoA,P_efflux,aD_efflux
0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,50.0,300.0,39.5,160.0,1.27905671844446,0.677298510125025,0.367465856805639,0.574589492832405,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.0658792321918804,1.4408950934844045e-06,3.6615998417170656e-05,4.3770201184833234e-05,0.007260372628979761,0.16940869467619443,3.3789725758975335e-05,7.68582736289698e-05,0.247230469342323,0.47400000000000003,0.64,0.0001,0.0001
0.01,0.012472251762990681,0.009998673851960805,0.020931777956566026,0.010000464306283232,0.011559474823779779,0.008440109992067877,0.009927043366288212,50.0,300.0,39.5,160.0,1.3276634272684336,0.6759730193650035,0.37718761560760006,0.5744746280174192,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.106383220343194,3.779851444444741e-06,3.6545598009508804e-05,5.049642986921221e-05,0.007225667593038534,0.1433451327543255,7.071015567582903e-05,8.88303993773522e-05,0.24722496230091245,0.47400000000000003,0.64,0.00020931777956566028,9.927043366288212e-05
0.02,0.014944420669898319,0.009996889429851438,0.032266356472913704,0.010001039525429122,0.012878577834513572,0.0071207949892229455,0.00985451652048867,50.0,300.0,39.5,160.0,1.3761874209721212,0.6746519943644934,0.3868936632227237,0.5743597890428799,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.1468181067534546,7.008091937917102e-06,3.647590590649355e-05,5.614828714969517e-05,0.007188288750951013,0.12119800191349207,0.00010896732800276183,9.894867034730843e-05,0.2472194556893873,0.47400000000000003,0.64,0.00032266356472913704,9.85451652048867e-05
0.03,0.017416497596073104,0.009994659594920253,0.04400304904582284,0.010001708551076776,0.013993627160608032,0.006005777228345122,0.009782433943139756,50.0,300.0,39.5,160.0,1.4246394929355715,0.6733351272179174,0.39658615577838446,0.5742449754627814,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.187192879996755,1.1169878990814582e-05,3.6406830300457874e-05,6.089009268509666e-05,0.007148695426122553,0.10240611118695792,0.0001485524867354995,0.00010749211605725074,0.2472139495280298,0.47400000000000003,0.64,0.0004400304904582284,9.782433943139756e-05
0.04,0.01988847300799429,0.009991995191073898,0.05614121936371313,0.010002456834504741,0.01493575108416206,0.005063964605728281,0.009710807346539743,50.0,300.0,39.5,160.0,1.4730287750848867,0.6720221570511593,0.4062669172117183,0.5741301868956402,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.2275151440839471,1.6305658531054625e-05,3.6338293249178226e-05,6.4862333485822e-05,0.007107283864251011,0.08648001775389247,0.00018945679330249852,0.00011469999275013596,0.24720844383802915,0.47400000000000003,0.64,0.0005614121936371312,9.710807346539744e-05
0.05,0.02236033698346035,0.009988905307203595,0.0686803055275951,0.010003272060929666,0.01573147535403861,0.004268863917994133,0.009639646046111644,50.0,300.0,39.5,160.0,1.521362960683914,0.6707128637951455,0.41593748387807966,0.5740154230181097,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.2677913041219653,2.2452193673955953e-05,3.627022889051537e-05,6.81844484988558e-05,0.007064393094460157,0.07299663925227017,0.0002316713949245407,0.00012077625550828037,0.24720293864143644,0.47400000000000003,0.64,0.0006868030552759511,9.639646046111644e-05
0.06,0.024832079250988025,0.009985397585152841,0.08161980785616674,0.010004143802201833,0.016403387101897666,0.003597917499797159,0.009568957321937565,50.0,300.0,39.5,160.0,1.569648537949884,0.6694070614871561,0.42559915124950176,0.5739006835559218,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.308026760997608,2.9642710819095023e-05,3.6202581542596986e-05,7.095790925285834e-05,0.007020312293656664,0.061591360911172545,0.0002751873731746122,0.00012589463089539768,0.24719743396107668,0.47400000000000003,0.64,0.0008161980785616673,9.568957321937565e-05
0.07,0.027303689223977252,0.009981478467600443,0.09495927912775952,0.010005063234860891,0.016970687365351473,0.003031951149664942,0.00949874671934145,50.0,300.0,39.5,160.0,1.6178909770140406,0.6681045929198639,0.4352530112870448,0.5737859682765375,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.3482260671815158,3.790705975327079e-05,3.6135304162236724e-05,7.32687819850701e-05,0.0069752872092494235,0.05195110291474762,0.0003199957030305047,0.00013020284226727667,0.24719192982047247,0.47400000000000003,0.64,0.0009495927912775952,9.49874671934145e-05
0.08,0.02977515603375824,0.00997715340773859,0.10869831635435272,0.010006022898598104,0.01744967492687302,0.0025546906741956785,0.009429018311423879,50.0,300.0,39.5,160.0,1.666094888043581,0.6668053251258239,0.44489998404859776,0.5736712769828538,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.3883930584994078,4.7271884037963976e-05,3.606835702802229e-05,7.518996289498024e-05,0.006929526007512764,0.04380787203329115,0.00036608721912917994,0.0001338263137716321,0.24718642624377052,0.47400000000000003,0.64,0.0010869831635435272,9.429018311423879e-05
0.09,0.032246468560778355,0.009972427046098778,0.12283655383715891,0.010007016489730267,0.017854167614116546,0.002152340914469801,0.009359774926489319,50.0,300.0,39.5,160.0,1.7142641549883681,0.6655091455665564,0.4545408444242392,0.5735566095078288,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.4285309655901963,5.776079836273228e-05,3.600170661731306e-05,7.678311779994078e-05,0.00688320451720611,0.03693287489988121,0.00041345258808997177,0.0001368713985636822,0.24718092325567162,0.47400000000000003,0.64,0.0012283655383715892,9.359774926489319e-05
0.1,0.03471761546386667,0.009967303358987562,0.137373657315502,0.010008038685311263,0.018195866401991837,0.0018132219214111174,0.009291018343567076,50.0,300.0,39.5,160.0,1.7624020484764342,0.664215958922261,0.46417624470357516,0.5734419657099035,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.4686425079877197,6.939456989924197e-05,3.5935324652150047e-05,7.810035339241925e-05,0.0068364708626295805,0.031131238300531303,0.0004620822860089148,0.00013942817099797132,0.24717542088136585,0.47400000000000003,0.64,0.00137373657315502,9.291018343567076e-05
0.11,0.03718858520825566,0.009961785784466564,0.15230931895083538,0.010009084990842888,0.018484674691680768,0.001527449916585164,0.00922274946259387,50.0,300.0,39.5,160.0,1.8105113227970808,0.6629256843399522,0.4738067339622846,0.5733273454690418,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.5087299749418028,8.219130107443078e-05,3.586918727586273e-05,7.918567690960872e-05,0.006789449585697385,0.026237226298498242,0.0005119665800856098,0.00014157287677258847,0.2471699191464697,0.47400000000000003,0.64,0.0015230931895083538,9.22274946259387e-05
0.12,0.039659366090721605,0.009955877324920223,0.16764325322717907,0.010010151614984248,0.01872896390798678,0.0012866718909179586,0.009154968444701138,50.0,300.0,39.5,160.0,1.8585942951713212,0.6616382531901981,0.483432773907989,0.573212748683473,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.5487952914785053,9.616661147997392e-05,3.58032743762281e-05,8.007620932946531e-05,0.00674224512718895,0.0221101803443775,0.0005630955143236133,0.0001433699725022095,0.2471644180769702,0.47400000000000003,0.64,0.0016764325322717907,9.154968444701138e-05
0.13,0.04212994626378687,0.009949580634811689,0.18337519338453806,0.010011235359738885,0.018935807829636418,0.0010838314461149227,0.009087674835523462,50.0,300.0,39.5,160.0,1.9066529149064098,0.6603536071119243,0.49305475270400756,0.573098175266838,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.5888400760301877,0.00011133381706394204,3.5737568994364334e-05,8.080325110652615e-05,0.006694944913668165,0.018630853953802453,0.0006154588980055716,0.0001448739260979635,0.2471589176991709,0.47400000000000003,0.64,0.0018337519338453806,9.087674835523462e-05
0.14,0.04460031375787785,0.009942898092964973,0.19950488844498437,0.010012333528383157,0.0191111807683022,0.0009129707588746916,0.009020867668241627,50.0,300.0,39.5,160.0,1.9546888210797226,0.6590716963862369,0.5026729965001788,0.5729836251457974,1.0,0.05,5.0,0.2,0.001,0.02,1.0,0.02,0.02,0.004,4.44,0.004,0.012,1.0,1.6288656885065025,0.00012770410501302025,3.567205683003387e-05,8.139318168162341e-05,0.006647621984897718,0.015698265022929182,0.0006690462969047499,0.0001461307401777191,0.24715341803964244,0.47400000000000003,0.64,0.001995048884449844,9.020867668241628e-05
