Time,APC_active,CDK1_active,Plk1_active,a1,a2,a3,b1,b2,b3,k1,k2,k3,n1,n2,n3,compartment,R1_Cdk1_activation_by_cyclin_synthesis,R2_Cdk1_inactivation_by_APC_active,R3_APC_activation_by_Cdk1_active,R4_APC_Inactivation,R5_Plk1_activation_by,R6_Plk1_inactivation
0.0,0.0,0.0,0.0,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0
0.25,6.2086316968369086e-89,0.02500000000000001,5.2228217416470974e-12,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,0.0,4.252093901051314e-88,6.2086316968369086e-89,1.1718749999481062e-10,5.2228217416470974e-12
0.5,5.652244273390467e-70,0.050000000000000044,1.6013638872612847e-09,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,0.0,3.3210962577750885e-68,5.652244273390467e-70,2.99999996519593e-08,1.6013638872612847e-09
0.75,1.3575748419816114e-57,0.07500000000000008,5.961260821571514e-08,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,0.0,1.2248029130955e-55,1.3575748419816114e-57,7.688669446136398e-07,5.961260821571514e-08
1.0,1.5553512742475497e-48,0.10000000000000009,7.752006338664269e-07,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,0.0,1.0015535468670116e-46,1.5553512742475497e-48,7.679974385724759e-06,7.752006338664269e-07
1.25,1.4801040923837211e-41,0.12500000000000006,5.644827588539085e-06,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,0.0,7.917109900092951e-40,1.4801040923837211e-41,4.577541031046958e-05,5.644827588539085e-06
1.5,7.145134105208116e-36,0.1499999999999999,2.847871442873842e-05,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,7.825922702619776e-280,3.32295351333409e-34,7.145134105208116e-36,0.00019681148173332155,2.847871442873842e-05
1.75,4.510524958148905e-31,0.17499999999999974,0.00011153819274821572,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,2.30258669428172e-241,1.83971287107186e-29,4.510524958148905e-31,0.0006753351890848103,0.00011153819274821572
2.0,6.723736521692362e-27,0.1999999999999997,0.00036291303497726596,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,6.416182514493884e-208,2.310903224211021e-25,6.723736521692362e-27,0.001964079304926892,0.00036291303497726596
2.25,2.9937590545952726e-23,0.2249999999999997,0.001024580863693421,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,1.115009306798258e-178,9.326767306898898e-22,2.9937590545952726e-23,0.005030909542999252,0.001024580863693421
2.5,5.657637167234469e-20,0.2499999999999997,0.00258447320725735,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,2.015496114070097e-152,1.5287536053254111e-18,5.657637167234469e-20,0.01164298280302801,0.00258447320725735
2.75,4.8670689774043055e-17,0.2749999999999997,0.005943568186730275,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,6.650188011200511e-129,1.196022130457471e-15,4.8670689774043055e-17,0.02476352312563289,0.005943568186730275
3.0,2.3902761395083572e-14,0.2999999999999996,0.012634783948164906,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,2.4550881191539816e-107,4.987739693880628e-13,2.3902761395083572e-14,0.04892999639349843,0.012634783948164906
3.25,5.834503367370436e-12,0.3249999999999995,0.025049428378324707,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,3.35178180939411e-88,1.1905394164126946e-10,5.834503367370436e-12,0.09032085553053311,0.025049428378324707
3.5,8.46189891134517e-10,0.34999999999999953,0.04653693338693931,0.1,3.0,3.0,3.0,1.0,1.0,0.5,0.5,0.5,8.0,8.0,8.0,1.0,0.1,7.065972238181903e-71,1.6894420871710336e-08,8.46189891134517e-10,0.155907961474082,0.04653693338693931
