Time,Rapamycin_Dose,Cytosolic_Rapamycin,Raptor,Rictor,mTOR_Rapamycin,mTORC1_Rapamycin,mTORC1,mTORC2,mTOR,K_abs_Rapam,K_el_Rapam,K_syn_mTOR,K_deg_mTOR,K_syn_Raptor,K_deg_Raptor,K_syn_Rictor,K_deg_Rictor,k_form_C1,k_diss_C1,k_form_C2,k_diss_C2,k_form_mTOR_Rapam,k_diss_mTOR_Rapam,k_form_C1_Rapam,k_diss_C1_Rapam,k_forward_Raptor_release,k_reverse_Raptor_release,compartment,Absorption_of_Rapamycin,Elimination_of_rapamycin,Synthesis_of_mTOR,Degradation_of_mTOR,Synthesis_of_Raptor,Degradation_of_Raptor,Synthesis_of_Rictor,Degradation_of_Rictor,mTORC1_formation_and_dissociation,mTORC2_formation_and_dissociation,mTOR___Rapamycin_association_sequestration_and_dissociation,mTORC1___Rapamycin_association_sequestration_and_dissociation,Releasing_Raptor_from_mTORC1___rapamycin_complex
52.5,0.0,0.0,4.799153188393441e-08,1.324247678944948e-08,0.0,0.0,2.721678421956599e-07,7.510025605823814e-08,2.8354685935032938e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.835468593503294e-16,2.15e-27,4.799153188393441e-16,5.9e-28,1.3242476789449481e-16,-2.9551955149231953e-16,-8.154377580538779e-17,0.0,0.0,0.0
55.0,0.0,0.0,4.799153140362864e-08,1.3242476656916975e-08,0.0,0.0,2.721678414761776e-07,7.510025585970878e-08,2.8354686144177333e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.8354686144177333e-16,2.15e-27,4.799153140362864e-16,5.9e-28,1.3242476656916974e-16,-2.952610840206763e-16,-8.147245463861224e-17,0.0,0.0,0.0
57.5,0.0,0.0,4.7991530923322875e-08,1.3242476524384469e-08,0.0,0.0,2.721678407566953e-07,7.510025566117944e-08,2.8354686353321732e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.8354686353321734e-16,2.15e-27,4.799153092332288e-16,5.9e-28,1.324247652438447e-16,-2.950026033141433e-16,-8.140113429901731e-17,0.0,0.0,0.0
60.0,0.0,0.0,4.7991530443017104e-08,1.3242476391851962e-08,0.0,0.0,2.72167840037213e-07,7.510025546265009e-08,2.8354686562466128e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.835468656246613e-16,2.15e-27,4.79915304430171e-16,5.9e-28,1.3242476391851962e-16,-2.947441391512225e-16,-8.132981395942237e-17,0.0,0.0,0.0
62.5,0.0,0.0,4.799152996271134e-08,1.3242476259319456e-08,0.0,0.0,2.721678393177307e-07,7.510025526412074e-08,2.8354686771610527e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.8354686771610525e-16,2.15e-27,4.799152996271134e-16,5.9e-28,1.3242476259319457e-16,-2.944856782970242e-16,-8.125849527418866e-17,0.0,0.0,0.0
65.0,0.0,0.0,4.799152948240557e-08,1.324247612678695e-08,0.0,0.0,2.721678385982484e-07,7.510025506559139e-08,2.8354686980754923e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.835468698075492e-16,2.15e-27,4.799152948240557e-16,5.9e-28,1.324247612678695e-16,-2.942272174428259e-16,-8.118717741613557e-17,0.0,0.0,0.0
67.5,0.0,0.0,4.7991529002099804e-08,1.3242475994254445e-08,0.0,0.0,2.721678378787661e-07,7.510025486706205e-08,2.8354687189899322e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.835468718989932e-16,2.15e-27,4.799152900209981e-16,5.9e-28,1.3242475994254445e-16,-2.939687532799051e-16,-8.111586038526308e-17,0.0,0.0,0.0
70.0,0.0,0.0,4.799152852179404e-08,1.3242475861721939e-08,0.0,0.0,2.7216783715928383e-07,7.510025466853269e-08,2.8354687399043717e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.8354687399043718e-16,2.15e-27,4.799152852179404e-16,5.9e-28,1.324247586172194e-16,-2.9371030235187415e-16,-8.104454418157121e-17,0.0,0.0,0.0
72.5,0.0,0.0,4.799152804148827e-08,1.3242475729189433e-08,0.0,0.0,2.721678364398015e-07,7.510025447000333e-08,2.8354687608188113e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.8354687608188113e-16,2.15e-27,4.799152804148827e-16,5.9e-28,1.3242475729189435e-16,-2.9345185473256563e-16,-8.097322797787934e-17,0.0,0.0,0.0
75.0,0.0,0.0,4.7991527561182504e-08,1.3242475596656928e-08,0.0,0.0,2.721678357203192e-07,7.510025427147399e-08,2.8354687817332512e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.8354687817332514e-16,2.15e-27,4.79915275611825e-16,5.9e-28,1.3242475596656927e-16,-2.9319340380453466e-16,-8.090191342854869e-17,0.0,0.0,0.0
