Cytosolic_Rapamycin_2_task1,Rapamycin_Dose_1_task1,Raptor_3_task1,Rictor_4_task1,_1_task1,mTORC1_7_task1,mTORC1_Rapamycin_6_task1,mTORC2_8_task1,mTOR_9_task1,mTOR_Rapamycin_5_task1
0.0,0.0,3.201594e-07,8.834274e-08,0.0,0.0,0.0,0.0,3.756228e-07,0.0
0.0,0.0,4.9140920842407344e-08,1.3559631837581992e-08,2.5,2.7101847724018634e-07,0.0,7.478310763334056e-08,2.9821213501972064e-08,0.0
0.0,0.0,4.8013461769077394e-08,1.3248527981889642e-08,5.0,2.721459351066351e-07,0.0,7.509421115601322e-08,2.8382651394935274e-08,0.0
0.0,0.0,4.799196026596641e-08,1.3242594994450946e-08,7.5,2.721674354098211e-07,0.0,7.510014381235231e-08,2.8355217726369055e-08,0.0
0.0,0.0,4.799157217144513e-08,1.3242487906127649e-08,10.0,2.721678223045514e-07,0.0,7.510025056961297e-08,2.8354723365507908e-08,0.0
0.0,0.0,4.799154600317582e-08,1.3242480685422763e-08,12.5,2.721678472730321e-07,0.0,7.510025745925582e-08,2.8354690798517102e-08,0.0
0.0,0.0,4.7991537563659205e-08,1.3242478356676474e-08,15.0,2.721678545127602e-07,0.0,7.510025945694012e-08,2.8354680852237583e-08,0.0
0.0,0.0,4.7991531337420594e-08,1.3242476638648012e-08,17.5,2.7216785953921037e-07,0.0,7.510026084390661e-08,2.835467372995388e-08,0.0
0.0,0.0,4.799153378911633e-08,1.3242477315153263e-08,20.0,2.721678558877262e-07,0.0,7.51002598363394e-08,2.8354677680138215e-08,0.0
0.0,0.0,4.7991535617723524e-08,1.3242477819727403e-08,22.5,2.721678528593305e-07,0.0,7.51002590007033e-08,2.8354680835302873e-08,0.0
0.0,0.0,4.7991536281173316e-08,1.3242478002795418e-08,25.0,2.721678509960923e-07,0.0,7.510025848657334e-08,2.835468250380398e-08,0.0
