Time,T,E,p,g,m,n,d,s,a,b,compartment,EC_Passive_Accumulation,EC_Accumulation,Tumor_Growth,Tumor_Growth_Inhibition,Tumor_Killing,EC_Tumor_Complex_Formation,EC_Elimination
0.0,5000000.0,320000.0,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,7907.899960301707,900000.0,9000.0,176160.0,547.52,13184.0
1.0,5765333.352709787,327539.4456387364,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,9057.967818932113,1037760.0034877616,11966.064720432434,207909.98733862583,646.2016136900796,13494.62516031594
2.0,6640057.425018491,335864.266393025,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,10348.64251598046,1195210.3365033283,15872.53053871555,245540.3975463395,763.1600730277692,13837.60777539263
3.0,7637554.788140976,345066.44016429613,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,11791.019759545165,1374759.8618653757,20999.607531067853,290164.56903762434,901.8557268362856,14216.737334769
4.0,8772177.574145604,355241.24636301387,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,13395.808764863297,1578991.9633462087,27702.395781243496,343097.94635276374,1066.3770866659015,14635.939350156172
5.0,10059111.482265025,366485.95925471437,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,15173.078019570305,1810640.0668077045,36426.86057254899,405886.19560316385,1261.528211947345,15099.221521294232
6.0,11514164.364571124,378898.27481396653,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,17132.001082094237,2072549.5856228024,47727.35316516944,480332.9412040155,1492.9149180746062,15610.608922335421
7.0,13153464.170031859,392574.4708364778,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,19280.612810075057,2367623.5506057343,62284.90308203229,568524.9374074728,1767.0230116333985,16174.068198462886
8.0,14993052.433468144,407607.34247104404,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,21625.586482346695,2698749.4380242657,80924.98365818101,672851.7361986402,2091.279419865347,16793.422509807016
9.0,17048366.345180728,424083.9838289321,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,24172.04374051948,3068705.9421325307,104632.84621421671,796016.2968300707,2474.08516598774,17472.260133752003
10.0,19333589.964114174,442083.44117305847,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,26923.38850471196,3480046.1935405512,134563.57232417868,941031.3039702517,2924.8039256913726,18213.83777633001
11.0,21860883.965839516,461674.35474754334,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,29881.17642577192,3934959.113851113,172043.36919644373,1111196.3058553003,3453.6909706056654,19020.983415598785
12.0,24639526.218410484,482912.766939181,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,33045.03698448437,4435114.719313887,218558.25081638555,1310051.4702205616,4071.7494378699016,19896.00599789426
13.0,27674940.477828518,505840.045232309,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,36412.60344038343,4981489.286009133,275724.8389624865,1541300.1550559967,4790.489673570955,20840.60986357113
14.0,30967713.50616934,530481.2160183052,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,39979.501709976226,5574188.431110481,345239.7407280659,1808699.7140183186,5621.58984683986,21855.826099954174
15.0,34512640.60360262,556843.7378819907,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,43739.37664499986,6212275.308648471,428804.0501160384,2115918.072547452,6576.450176437222,22941.962000738018
16.0,38297656.91174144,584916.5401989222,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,47683.84139643137,6893578.244113459,528015.7889746046,2466342.7209373796,7665.599265256779,24098.56145619559
17.0,42303296.126410164,614670.4165646437,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,51802.7050875237,7614593.302753829,644244.7907371498,2862884.5701937894,8898.084467941097,25324.42116246332
18.0,46502088.15032927,646058.6358405709,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,56084.057647427646,8370375.867059268,778479.9128427578,3307742.6273187813,10280.740482002608,26617.615796631522
19.0,50858403.235313565,679018.608149765,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,60514.496812357655,9154512.582356442,931167.7846724711,3802171.61974959,11817.467105161757,27975.566655770315
20.0,55328677.35316054,713474.4281881119,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,65079.42046464725,9959161.923568897,1102054.5135540504,4346263.167708278,13508.549100724547,29395.14644135021
21.0,59862067.38857806,749340.2499489693,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,69763.38927074999,10775172.12994405,1290048.160332478,4938761.924990046,15350.084747789226,30872.81829789754
22.0,64401536.31958109,786524.3794443688,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,74550.55060837712,11592276.537524596,1493120.8369160362,5576936.960631376,17333.586084723498,32404.804433107995
23.0,68885344.49598582,824933.9486827165,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,79425.11494725072,12399362.009277448,1708268.647079032,6256527.102482853,19445.80903242173,33987.27868572792
24.0,73248852.167683,864479.9030683723,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,84371.85190658054,13184793.39018294,1931541.9637979085,6971769.884458874,21668.8433647759,35616.572006416936
25.0,77426521.6654305,905082.0460321485,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,89376.57790493873,13936773.899777489,2158151.8525946564,7715516.746535645,23980.470759895532,37289.38029652452
26.0,81353969.35252818,946673.8543398478,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,94426.5985451684,14643714.483455073,2382648.598588354,8479425.898181688,26354.764235765433,39002.96279880173
27.0,84970073.60847512,989206.9497928704,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,99511.12208737644,15294613.249525521,2599168.8272506846,9254233.90590448,28762.932267034637,40755.32633146626
28.0,88218621.98272064,1032654.5290556189,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,104621.47802438443,15879351.956889715,2801709.0952308583,10030039.485078977,31174.200833733204,42545.3665970915
29.0,91049891.7642575,1077014.2333585292,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,109751.29931955949,16388980.517566351,2984429.8045018823,10796629.434282059,33556.8264524189,44372.9864143714
30.0,93421762.04363851,1122309.896870001,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,114896.52740796324,16815917.16785493,3141945.224401758,11543783.31051953,35879.043132241444,46239.16775104404
31.0,95300428.50893925,1168592.2746782545,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,120055.26841383631,17154077.131609064,3269581.8026354793,12261544.632651012,38109.90529784902,48146.00171674409
32.0,96660731.37359662,1215938.7884650638,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,125227.49867723043,17398931.647247393,3363586.916284298,12940441.939101243,40219.97485522657,50096.67808476063
33.0,97486154.0742432,1264452.3457611168,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,130414.62263475408,17547507.733363777,3421278.08502735,13571652.241444552,42181.8292190947,52095.436645358015
34.0,97768556.69735065,1314259.3025484164,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,135618.88363474153,17598340.20552312,3441128.6443259045,14147105.188498415,43970.385063616326,54147.48326499476
35.0,97507601.41036186,1365506.5201069757,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,140842.58603699843,17551368.253865134,3422783.639808721,14659513.929991122,45562.99424925488,56258.8686284074
36.0,96710260.77383918,1418357.843155155,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,146087.22528743985,17407846.939291053,3367034.8340198314,15102390.232725278,46939.49080507348,58436.343137992386
37.0,95390107.41824166,1472989.7477178467,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,151352.4026601264,17170219.3352835,3275738.1335749263,15470002.393711228,48082.06011923689,60687.17760597528
38.0,93566779.73195736,1529586.0370516046,0.1245,20190000.0,3.422e-10,1.101e-07,0.0412,13000.0,0.18,2e-09,1.0,13000.0,156634.5829964195,16842020.351752326,3151707.2169871056,15757340.223068345,48975.13010294267,63018.94472652611
