T_1_task1,_1_task1
5000000.0,0.0
5765333.352709787,1.0
6640057.425018491,2.0
7637554.788140976,3.0
8772177.574145604,4.0
10059111.482265025,5.0
11514164.364571124,6.0
13153464.170031859,7.0
14993052.433468144,8.0
17048366.345180728,9.0
19333589.964114174,10.0
21860883.965839516,11.0
24639526.218410484,12.0
27674940.477828518,13.0
30967713.50616934,14.0
34512640.60360262,15.0
38297656.91174144,16.0
42303296.126410164,17.0
46502088.15032927,18.0
50858403.235313565,19.0
55328677.35316054,20.0
59862067.38857806,21.0
64401536.31958109,22.0
68885344.49598582,23.0
73248852.167683,24.0
77426521.6654305,25.0
81353969.35252818,26.0
84970073.60847512,27.0
88218621.98272064,28.0
91049891.7642575,29.0
93421762.04363851,30.0
95300428.50893925,31.0
96660731.37359662,32.0
97486154.0742432,33.0
97768556.69735065,34.0
97507601.41036186,35.0
96710260.77383918,36.0
95390107.41824166,37.0
93566779.73195736,38.0
91265339.2865967,39.0
88515918.26567577,40.0
85353270.06953804,41.0
81816567.28611019,42.0
77949168.0562551,43.0
73798381.36917698,44.0
69415321.01569022,45.0
64854401.61777783,46.0
60173029.2167535,47.0
55430576.20162317,48.0
50687508.30422028,49.0
46004087.06915919,50.0
41438491.23559128,51.0
37045181.82641231,52.0
32872862.461954754,53.0
28962631.712381132,54.0
25346411.685690112,55.0
22045837.69397044,56.0
19071896.02423903,57.0
16425133.69556899,58.0
14096732.15034873,59.0
12070078.834564412,60.0
10322729.80505795,61.0
8828491.257992812,62.0
7559381.606467295,63.0
6487305.188133006,64.0
5585336.913386267,65.0
4828583.51491168,66.0
4194699.161718072,67.0
3664070.476072548,68.0
3219794.946248911,69.0
2847512.202752334,70.0
2535154.7372809458,71.0
2272665.507965687,72.0
2051714.0557386852,73.0
1865429.0883746077,74.0
1708159.4836299112,75.0
1575265.7029410412,76.0
1462942.3187488876,77.0
1368069.3182638378,78.0
1288088.9601677419,79.0
1220904.6711109634,80.0
1164798.5326832752,81.0
1118364.244989641,82.0
1080452.8316594237,83.0
1050128.7946035669,84.0
1026634.7758872573,85.0
1009363.0903208704,86.0
997832.9020205225,87.0
991671.9588657316,88.0
990602.056345216,89.0
994427.3377747077,90.0
1003026.2648859681,91.0
1016343.4324245609,92.0
1034385.0393854089,93.0
1057215.1320436099,94.0
1084953.1202717724,95.0
1117772.3670310676,96.0
1155899.6767050885,97.0
1199615.5913652766,98.0
1249255.7610414855,99.0
1305212.1021695463,100.0
