E,P,Q,X,Time
1.0,0.0,0.0,8.0,0.0
0.923663658805246,0.0763363411947538,0.00019383841183779908,7.923469820386457,0.01
0.8541441325549421,0.14585586744505774,0.0007520072650099611,7.8533921252835075,0.02
0.7907469390855083,0.2092530609144915,0.001642193174330956,7.78910474614169,0.03
0.7328614880784253,0.26713851192157434,0.0028353492513716883,7.730026139979356,0.04
0.6799487826578526,0.3200512173421469,0.0043052928286511135,7.675643490852984,0.05
0.6315314251928827,0.3684685748071168,0.006028373400155121,7.625503052329065,0.06
0.5871854229457706,0.41281457705422897,0.007983196309937698,7.579202227168536,0.07
0.5465330596230611,0.45346694037693847,0.010150370478167147,7.5363826901193605,0.08
0.5092367012540208,0.49076329874597874,0.012512287080858553,7.4967244123718295,0.09
0.474993832599914,0.5250061674000855,0.015052932194563802,7.459940889307186,0.1
0.4435329769240174,0.5564670230759822,0.017757726755640045,7.4257752284400125,0.11
0.4146100144423256,0.5853899855576739,0.02061338245369154,7.393996603823713,0.12
0.38800487574194353,0.6119951242580559,0.023607771074037092,7.36439707439127,0.13
0.3635187294622579,0.6364812705377415,0.026729809408779663,7.336788888391383,0.14
0.3409716381970042,0.6590283618029953,0.029969359258023364,7.3110022443761675,0.15
0.3202005427664993,0.6797994572335001,0.03331713922140513,7.2868833653811365,0.16
0.301057467612919,0.6989425323870803,0.036764645331845286,7.264292781501798,0.17
0.2834079199585838,0.7165920800414155,0.04030407937839313,7.243103798528834,0.18
0.2671294864773286,0.7328705135226706,0.043928284672787414,7.223201158944556,0.19
0.25211061352405295,0.7478893864759464,0.04763068874464593,7.204479880810693,0.2
0.23824953663534484,0.7617504633646545,0.051405251982766846,7.186844239328529,0.21
0.22545332709233795,0.7745466729076614,0.05524642124388421,7.170206859377505,0.22
0.21363703851111035,0.786362961488889,0.05914908779999484,7.154487903499825,0.23
0.20272294638660485,0.7972770536133944,0.06310854926982833,7.139614349388296,0.24
0.19263987289128096,0.8073601271087183,0.06712047520779439,7.125519349422034,0.25
0.1833225852412241,0.8166774147587752,0.07118087594520184,7.112141660448334,0.26
0.17471125581130065,0.8252887441886987,0.07528607427383488,7.099425132159515,0.27
0.16675097666575092,0.8332490233342484,0.07943267967503158,7.087318247360813,0.28
0.15939131937677029,0.840608680623229,0.08361756473660001,7.075773705031375,0.29
0.15258596490263315,0.8474140350973661,0.08783784485668343,7.064748070676585,0.3
0.14629229579967692,0.8537077042003224,0.09209085620117495,7.054201390474844,0.31
0.14047113919221943,0.8595288608077798,0.0963741408909154,7.044096949490647,0.32
0.13508638209336,0.8649136179066392,0.10068542624887576,7.034400907227317,0.33
0.13010478053045021,0.8698952194695491,0.10502261328131327,7.025082118729205,0.34
0.12549575439326596,0.8745042456067332,0.10938376478198153,7.016111941112314,0.35000000000000003
0.12123106550950752,0.8787689344904916,0.11376708755073538,7.007463929437933,0.36
0.1172847384398618,0.8827152615601375,0.11817092683519664,6.999113763059365,0.37
0.11363281050687307,0.8863671894931262,0.12259375239005342,6.991039009564905,0.38
0.11025315070766444,0.8897468492923348,0.12703414775140082,6.98321895441527,0.39
0.10712535511982299,0.8928746448801763,0.1314908038835123,6.975634502715741,0.4
0.10423057490143069,0.8957694250985686,0.13596250905718316,6.968268017337999,0.41000000000000003
0.10155139802293735,0.898448601977062,0.14044814170547665,6.961103207814754,0.42
0.09907176335794979,0.9009282366420496,0.14494666505023437,6.954125049798854,0.43
0.09677681496058882,0.9032231850394105,0.1494571185060462,6.947319647937594,0.44
0.0946528380221758,0.9053471619778235,0.15397861356590034,6.940674175933721,0.45
0.0926871602198491,0.9073128397801502,0.15851032787758254,6.93417678381835,0.46
0.09086805400869287,0.9091319459913064,0.16305149925607215,6.927816506230979,0.47000000000000003
0.08918468552504041,0.9108153144749589,0.16760142246404128,6.921583214542618,0.48
0.08762703593504827,0.912372964064951,0.17215944435543354,6.915467543063782,0.49
0.08618582910888004,0.9138141708911192,0.17672495941386215,6.909460821179462,0.5
0.0848524959242385,0.9151475040757607,0.18129740742137787,6.903555039986128,0.51
0.08361910150265096,0.9163808984973483,0.1858762689880498,6.897742783996364,0.52
0.08247830482871943,0.9175216951712798,0.1904610629673397,6.892017193342311,0.53
0.08142331610268079,0.9185766838973184,0.19505134377941488,6.886371923804125,0.54
0.08044784448089777,0.9195521555191015,0.19964669812777391,6.880801097834505,0.55
0.07954607011429476,0.9204539298857045,0.20424674320325922,6.875299278392971,0.56
0.07871260667629026,0.9212873933237091,0.2088511243060281,6.869861433852611,0.5700000000000001
0.07794246112020291,0.9220575388797964,0.21345951230345558,6.864482900299079,0.58
0.07723101526411341,0.9227689847358859,0.2180716024198315,6.859159364326395,0.59
0.07657399063807419,0.9234260093619252,0.2226871120129791,6.853886830106922,0.6
0.07596742271062919,0.9240325772893702,0.227305778917146,6.848661595275191,0.61
0.07540764246609334,0.924592357533906,0.23192736025390012,6.843480233693912,0.62
0.07489124826301698,0.9251087517369825,0.23655163063265294,6.838339569112193,0.63
0.07441508945507744,0.9255849105449221,0.24117838108810735,6.833236659848895,0.64
0.07397624835063013,0.9260237516493693,0.24580741791472596,6.828168781917889,0.65
0.07357202130976079,0.9264279786902387,0.250438561449617,6.823133411342087,0.66
0.07319990565723695,0.9268000943427626,0.2550716452193837,6.818128211919652,0.67
0.07285757093706892,0.9271424290629305,0.25970651409756584,6.813151008321181,0.68
0.07254288100950526,0.9274571189904942,0.2643430256735247,6.808199806817399,0.6900000000000001
0.07225381965289476,0.9277461803471048,0.2689810455297729,6.803272725604355,0.7000000000000001
