T,V,W,YK,YNA
0.0,-70.0,2.4999999e-05,0.0,0.0
10.0,-69.392799,1.2640638e-05,3.3310294e-05,3.3313328e-05
20.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
30.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
40.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
50.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
60.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
70.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
80.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
90.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
100.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
110.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
120.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
130.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
140.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
150.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
160.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
170.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
180.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
190.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
200.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
210.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
220.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
230.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
240.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
250.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
260.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
270.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
280.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
290.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
300.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
310.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
320.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
330.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
340.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
350.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
360.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
370.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
380.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
390.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
400.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
410.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
420.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
430.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
440.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
450.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
460.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
470.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
480.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
490.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
500.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
510.0,-69.392761,1.2641002e-05,3.33139e-05,3.33139e-05
