value_component_environment_variable_time,value_component_membrane_variable_V,value_component_membrane_variable_C,value_component_I_K_variable_I_K,value_component_I_K_variable_gK,value_component_n_variable_n,value_component_n_variable_n_infinity,value_component_n_variable_lambda,value_component_n_variable_tau_n,value_component_n_variable_vn,value_component_n_variable_sn,value_component_I_Ca_variable_I_Ca,value_component_I_Ca_variable_gCa,value_component_m_variable_m_infinity,value_component_m_variable_vm,value_component_m_variable_sm,value_component_I_SK_variable_I_SK,value_component_I_SK_variable_gSK,value_component_I_SK_variable_s_infinity,value_component_I_SK_variable_ks,value_component_I_DA_variable_I_DA,value_component_I_DA_variable_I_A,value_component_I_DA_variable_gA,value_component_a_variable_a_infinity,value_component_a_variable_va,value_component_a_variable_sa,value_component_h_variable_h,value_component_h_variable_h_infinity,value_component_h_variable_tau_h,value_component_h_variable_vh,value_component_h_variable_sh,value_component_Ca_variable_Ca,value_component_Ca_variable_fc,value_component_Ca_variable_alpha,value_component_Ca_variable_kc,value_component_PRL_variable_PRL,value_component_PRL_variable_kPRL,value_component_model_parameters_variable_VK,value_component_model_parameters_variable_VCa
0.0,-60.0,10.0,6.0,4.0,0.1,0.004070137715896128,0.7,30.0,-5.0,10.0,-7.577943046566457,2.0,0.03444519566621117,-20.0,12.0,0.9807692307692311,1.7,0.03846153846153847,0.5,0.6744828735784335,0.6744828735784335,25.0,0.01798620996209156,-20.0,10.0,0.1,0.5,20.0,-60.0,5.0,0.1,0.01,0.0015,0.16,0.00010000000000000005,1.0,-75.0,50.0
0.1,-60.00077272674815,10.0,5.986277725727718,4.0,0.09977643542349444,0.004069824497571963,0.7,30.0,-5.0,10.0,-7.577525125890434,2.0,0.034443054071600435,-20.0,12.0,0.9806313292892848,1.7,0.03845811173447215,0.5,0.6878504628293926,0.6878504628293926,25.0,0.01798484516837244,-20.0,10.0,0.10199489520749168,0.5000386363373307,20.0,-60.0,5.0,0.09999536697419248,0.01,0.0015,0.16,9.998146918462585e-05,1.0,-75.0,50.0
0.2,-60.00154449173186,10.0,5.972587787104177,4.0,0.0995533804099311,0.004069511693051468,0.7,30.0,-5.0,10.0,-7.577107746963022,2.0,0.034440915270660344,-20.0,12.0,0.9804935052341025,1.7,0.03845468522501376,0.5,0.7011503353705655,0.7011503353705655,25.0,0.017983482174800686,-20.0,10.0,0.10398023856416609,0.5000772245859791,20.0,-60.0,5.0,0.09999073406096914,0.01,0.0015,0.16,9.996294139501594e-05,1.0,-75.0,50.0
0.30000000000000004,-60.002314841463146,10.0,5.95893088823387,4.0,0.09933084381428654,0.004069199486025701,0.7,30.0,-5.0,10.0,-7.57669115493486,2.0,0.03443878051954857,-20.0,12.0,0.9803557882976032,1.7,0.03845125893584488,0.5,0.714381662654811,0.714381662654811,25.0,0.017982121781793658,-20.0,10.0,0.10595589459260767,0.50011574207109,20.0,-60.0,5.0,0.09998610126396494,0.01,0.0015,0.16,9.994441664527766e-05,1.0,-75.0,50.0
0.4,-60.003082893333115,10.0,5.945307218816457,4.0,0.09910882310894198,0.004068888234023823,0.7,30.0,-5.0,10.0,-7.576275826949498,2.0,0.034436652263173384,-20.0,12.0,0.9802182362196392,1.7,0.03844783286998456,0.5,0.7275453207146941,0.7275453207146941,25.0,0.01798076554725017,-20.0,10.0,0.10792197238873966,0.5001541446617723,20.0,-60.0,5.0,0.0999814685872717,0.01,0.0015,0.16,9.992589495133678e-05,1.0,-75.0,50.0
0.5,-60.00384911871023,10.0,5.9317166522618505,4.0,0.09888731947313674,0.00406857774583157,0.7,30.0,-5.0,10.0,-7.575861507938947,2.0,0.03443452919435339,-20.0,12.0,0.9800808181112526,1.7,0.03844440702580823,0.5,0.7406409209578129,0.7406409209578129,25.0,0.01797941263800637,-20.0,10.0,0.10987841690230452,0.5001924559260068,20.0,-60.0,5.0,0.09997683602870247,0.01,0.0015,0.16,9.990737630401252e-05,1.0,-75.0,50.0
0.6000000000000001,-60.00461311403691,10.0,5.918159260576151,4.0,0.09866633161222454,0.004068268184788536,0.7,30.0,-5.0,10.0,-7.575448415948046,2.0,0.034432412430262876,-20.0,12.0,0.9799435603563899,1.7,0.03844098140505649,0.5,0.7536689037006495,0.7536689037006495,25.0,0.017978063765815434,-20.0,10.0,0.11182528053684239,0.5002306556854835,20.0,-60.0,5.0,0.09997220359062076,0.01,0.0015,0.16,9.988886071231544e-05,1.0,-75.0,50.0
0.7000000000000001,-60.00537381316902,10.0,5.904635247803677,4.0,0.09844585610592646,0.004067959982626402,0.7,30.0,-5.0,10.0,-7.575037127210342,2.0,0.034430304923446904,-20.0,12.0,0.9798065326986816,1.7,0.038437556012339,0.5,0.7666303759750861,0.7666303759750861,25.0,0.01797672081192403,-20.0,10.0,0.11376270173535992,0.500268690632587,20.0,-60.0,5.0,0.0999675712792705,0.01,0.0015,0.16,9.98703482007577e-05,1.0,-75.0,50.0
0.8,-60.00613184013687,10.0,5.89114447543032,4.0,0.09822589495618346,0.004067652886239772,0.7,30.0,-5.0,10.0,-7.5746273040825,2.0,0.034428204943566694,-20.0,12.0,0.9796696942376732,1.7,0.03843413084494558,0.5,0.7795247571847097,0.7795247571847097,25.0,0.017975382673489904,-20.0,10.0,0.11569059946507167,0.5003065919684176,20.0,-60.0,5.0,0.09996293909099703,0.01,0.0015,0.16,9.985183875428714e-05,1.0,-75.0,50.0
0.9,-60.00688644900372,10.0,5.8776870728811055,4.0,0.09800644564068113,0.004067347197547069,0.7,30.0,-5.0,10.0,-7.574219349599509,2.0,0.03442611455561337,-20.0,12.0,0.9795330937676877,1.7,0.03843070590712073,0.5,0.7923528534954162,0.7923528534954162,25.0,0.017974050666123707,-20.0,10.0,0.11760907273897667,0.5003443223957567,20.0,-60.0,5.0,0.09995830703155119,0.01,0.0015,0.16,9.983333239543483e-05,1.0,-75.0,50.0
