Time,uninfected_cancer_cells,infected_cancer_cells,free_virus,damaged_cancer_cells,f,h,m,alpha_1,alpha_2,alpha_3,Whole_organism,uninfected_cancer_cell_growth,cancer_cell_infection,infected_cancer_cell_lysis,virus_infection_removal,radiotherapy_uninfected_cells,radiotherapy_infected_cells,damaged_cell_removal
0.0,0.4,0.0,0.1,0.0,0.0,0.15,0.02,0.0,0.0,0.0,1.0,0.0,0.04000000000000001,0.0,0.015799999999999998,0.0,0.0,0.0
0.08,0.3968314253606255,0.0030447524249749658,0.09886750404301212,0.0,0.0,0.15,0.02,0.0,0.0,0.0,1.0,0.0,0.039233732551235904,0.0030447524249749658,0.015614800257476535,0.0,0.0,0.0
0.16,0.3937196919743934,0.0058008419955338925,0.09798005995834028,0.0,0.0,0.15,0.02,0.0,0.0,0.0,1.0,0.0,0.038576679026430326,0.0058008419955338925,0.015468542574279648,0.0,0.0,0.0
0.24,0.39065659058767194,0.008298345207318075,0.0973128473194354,0.0,0.0,0.15,0.02,0.0,0.0,0.0,1.0,0.0,0.0380159051541893,0.008298345207318075,0.015357245200999096,0.0,0.0,0.0
0.32,0.3876348859067615,0.010564090699587482,0.09684362119906498,0.0,0.0,0.15,0.02,0.0,0.0,0.0,1.0,0.0,0.03753996605429718,0.010564090699587482,0.01527734250094569,0.0,0.0,0.0
0.4,0.3846482050432377,0.012622016065049743,0.09655243547133628,0.0,0.0,0.15,0.02,0.0,0.0,0.0,1.0,0.0,0.03713872099660254,0.012622016065049743,0.015225639740632492,0.0,0.0,0.0
0.48,0.3816909394356199,0.01449348485341756,0.0964213957832273,0.0,0.0,0.15,0.02,0.0,0.0,0.0,1.0,0.0,0.03680317313819374,0.01449348485341756,0.015199272830247967,0.0,0.0,0.0
0.56,0.3787581592374913,0.016197566243982917,0.09643444055225943,0.0,0.0,0.15,0.02,0.0,0.0,0.0,1.0,0.0,0.03652533119067106,0.016197566243982917,0.015195672706652336,0.0,0.0,0.0
0.64,0.3758455377550184,0.017751284097562624,0.09657714515846609,0.0,0.0,0.15,0.02,0.0,0.0,0.0,1.0,0.0,0.036298089056928155,0.017751284097562624,0.015212533554908475,0.0,0.0,0.0
0.72,0.372949284763572,0.019169838517880133,0.09683654712466493,0.0,0.0,0.15,0.02,0.0,0.0,0.0,1.0,0.0,0.03611512098911772,0.019169838517880133,0.015247784488482092,0.0,0.0,0.0
