Time,C16AcylCarCYT,C14AcylCarCYT,C12AcylCarCYT,C10AcylCarCYT,C8AcylCarCYT,C6AcylCarCYT,C4AcylCarCYT,C16AcylCoACYT,C16AcylCarMAT,C16AcylCoAMAT,C16EnoylCoAMAT,C14AcylCarMAT,C14AcylCoAMAT,C14EnoylCoAMAT,C12AcylCarMAT,C12AcylCoAMAT,C12EnoylCoAMAT,C10AcylCarMAT,C10AcylCoAMAT,C10EnoylCoAMAT,C8AcylCarMAT,C8AcylCoAMAT,C8EnoylCoAMAT,C6AcylCarMAT,C6AcylCoAMAT,C6EnoylCoAMAT,C6KetoacylCoAMAT,C4AcylCarMAT,C4AcylCoAMAT,C4EnoylCoAMAT,C4AcetoacylCoAMAT,AcetylCoAMAT,CoAMAT,CarCYT,CoACYT,MalCoACYT,C16HydroxyacylCoAMAT,C16KetoacylCoAMAT,C14HydroxyacylCoAMAT,C14KetoacylCoAMAT,C12HydroxyacylCoAMAT,C12KetoacylCoAMAT,C10HydroxyacylCoAMAT,C10KetoacylCoAMAT,C8HydroxyacylCoAMAT,C8KetoacylCoAMAT,C6HydroxyacylCoAMAT,C4HydroxyacylCoAMAT,FADHMAT,NADHMAT,CarMAT,FADtMAT,NADtMAT,CoAMATt,species_1,Vfcact,Vrcact,KmcactCarMAT,KmcactCarCYT,KicactCarCYT,Keqcact,Vcpt2,Kmcpt2C16AcylCarMAT,Kmcpt2C14AcylCarMAT,Kmcpt2C12AcylCarMAT,Kmcpt2C10AcylCarMAT,Kmcpt2C8AcylCarMAT,Kmcpt2C6AcylCarMAT,Kmcpt2C4AcylCarMAT,Kmcpt2CoAMAT,Kmcpt2C16AcylCoAMAT,Kmcpt2C14AcylCoAMAT,Kmcpt2C12AcylCoAMAT,Kmcpt2C10AcylCoAMAT,Kmcpt2C8AcylCoAMAT,Kmcpt2C6AcylCoAMAT,Kmcpt2C4AcylCoAMAT,Kmcpt2CarMAT,Keqcpt2,Vvlcad,KmvlcadC16AcylCoAMAT,KmvlcadC14AcylCoAMAT,KmvlcadC12AcylCoAMAT,KmvlcadFAD,KmvlcadC16EnoylCoAMAT,KmvlcadC14EnoylCoAMAT,KmvlcadC12EnoylCoAMAT,KmvlcadFADH,Keqvlcad,Vlcad,KmlcadC16AcylCoAMAT,KmlcadC14AcylCoAMAT,KmlcadC12AcylCoAMAT,KmlcadC10AcylCoAMAT,KmlcadC8AcylCoAMAT,KmlcadFAD,KmlcadC16EnoylCoAMAT,KmlcadC14EnoylCoAMAT,KmlcadC12EnoylCoAMAT,KmlcadC10EnoylCoAMAT,KmlcadC8EnoylCoAMAT,KmlcadFADH,Keqlcad,Vmcad,KmmcadC12AcylCoAMAT,KmmcadC10AcylCoAMAT,KmmcadC8AcylCoAMAT,KmmcadC6AcylCoAMAT,KmmcadC4AcylCoAMAT,KmmcadFAD,KmmcadC12EnoylCoAMAT,KmmcadC10EnoylCoAMAT,KmmcadC8EnoylCoAMAT,KmmcadC6EnoylCoAMAT,KmmcadC4EnoylCoAMAT,KmmcadFADH,Keqmcad,Vscad,KmscadC6AcylCoAMAT,KmscadC4AcylCoAMAT,KmscadFAD,KmscadC6EnoylCoAMAT,KmscadC4EnoylCoAMAT,KmscadFADH,Keqscad,Vcrot,KmcrotC16EnoylCoAMAT,KmcrotC14EnoylCoAMAT,KmcrotC12EnoylCoAMAT,KmcrotC10EnoylCoAMAT,KmcrotC8EnoylCoAMAT,KmcrotC6EnoylCoAMAT,KmcrotC4EnoylCoAMAT,KmcrotC16HydroxyacylCoAMAT,KmcrotC14HydroxyacylCoAMAT,KmcrotC12HydroxyacylCoAMAT,KmcrotC10HydroxyacylCoAMAT,KmcrotC8HydroxyacylCoAMAT,KmcrotC6HydroxyacylCoAMAT,KmcrotC4HydroxyacylCoAMAT,KicrotC4AcetoacylCoA,Keqcrot,Vmschad,KmmschadC16HydroxyacylCoAMAT,KmmschadC14HydroxyacylCoAMAT,KmmschadC12HydroxyacylCoAMAT,KmmschadC10HydroxyacylCoAMAT,KmmschadC8HydroxyacylCoAMAT,KmmschadC6HydroxyacylCoAMAT,KmmschadC4HydroxyacylCoAMAT,KmmschadNADMAT,KmmschadC16KetoacylCoAMAT,KmmschadC14KetoacylCoAMAT,KmmschadC12KetoacylCoAMAT,KmmschadC10KetoacylCoAMAT,KmmschadC8KetoacylCoAMAT,KmmschadC6KetoacylCoAMAT,KmmschadC4AcetoacylCoAMAT,KmmschadNADHMAT,Keqmschad,Vmckat,KmmckatC16KetoacylCoAMAT,KmmckatC14KetoacylCoAMAT,KmmckatC12KetoacylCoAMAT,KmmckatC10KetoacylCoAMAT,KmmckatC8KetoacylCoAMAT,KmmckatC6KetoacylCoAMAT,KmmckatC4AcetoacylCoAMAT,KmmckatCoAMAT,KmmckatC14AcylCoAMAT,KmmckatC16AcylCoAMAT,KmmckatC12AcylCoAMAT,KmmckatC10AcylCoAMAT,KmmckatC8AcylCoAMAT,KmmckatC6AcylCoAMAT,KmmckatC4AcylCoAMAT,KmmckatAcetylCoAMAT,Keqmckat,Vmtp,KmmtpC16EnoylCoAMAT,KmmtpC14EnoylCoAMAT,KmmtpC12EnoylCoAMAT,KmmtpC10EnoylCoAMAT,KmmtpC8EnoylCoAMAT,KmmtpNADMAT,KmmtpCoAMAT,KmmtpC14AcylCoAMAT,KmmtpC16AcylCoAMAT,KmmtpC12AcylCoAMAT,KmmtpC10AcylCoAMAT,KmmtpC8AcylCoAMAT,KmmtpC6AcylCoAMAT,KmmtpNADHMAT,KmmtpAcetylCoAMAT,Keqmtp,VCYT,VMAT,vcpt1C16,vcactC16,vcactC14,vcactC12,vcactC10,vcactC8,vcactC6,vcactC4,vcpt2C16,vcpt2C14,vcpt2C12,vcpt2C10,vcpt2C8,vcpt2C6,vcpt2C4,vvlcadC16,vvlcadC14,vvlcadC12,vlcadC16,vlcadC14,vlcadC12,vlcadC10,vmcadC12,vmcadC10,vmcadC8,vmcadC6,vscadC4,vmckatC6,vmckatC4,vmtpC16,vmtpC14,vmtpC12,vmtpC10,vmtpC8,vacesink,reaction_1,reaction_2
0.0,0.171,0.023,0.11,0.019,0.052,0.017,0.008000000000000002,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4970.0,400.0,140.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,16.0,950.0,0.77,250.0,5000.0,234.0,0.42,0.42,130.0,130.0,200.0,1.0,0.391,51.0,51.0,51.0,51.0,51.0,51.0,51.0,30.0,38.0,38.0,38.0,38.0,38.0,1000.0,1000000.0,350.0,2.22,0.008,6.5,4.0,2.7,0.12,1.08,1.08,1.08,24.2,6.0,0.01,2.5,7.4,9.0,24.3,123.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,5.7,5.4,4.0,9.4,135.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,285.0,10.7,0.12,1.08,1.08,24.2,6.0,3.6,150.0,100.0,25.0,25.0,25.0,25.0,40.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1.6,3.13,1.0,1.5,1.8,3.7,8.8,16.3,28.6,69.9,58.5,1.4,1.4,1.6,2.3,4.1,5.8,16.9,5.4,0.000217,0.377,1.1,1.2,1.3,2.1,3.2,6.7,12.4,26.6,13.83,13.83,13.83,13.83,13.83,13.83,13.83,30.0,1051.0,2.84,25.0,25.0,25.0,25.0,25.0,60.0,30.0,13.83,13.83,13.83,13.83,13.83,13.83,50.0,30.0,0.71,0.01,1.8e-06,0.003299982214844652,0.0013942872416862642,0.00018815028403988614,0.0008981190452804242,0.00015544226307203615,0.0004251102729655436,0.00013908607958110545,6.546532060779384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2698285076791888e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.22975928054300288,0.024497209732249833,0.10285809341996792,0.02312819981244646,0.05149752956546284,0.0210450575179828,0.008622179071965443,25.62073328865058,0.24286257613733897,0.5617703717004495,0.023265321450616275,0.08444257432490554,1.1398968094956057,0.023820143739928412,0.1804251665679235,1.656391375913898,0.03226471687288221,0.11616223716321955,1.7471618757516951,0.029180177025075704,0.12609326578070418,1.5224713525250793,0.06184765657632472,0.10458850806607048,3.5095571275660866,4.2914283562292415,0.042393022936090444,0.02979603526693904,6.246850911999245,15.09073442580055,0.14931884698170797,30.000000001185892,4933.871647506249,400.0,140.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,16.0,950.0,0.77,250.0,5000.0,234.0,0.42,0.42,130.0,130.0,200.0,1.0,0.391,51.0,51.0,51.0,51.0,51.0,51.0,51.0,30.0,38.0,38.0,38.0,38.0,38.0,1000.0,1000000.0,350.0,2.22,0.008,6.5,4.0,2.7,0.12,1.08,1.08,1.08,24.2,6.0,0.01,2.5,7.4,9.0,24.3,123.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,5.7,5.4,4.0,9.4,135.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,285.0,10.7,0.12,1.08,1.08,24.2,6.0,3.6,150.0,100.0,25.0,25.0,25.0,25.0,40.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1.6,3.13,1.0,1.5,1.8,3.7,8.8,16.3,28.6,69.9,58.5,1.4,1.4,1.6,2.3,4.1,5.8,16.9,5.4,0.000217,0.377,1.1,1.2,1.3,2.1,3.2,6.7,12.4,26.6,13.83,13.83,13.83,13.83,13.83,13.83,13.83,30.0,1051.0,2.84,25.0,25.0,25.0,25.0,25.0,60.0,30.0,13.83,13.83,13.83,13.83,13.83,13.83,50.0,30.0,0.71,0.01,1.8e-06,0.0032420473902381327,0.0010355416348148056,-9.036984600124276e-05,0.00021915160136618355,-0.00021064354413601245,-1.3016621848531105e-05,-0.00018788113945042062,-3.209597381354941e-05,0.0010350771755249333,-9.051731958090722e-05,0.0002190600394961906,-0.00021078852549462655,-1.307296059310815e-05,-0.00018799175831438715,-3.211590535075949e-05,0.00023841878752566974,0.0003318720399526376,0.00018718056658445156,0.0007953353850361466,0.0006088966974967797,0.0006586599667533862,0.00021337849044031942,0.0003117677515752121,0.0007312881173910479,0.0009299933529506014,0.0007388940192882775,0.0006985651822730896,0.0007361552497641964,0.0006862844411041507,0.0010337049551232766,0.0009407246707308303,0.0011575734075517205,0.0009446373425004881,0.0009299421272961778,0.0071153536396195705,0.0007361821119613294,0.0006864049343978811
0.5,0.28153864646689586,0.02737581905481846,0.09841505983123051,0.028676259334802116,0.05209473451332549,0.02590266222803645,0.009455170501323973,24.49335724806597,0.30487467378067956,0.7464736952510262,0.029925467451224153,0.1053430216420796,1.4764172618292726,0.029751836952692647,0.19332495181041226,1.9508633186666144,0.036921922711643684,0.13557545264665188,2.024621408675528,0.03314492487769609,0.1335988589986785,1.7229815222512528,0.06884450306638609,0.11971767289951663,3.907903993563551,4.66504693559868,0.04609288510933923,0.03244983459400309,6.895949864970211,16.47914942615186,0.1630837832603837,30.0000000012872,4929.722827248325,400.0,140.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,16.0,950.0,0.77,250.0,5000.0,234.0,0.42,0.42,130.0,130.0,200.0,1.0,0.391,51.0,51.0,51.0,51.0,51.0,51.0,51.0,30.0,38.0,38.0,38.0,38.0,38.0,1000.0,1000000.0,350.0,2.22,0.008,6.5,4.0,2.7,0.12,1.08,1.08,1.08,24.2,6.0,0.01,2.5,7.4,9.0,24.3,123.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,5.7,5.4,4.0,9.4,135.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,285.0,10.7,0.12,1.08,1.08,24.2,6.0,3.6,150.0,100.0,25.0,25.0,25.0,25.0,40.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1.6,3.13,1.0,1.5,1.8,3.7,8.8,16.3,28.6,69.9,58.5,1.4,1.4,1.6,2.3,4.1,5.8,16.9,5.4,0.000217,0.377,1.1,1.2,1.3,2.1,3.2,6.7,12.4,26.6,13.83,13.83,13.83,13.83,13.83,13.83,13.83,30.0,1051.0,2.84,25.0,25.0,25.0,25.0,25.0,60.0,30.0,13.83,13.83,13.83,13.83,13.83,13.83,50.0,30.0,0.71,0.01,1.8e-06,0.003183830336932157,0.0012417743772484158,-0.00013872467974635085,0.0001386679761237087,-0.00023202028531223398,-3.393838261011474e-05,-0.00020018673346695437,-3.442083450861861e-05,0.0012413450985609724,-0.0001388778407490674,0.0001385726485392167,-0.0002321580428511408,-3.3992291229289656e-05,-0.0002002952440307963,-3.4439860893278364e-05,0.00028411904387632954,0.00038543852244899964,0.00019767180444948162,0.0009558924892547147,0.0007132256382727015,0.0007005706852165939,0.0002235919956396865,0.00033686708468869564,0.0007773895058004646,0.0009655782600909907,0.0007624746736771284,0.0007210096847371541,0.0007598343796984143,0.0007116370872382443,0.0012399646504388394,0.001098622563810598,0.0012350770764634718,0.0010009536694091765,0.0009655290469487829,0.007723208739207621,0.0007598602669941617,0.0007117291267700013
0.75,0.32714672933446437,0.03137503496459719,0.09581897517265474,0.03468694414034671,0.05316489546185633,0.031034835585258266,0.010340261987732358,23.415588559564732,0.3622006835992837,0.9311134571247897,0.03627998191124111,0.1268760277649518,1.81130249124967,0.035379471567251505,0.2068859947183104,2.2361550032168727,0.04131460544850768,0.15455515785001664,2.28804862271068,0.03692584466864583,0.14115546265180184,1.909900297759895,0.0755294735907757,0.13479469795557925,4.280658444202062,5.017583452162788,0.04958461972638498,0.03511040493020539,7.486453277830503,17.727533915409033,0.1754633127728118,30.00000000137052,4925.860773727278,400.0,140.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,16.0,950.0,0.77,250.0,5000.0,234.0,0.42,0.42,130.0,130.0,200.0,1.0,0.391,51.0,51.0,51.0,51.0,51.0,51.0,51.0,30.0,38.0,38.0,38.0,38.0,38.0,1000.0,1000000.0,350.0,2.22,0.008,6.5,4.0,2.7,0.12,1.08,1.08,1.08,24.2,6.0,0.01,2.5,7.4,9.0,24.3,123.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,5.7,5.4,4.0,9.4,135.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,285.0,10.7,0.12,1.08,1.08,24.2,6.0,3.6,150.0,100.0,25.0,25.0,25.0,25.0,40.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1.6,3.13,1.0,1.5,1.8,3.7,8.8,16.3,28.6,69.9,58.5,1.4,1.4,1.6,2.3,4.1,5.8,16.9,5.4,0.000217,0.377,1.1,1.2,1.3,2.1,3.2,6.7,12.4,26.6,13.83,13.83,13.83,13.83,13.83,13.83,13.83,30.0,1051.0,2.84,25.0,25.0,25.0,25.0,25.0,60.0,30.0,13.83,13.83,13.83,13.83,13.83,13.83,50.0,30.0,0.71,0.01,1.8e-06,0.0031253372506678,0.0014135518553315843,-0.00018006814110189384,7.097014480806903e-05,-0.0002481139248815913,-5.117040528005049e-05,-0.00021006276675934372,-3.63425913359785e-05,0.0014131553880612508,-0.00018022467765974086,7.08704043574484e-05,-0.0002482495434301288,-5.1225358796290786e-05,-0.0002101714426558234,-3.636188929058178e-05,0.0003218403032257837,0.00042937201558129127,0.00020573033290222244,0.001089993579264437,0.000799798104469761,0.0007331915882986796,0.00023094443446975777,0.0003590576025727251,0.0008168965510676777,0.0009952770087921956,0.0007824427154966377,0.000739455369044634,0.0007799495142176097,0.0007306420552310397,0.001411789290926581,0.0012291306698216143,0.0012979487296565844,0.0010478143435397008,0.000995229891364172,0.008223118186378997,0.0007799739622125212,0.0007307285896066852
1.0,0.36736471305131213,0.03632355477769432,0.09477616585880734,0.04105013063632095,0.05463093130109323,0.03639191928184932,0.011270428164715521,22.385244376171112,0.41508271294614546,1.112638144471682,0.04230904910921076,0.14873063126700964,2.140296356200794,0.040715015642552706,0.2209751021930138,2.5122009918660164,0.04548474255828514,0.17326162742074558,2.5413710275811328,0.040552107701443726,0.14887190641147058,2.088224072558083,0.08194862612721596,0.14992130452082505,4.636166840297641,5.352389562040057,0.05290126189085536,0.037812559293366334,8.046714592361464,18.909389846681243,0.1871846409350885,30.000000001440004,4922.169513120537,400.0,140.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,16.0,950.0,0.77,250.0,5000.0,234.0,0.42,0.42,130.0,130.0,200.0,1.0,0.391,51.0,51.0,51.0,51.0,51.0,51.0,51.0,30.0,38.0,38.0,38.0,38.0,38.0,1000.0,1000000.0,350.0,2.22,0.008,6.5,4.0,2.7,0.12,1.08,1.08,1.08,24.2,6.0,0.01,2.5,7.4,9.0,24.3,123.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,5.7,5.4,4.0,9.4,135.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,285.0,10.7,0.12,1.08,1.08,24.2,6.0,3.6,150.0,100.0,25.0,25.0,25.0,25.0,40.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1.6,3.13,1.0,1.5,1.8,3.7,8.8,16.3,28.6,69.9,58.5,1.4,1.4,1.6,2.3,4.1,5.8,16.9,5.4,0.000217,0.377,1.1,1.2,1.3,2.1,3.2,6.7,12.4,26.6,13.83,13.83,13.83,13.83,13.83,13.83,13.83,30.0,1051.0,2.84,25.0,25.0,25.0,25.0,25.0,60.0,30.0,13.83,13.83,13.83,13.83,13.83,13.83,50.0,30.0,0.71,0.01,1.8e-06,0.0030665717672628064,0.0015565958312905434,-0.00021473423986475643,1.4128644863683387e-05,-0.0002603793436358295,-6.571640868557286e-05,-0.00021826623511963378,-3.8038641187248096e-05,0.0015562305703999413,-0.00021489211021043006,1.4025661099953955e-05,-0.0002605131545096978,-6.577259965780873e-05,-0.00021837543201557583,-3.805826075477746e-05,0.0003530150593183257,0.000465662621562052,0.00021212432591948498,0.0012019261224641101,0.0008720051389200552,0.0007593569490620338,0.0002366631743991273,0.0003782216822161469,0.000850705744085217,0.001020312295070779,0.0007993827725677414,0.0007549997348150244,0.0007970021722357911,0.0007466074313563377,0.0015548989422737502,0.001337630334414187,0.0013496736399131563,0.0010873432938408676,0.001020266909231031,0.008640022031158878,0.0007970255284541461,0.0007466898586619945
1.25,0.40284336678478094,0.04205975175820582,0.09503505099639852,0.047681081605456435,0.05643305850502964,0.041937893552133614,0.012240808298900086,21.400237901609906,0.46373059873325145,1.2885764386597052,0.0479982113431244,0.17064915080185508,2.4601034566020252,0.045768351088987295,0.2354476729217932,2.7785832161859534,0.04946065911307579,0.1917378857374804,2.786196140955698,0.044047736618919336,0.156769982528495,2.260066714319039,0.08814803938011254,0.16513916609997556,4.978742026122659,5.673491677197169,0.05608251587586962,0.04056186408342399,8.584117179729157,20.040040701061304,0.19839921368230012,30.00000000149857,4918.620177720566,400.0,140.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,16.0,950.0,0.77,250.0,5000.0,234.0,0.42,0.42,130.0,130.0,200.0,1.0,0.391,51.0,51.0,51.0,51.0,51.0,51.0,51.0,30.0,38.0,38.0,38.0,38.0,38.0,1000.0,1000000.0,350.0,2.22,0.008,6.5,4.0,2.7,0.12,1.08,1.08,1.08,24.2,6.0,0.01,2.5,7.4,9.0,24.3,123.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,5.7,5.4,4.0,9.4,135.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,285.0,10.7,0.12,1.08,1.08,24.2,6.0,3.6,150.0,100.0,25.0,25.0,25.0,25.0,40.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1.6,3.13,1.0,1.5,1.8,3.7,8.8,16.3,28.6,69.9,58.5,1.4,1.4,1.6,2.3,4.1,5.8,16.9,5.4,0.000217,0.377,1.1,1.2,1.3,2.1,3.2,6.7,12.4,26.6,13.83,13.83,13.83,13.83,13.83,13.83,13.83,30.0,1051.0,2.84,25.0,25.0,25.0,25.0,25.0,60.0,30.0,13.83,13.83,13.83,13.83,13.83,13.83,50.0,30.0,0.71,0.01,1.8e-06,0.003007547230299187,0.0016756143048608338,-0.000243162547305991,-3.340767637152757e-05,-0.0002696598586002055,-7.813969647695316e-05,-0.0002252357270593762,-3.956793630846506e-05,0.0016752786771073148,-0.0002433200695167514,-3.351292741106421e-05,-0.0002697921176329628,-7.819723142810853e-05,-0.0002253456804867123,-3.958790871958147e-05,0.0003787715805352125,0.0004958379031071502,0.0002173382065120016,0.001295265285907938,0.0009325758959179598,0.0007809079598723773,0.00024139634505808693,0.00039473651844841644,0.0008800307599261187,0.0010419871609382682,0.0008141695143183451,0.000768488589667872,0.0008118771300536753,0.0007604254366231761,0.001673996981540346,0.0014283783207595208,0.001392954755074104,0.0011214024419183924,0.0010419432857871186,0.008991420941129036,0.0008118996688416002,0.0007605046746208843
1.5,0.43412751248815995,0.04843392390635218,0.0963802819732222,0.054513763136031124,0.05852381420136103,0.04764604255308469,0.013247784725013348,20.458574163836516,0.5083443377994292,1.4570264021474506,0.053342554254268065,0.1924216061515009,2.768276899237038,0.05055232081906383,0.2501854543293071,3.03516598937093,0.053265849076140466,0.21001789019966635,3.0238384218279863,0.04743090316772639,0.16486152168939677,2.427009393057472,0.09416113480598111,0.18047555482959818,5.311494355155444,5.983695348344231,0.05915605243143393,0.0433618292041401,9.103875363444159,21.130073805407026,0.20921168639613794,30.000000001548447,4915.192423519509,400.0,140.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,16.0,950.0,0.77,250.0,5000.0,234.0,0.42,0.42,130.0,130.0,200.0,1.0,0.391,51.0,51.0,51.0,51.0,51.0,51.0,51.0,30.0,38.0,38.0,38.0,38.0,38.0,1000.0,1000000.0,350.0,2.22,0.008,6.5,4.0,2.7,0.12,1.08,1.08,1.08,24.2,6.0,0.01,2.5,7.4,9.0,24.3,123.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,5.7,5.4,4.0,9.4,135.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,285.0,10.7,0.12,1.08,1.08,24.2,6.0,3.6,150.0,100.0,25.0,25.0,25.0,25.0,40.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1.6,3.13,1.0,1.5,1.8,3.7,8.8,16.3,28.6,69.9,58.5,1.4,1.4,1.6,2.3,4.1,5.8,16.9,5.4,0.000217,0.377,1.1,1.2,1.3,2.1,3.2,6.7,12.4,26.6,13.83,13.83,13.83,13.83,13.83,13.83,13.83,30.0,1051.0,2.84,25.0,25.0,25.0,25.0,25.0,60.0,30.0,13.83,13.83,13.83,13.83,13.83,13.83,50.0,30.0,0.71,0.01,1.8e-06,0.0029482852625321784,0.0017744427427104923,-0.0002658598639814992,-7.298757698773172e-05,-0.00027661397624324796,-8.886871240197007e-05,-0.0002312839689100187,-4.097217065968611e-05,0.0017741365866954127,-0.00026601562826214894,-7.309468410288097e-05,-0.00027674518809085236,-8.892785214647546e-05,-0.00023139498460521485,-4.099253236884693e-05,0.00039999984959251326,0.0005210613765127748,0.00022170638810853143,0.0013729537199375441,0.0009836669419423666,0.0007991495014327874,0.0002455622722618653,0.0004089324835927564,0.0009057664944706787,0.001061189630237333,0.0008273858375865841,0.0007804839049517819,0.0008251647411783147,0.0007726861384170269,0.001772917102615756,0.0015046953094002172,0.0014297615169935002,0.0011513045478672818,0.0010611467683326922,0.009290680225149117,0.0008251861749796103,0.0007727622546422301
1.75,0.46167578532997655,0.055309419901601826,0.09862778486886498,0.06149662038750655,0.06086510436729856,0.05349628679472331,0.01428862482434584,19.558345974542277,0.5491144913096061,1.6165702020674517,0.05834294100087911,0.2138761503223137,3.063028750702233,0.055080057090681846,0.2650877314398861,3.2819443435828943,0.056918865380205755,0.22812553354201318,3.2553146471379244,0.05071493722496175,0.1731507986619419,2.590207963026759,0.10001165026351733,0.1959476104304248,5.636637721340317,6.28494628919543,0.06214106246480074,0.046214631943383086,9.609659155354345,22.186842045127992,0.21969474627574936,30.000000001591122,4911.871944621173,400.0,140.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,16.0,950.0,0.77,250.0,5000.0,234.0,0.42,0.42,130.0,130.0,200.0,1.0,0.391,51.0,51.0,51.0,51.0,51.0,51.0,51.0,30.0,38.0,38.0,38.0,38.0,38.0,1000.0,1000000.0,350.0,2.22,0.008,6.5,4.0,2.7,0.12,1.08,1.08,1.08,24.2,6.0,0.01,2.5,7.4,9.0,24.3,123.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,5.7,5.4,4.0,9.4,135.0,0.12,1.08,1.08,1.08,1.08,1.08,24.2,6.0,0.081,285.0,10.7,0.12,1.08,1.08,24.2,6.0,3.6,150.0,100.0,25.0,25.0,25.0,25.0,40.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1.6,3.13,1.0,1.5,1.8,3.7,8.8,16.3,28.6,69.9,58.5,1.4,1.4,1.6,2.3,4.1,5.8,16.9,5.4,0.000217,0.377,1.1,1.2,1.3,2.1,3.2,6.7,12.4,26.6,13.83,13.83,13.83,13.83,13.83,13.83,13.83,30.0,1051.0,2.84,25.0,25.0,25.0,25.0,25.0,60.0,30.0,13.83,13.83,13.83,13.83,13.83,13.83,50.0,30.0,0.71,0.01,1.8e-06,0.002888814527770176,0.0018562167674147348,-0.00028335755872653783,-0.0001057665727630632,-0.00028174669378141094,-9.822940680580093e-05,-0.00023663441155650063,-4.2281204098973694e-05,0.0018559366479551107,-0.00028351054045166503,-0.00010587426106967754,-0.0002818764982135487,-9.828978593640056e-05,-0.00023674630374458683,-4.230193305498441e-05,0.000417412641713988,0.0005422290754898172,0.00022546104527897565,0.0014374099650180077,0.0010269776184798187,0.0008150031130246681,0.00024943004830039323,0.0004210949610858729,0.0009285804173991367,0.001078533671882349,0.0008394280977383436,0.0007913666150434996,0.0008372666008184411,0.0007837898859192145,0.0018547878821888282,0.0015691750154649938,0.0014615333245981185,0.0011779871271332435,0.0010784920710289435,0.009546731405407627,0.0008372878043727562,0.000783864374995957
