data_set_value_component_environment_variable_time,data_set_value_component_parameters_variable_a_D,data_set_value_component_parameters_variable_a_E,data_set_value_component_parameters_variable_a_X,data_set_value_component_parameters_variable_k,data_set_value_component_parameters_variable_q_D,data_set_value_component_parameters_variable_q_E,data_set_value_component_parameters_variable_q_X,data_set_value_component_parameters_variable_f,data_set_value_component_parameters_variable_g,data_set_value_component_parameters_variable_p_S,data_set_value_component_parameters_variable_p_D,data_set_value_component_parameters_variable_p_E,data_set_value_component_parameters_variable_p_X,data_set_value_component_parameters_variable_d_D,data_set_value_component_parameters_variable_d_E,data_set_value_component_parameters_variable_d_X,data_set_value_component_parameters_variable_a_f,data_set_value_component_parameters_variable_R_T,data_set_value_component_parameters_variable_theta,data_set_value_component_parameters_variable_GF,data_set_value_component_D_variable_D,data_set_value_component_E_variable_E,data_set_value_component_R_variable_R,data_set_value_component_R_S_variable_R_S,data_set_value_component_X_variable_X,data_set_value_component_unpho_RB_variable_unpho_RB,data_set_value_component_free_E2F_variable_free_E2F
0.0,0.4,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.1,0.6,0.5,1.0,0.7,1.5,0.5
0.1,0.4,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.10706529524355522,0.6148819595642698,0.49828494923337946,1.0092632560859889,0.6589224219777283,1.5075482053193683,0.4907367439140111
0.2,0.4,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.11389571732312792,0.6299256782635444,0.4962742066584459,1.0179482567791152,0.6205588210544682,1.514222463437561,0.48205174322088484
0.30000000000000004,0.4,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.1204881721859492,0.6451274415620734,0.4939893357345939,1.026073267057111,0.5847802092800396,1.520062602791705,0.4739267329428889
0.4,0.4,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.12684001554077326,0.6604828930317758,0.4914509561448706,1.0336570899766584,0.5514584163165445,1.525108046121529,0.4663429100233416
0.5,0.4,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.13294899384494807,0.6759872186500451,0.48867873788184746,1.0407186594240967,0.5204677427175117,1.529397397305944,0.4592813405759033
0.6000000000000001,0.4,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.1388132670995211,0.6916351595072081,0.4856915019159773,1.0472770254937531,0.49168492663276425,1.5329685274097304,0.4527229745062469
0.7000000000000001,0.4,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.14443145475997798,0.7074210402145777,0.4825071920787558,1.0533512538418983,0.46498980003959134,1.5358584459206541,0.4466487461581017
0.8,0.4,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.14980260827410694,0.7233388784946495,0.47914301307411633,1.0589603167793578,0.4402654364061407,1.538103329853474,0.44103968322064224
0.9,0.4,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.15492620966469087,0.7393824479916815,0.4756154734111301,1.0641230195099103,0.41739841320913557,1.5397384929210403,0.4358769804900897
1.0,0.4,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.1598021807306441,0.7555453212286058,0.47194038804834376,1.0688579419414301,0.3962791040252671,1.5407983299897738,0.43114205805856987
