Time,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,ARF,ARF_Mdm2,damDNA,Sink,Source,p53deg,p53syn,mdm2deg,mdm2syn,Mdm2mRNAdeg,Mdm2mRNAsyn,totdamDNA,totp53,totMdm2,IR,ksynMdm2,kdegMdm2,ksynp53,kdegp53,kbinMdm2p53,krelMdm2p53,ksynMdm2mRNA,kdegMdm2mRNA,kbinARFMdm2,kdegARFMdm2,kdegARF,kactARF,kdam,krepair,kproteff,cell,Mdm2Synthesis,Mdm2mRNASynthesis,Mdm2mRNADegradation,Mdm2Degradation,p53Synthesis,p53Degradation,P53_Mdm2Binding,P53_Mdm2Release,DNAdamage,DNArepair,ARFactivation,ARF_Mdm2Binding,ARF_Mdm2Degradation,ARFDegradation
0.0,5.0,5.0,95.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.000495,0.000433,0.078,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.01,0.001,0.0001,3.3e-05,0.08,2e-05,1.0,1.0,0.0,0.0005,0.0,0.0021650000000000003,0.078,0.078375,0.028874999999999998,0.00109725,0.0,0.0,0.0,0.0,0.0,0.0
0.01,5.000484290861317,5.0005021939844925,94.99949405810253,5.000248600756963e-06,0.0,0.0,0.0,1.0,1.0,0.0007837479129557224,0.00078,2.1651048507973788e-05,1.2375493615845283e-11,2.500099720372785e-12,5.000251100856684e-06,0.0,99.99999625208702,99.99997834896385,0.0,0.000495,0.000433,0.078,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.01,0.001,0.0001,3.3e-05,0.08,2e-05,1.0,1.0,2.4751230573746967e-09,0.0005000502193984493,5.000248600756964e-10,0.0021652096979429504,0.078,0.07837458259793459,0.028880697230889745,0.001097244156371084,0.0,0.0,0.0,0.0,0.0,0.0
0.02,5.000968518446786,5.001004330938981,94.99898817740885,1.0000994365290353e-05,0.0,0.0,0.0,1.0,1.0,0.0015674916521535701,0.0015600000000000002,4.3304193852950034e-05,4.9503455150166357e-11,1.0000698010134619e-11,1.0001004365988368e-05,0.0,99.99999250834783,99.99995669585563,0.0,0.000495,0.000433,0.078,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.01,0.001,0.0001,3.3e-05,0.08,2e-05,1.0,1.0,4.950492210818724e-09,0.0005001004330938982,1.0000994365290353e-09,0.0021654193684874585,0.078,0.0783741652463623,0.02888639432868637,0.0010972383134490722,0.0,0.0,0.0,0.0,0.0,0.0
0.03,5.001452682758483,5.0015064108647564,94.99848235791714,1.5002237236163078e-05,0.0,0.0,0.0,1.0,1.0,0.002351231218097863,0.0023399999999999996,6.4959435761116e-05,1.1138638551297011e-10,2.250230010363033e-11,1.5002259738463188e-05,0.0,99.99998876878189,99.99993504067562,0.0,0.000495,0.000433,0.078,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.01,0.001,0.0001,3.3e-05,0.08,2e-05,1.0,1.0,7.426107431900724e-09,0.0005001506410864757,1.500223723616308e-09,0.002165629011634423,0.078,0.07837374794528164,0.028892091293203546,0.001097232471233943,0.0,0.0,0.0,0.0,0.0,0.0
0.04,5.001936783798298,5.0020084337630175,94.99797659962573,2.000397716208642e-05,0.0,0.0,0.0,1.0,1.0,0.003134966611238774,0.003119999999999999,8.661677398820033e-05,1.9802647885738613e-10,4.000534926411842e-11,2.000401716743569e-05,0.0,99.99998503338875,99.99991338342403,0.0,0.000495,0.000433,0.078,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.01,0.001,0.0001,3.3e-05,0.08,2e-05,1.0,1.0,9.901968695232778e-09,0.0005002008433763018,2.000397716208642e-09,0.002165838627384663,0.078,0.07837333069469123,0.028897788124253376,0.0010972266297256772,0.0,0.0,0.0,0.0,0.0,0.0
0.05,5.002420821568551,5.002510399635228,94.99747090253263,2.500621408024308e-05,0.0,0.0,0.0,1.0,1.0,0.003918697832127659,0.003899999999999999,0.00010827620823502963,3.094264218975056e-10,6.251038826212236e-11,2.500627659063135e-05,0.0,99.99998130216785,99.99989172410118,0.0,0.000495,0.000433,0.078,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.01,0.001,0.0001,3.3e-05,0.08,2e-05,1.0,1.0,1.2378075969720324e-08,0.0005002510399635228,2.500621408024308e-09,0.0021660482157391824,0.078,0.07837291349458941,0.02890348482165199,0.0010972207889242518,0.0,0.0,0.0,0.0,0.0,0.0
0.06,5.0029047960714355,5.003012308482776,94.9969652666359,3.000894793126863e-05,0.0,0.0,0.0,1.0,1.0,0.0047024248812855655,0.004679999999999998,0.00012993773821887798,4.455887534140522e-10,9.001792998263682e-11,3.0009037949198627e-05,0.0,99.99997757511868,99.99987006270733,0.0,0.000495,0.000433,0.078,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.01,0.001,0.0001,3.3e-05,0.08,2e-05,1.0,1.0,1.4854429225977972e-08,0.0005003012308482776,3.000894793126863e-09,0.0021662577766989317,0.078,0.07837249634497462,0.028909181385214405,0.0010972149488296446,0.0,0.0,0.0,0.0,0.0,0.0
0.07,5.003388707309001,5.003514160306959,94.9964596919338,3.5012178659755673e-05,0.0,0.0,0.0,1.0,1.0,0.005486147759198805,0.00546,0.0001516013636758683,6.065158426522614e-10,1.225284530610629e-10,3.501230118820875e-05,0.0,99.99997385224076,99.9998483992428,0.0,0.000495,0.000433,0.078,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.01,0.001,0.0001,3.3e-05,0.08,2e-05,1.0,1.0,1.733102843657906e-08,0.0005003514160306959,3.5012178659755676e-09,0.0021664673102647974,0.078,0.07837207924584538,0.028914877814754294,0.0010972091094418352,0.0,0.0,0.0,0.0,0.0,0.0
0.08,5.003872555283375,5.004015955109122,94.99595417842445,4.001590620823899e-05,0.0,0.0,0.0,1.0,1.0,0.006269866466371747,0.006239999999999999,0.0001732670843323248,7.92210146721249e-10,1.6004245388308066e-10,4.00160662506929e-05,0.0,99.99997013353358,99.99982673370783,0.0,0.000495,0.000433,0.078,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.01,0.001,0.0001,3.3e-05,0.08,2e-05,1.0,1.0,1.9807873573078302e-08,0.0005004015955109122,4.001590620823899e-09,0.0021666768164377015,0.078,0.07837166219720018,0.02892057411008612,0.0010972032707608024,0.0,0.0,0.0,0.0,0.0,0.0
0.09,5.004356339996695,5.004517692890621,94.99544872610602,4.5020130519049825e-05,0.0,0.0,0.0,1.0,1.0,0.007053581003310547,0.0070199999999999985,0.00019493489991360554,1.0026741311386946e-09,2.025604305330697e-10,4.502033307948039e-05,0.0,99.99996641899664,99.99980506610271,0.0,0.000495,0.000433,0.078,0.000825,0.001155,1.155e-05,0.0001,0.0001,0.01,0.001,0.0001,3.3e-05,0.08,2e-05,1.0,1.0,2.2284964606929662e-08,0.0005004517692890621,4.5020130519049825e-09,0.002166886295218569,0.078,0.07837124519903746,0.02892627027102445,0.0010971974327865246,0.0,0.0,0.0,0.0,0.0,0.0
