ARF,ARF_Mdm2,Mdm2,Mdm2_mRNA,Mdm2_p53,Mdm2mRNAdeg,Mdm2mRNAsyn,Sink,Source,damDNA,mdm2deg,mdm2syn,p53,p53deg,p53syn,totMdm2,totdamDNA,totp53,Time
0.0,0.0,5.0,0.0,95.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,100.0,0.0,100.0,0.0
0.0,0.0,5.000484290861317,5.000248600756963e-06,94.99949405810253,2.500099720372785e-12,5.000251100856684e-06,1.0,1.0,0.0,2.1651048507973788e-05,1.2375493615845283e-11,5.0005021939844925,0.0007837479129557224,0.00078,99.99997834896385,0.0,99.99999625208702,0.01
0.0,0.0,5.000968518446786,1.0000994365290353e-05,94.99898817740885,1.0000698010134619e-11,1.0001004365988368e-05,1.0,1.0,0.0,4.3304193852950034e-05,4.9503455150166357e-11,5.001004330938981,0.0015674916521535701,0.0015600000000000002,99.99995669585563,0.0,99.99999250834783,0.02
0.0,0.0,5.001452682758483,1.5002237236163078e-05,94.99848235791714,2.250230010363033e-11,1.5002259738463188e-05,1.0,1.0,0.0,6.4959435761116e-05,1.1138638551297011e-10,5.0015064108647564,0.002351231218097863,0.0023399999999999996,99.99993504067562,0.0,99.99998876878189,0.03
0.0,0.0,5.001936783798298,2.000397716208642e-05,94.99797659962573,4.000534926411842e-11,2.000401716743569e-05,1.0,1.0,0.0,8.661677398820033e-05,1.9802647885738613e-10,5.0020084337630175,0.003134966611238774,0.003119999999999999,99.99991338342403,0.0,99.99998503338875,0.04
0.0,0.0,5.002420821568551,2.500621408024308e-05,94.99747090253263,6.251038826212236e-11,2.500627659063135e-05,1.0,1.0,0.0,0.00010827620823502963,3.094264218975056e-10,5.002510399635228,0.003918697832127659,0.003899999999999999,99.99989172410118,0.0,99.99998130216785,0.05
0.0,0.0,5.0029047960714355,3.000894793126863e-05,94.9969652666359,9.001792998263682e-11,3.0009037949198627e-05,1.0,1.0,0.0,0.00012993773821887798,4.455887534140522e-10,5.003012308482776,0.0047024248812855655,0.004679999999999998,99.99987006270733,0.0,99.99997757511868,0.06
0.0,0.0,5.003388707309001,3.5012178659755673e-05,94.9964596919338,1.225284530610629e-10,3.501230118820875e-05,1.0,1.0,0.0,0.0001516013636758683,6.065158426522614e-10,5.003514160306959,0.005486147759198805,0.00546,99.9998483992428,0.0,99.99997385224076,0.07
0.0,0.0,5.003872555283375,4.001590620823899e-05,94.99595417842445,1.6004245388308066e-10,4.00160662506929e-05,1.0,1.0,0.0,0.0001732670843323248,7.92210146721249e-10,5.004015955109122,0.006269866466371747,0.006239999999999999,99.99982673370783,0.0,99.99997013353358,0.08
0.0,0.0,5.004356339996695,4.5020130519049825e-05,94.99544872610602,2.025604305330697e-10,4.502033307948039e-05,1.0,1.0,0.0,0.00019493489991360554,1.0026741311386946e-09,5.004517692890621,0.007053581003310547,0.0070199999999999985,99.99980506610271,0.0,99.99996641899664,0.09
0.0,0.0,5.0048400614510955,5.002485153464744e-05,94.99494333497663,2.5008287995250855e-10,5.002510161752743e-05,1.0,1.0,0.0,0.00021660481014568037,1.237910255764917e-09,5.005019373652808,0.007837291370520236,0.007799999999999999,99.99978339642772,0.0,99.99996270862944,0.1
0.0,0.0,5.00532371964871,5.503006919751368e-05,94.99443800503441,3.0261029884534266e-10,5.503037180781256e-05,1.0,1.0,0.0,0.00023827681475462907,1.497920979284446e-09,5.005520997397036,0.008620997568505637,0.008579999999999997,99.99976172468313,0.0,99.99995900243145,0.11
0.0,0.0,5.005807314591677,6.003578345014237e-05,94.99393273627753,3.601431837645986e-10,6.003614359332617e-05,1.0,1.0,0.0,0.00025995091346659116,1.7827087596347625e-09,5.0060225641246605,0.00940469959777147,0.009359999999999997,99.9997400508692,0.0,99.99995530040219,0.12
0.0,0.0,5.006290846282133,6.504199423502649e-05,94.9934275287041,4.226820312245334e-10,6.504241691705774e-05,1.0,1.0,0.0,0.0002816271060077045,2.0922760545614396e-09,5.006524073837039,0.010188397458822461,0.010139999999999996,99.99971837498623,0.0,99.99995160254115,0.13
0.0,0.0,5.006774314722219,7.0048701494657e-05,94.99292238231227,4.902273377108036e-10,7.004919172199475e-05,1.0,1.0,0.0,0.00030330539210410024,2.4266253216684776e-09,5.007025526535531,0.010972091152163344,0.010919999999999996,99.9996966970345,0.0,99.9999479088478,0.14
0.0,0.0,5.007257719914077,7.505590517152457e-05,94.99241729710018,5.627795996665461e-10,7.505646795112426e-05,1.0,1.0,0.0,0.0003249857714819103,2.785759018349403e-09,5.007526922221498,0.011755780678298857,0.011699999999999993,99.99967501701425,0.0,99.99994421932168,0.15
0.0,0.0,5.007741061859851,8.006360520812081e-05,94.99191227306594,6.403393134816719e-10,8.006424554743431e-05,1.0,1.0,0.0,0.0003466682438672737,3.1696796017342756e-09,5.008028260896302,0.012539466037733728,0.012479999999999995,99.99965333492578,0.0,99.99994053396223,0.16
0.0,0.0,5.0082243405616875,8.507180154693873e-05,94.99140731020769,7.229069754885834e-10,8.507252445391423e-05,1.0,1.0,0.0,0.00036835280898633887,3.5783895286684876e-09,5.008529542561309,0.01332314723097267,0.013259999999999994,99.99963165076937,0.0,99.999936852769,0.17
0.0,0.0,5.008707556021734,9.008049413047275e-05,94.99090240852357,8.104830819651187e-10,9.008130461355474e-05,1.0,1.0,0.0,0.00039003946656526305,4.011891255727337e-09,5.009030767217885,0.014106824258520374,0.014039999999999992,99.9996099645453,0.0,99.99993317574145,0.18
0.0,0.0,5.00919070824214,9.508968290121886e-05,94.99039756801169,9.030681291300684e-10,9.509058596934801e-05,1.0,1.0,0.0,0.0004117282163302136,4.470187239193839e-09,5.009531934867399,0.014890497120881526,0.014819999999999991,99.99958827625383,0.0,99.99992950287908,0.19
0.0,0.0,5.009673797225056,0.00010009936780167458,94.98989278867019,1.0006626131394323e-09,0.00010010036846428773,1.0,1.0,0.0,0.0004334190580073679,4.953279935040191e-09,5.0100330455112205,0.015674165818560785,0.01559999999999999,99.99956658589525,0.0,99.99992583418141,0.2
0.0,0.0,5.010156822972637,0.00010510954877433886,94.98938807049718,1.1032670300914412e-09,0.00010511065204136897,1.0,1.0,0.0,0.0004551119913229127,5.461171798952635e-09,5.010534099150723,0.016457830352062795,0.01637999999999999,99.99954489346982,0.0,99.9999221696479,0.21
0.0,0.0,5.010639785487037,0.0001101202257617121,94.9888834134908,1.2108818760279177e-09,0.00011012143664358813,1.0,1.0,0.0,0.00047680701600304404,5.993865286338194e-09,5.01103509578728,0.017241490721892194,0.017159999999999988,99.99952319897784,0.0,99.99991850927807,0.22
0.0,0.0,5.011122684770412,0.00011513139870629604,94.98837881764915,1.3235076469345964e-09,0.00011513272221394298,1.0,1.0,0.0,0.0004985041317739669,6.551362852326254e-09,5.011536035422268,0.018025146928553597,0.017939999999999987,99.99950150241956,0.0,99.99991485307142,0.23
0.0,0.0,5.011605520824923,0.00012014306755059385,94.98787428297035,1.4411448387402462e-09,0.0001201445086954326,1.0,1.0,0.0,0.0005202033383618955,7.13366695176422e-09,5.012036918057064,0.018808798972551603,0.018719999999999987,99.99947980379528,0.0,99.99991120102742,0.24
0.0,0.0,5.012088293652729,0.0001251552322371102,94.98736980945253,1.5637939473161288e-09,0.00012515679603105752,1.0,1.0,0.0,0.0005419046354930535,7.740780039214839e-09,5.0125377436930485,0.0195924468543908,0.019499999999999986,99.99945810310525,0.0,99.99990755314558,0.25
0.0,0.0,5.012571003255992,0.00013016789270835108,94.9868653970938,1.691455468475801e-09,0.00013016958416381958,1.0,1.0,0.0,0.000563608022893674,8.372704568955215e-09,5.013038512331603,0.020376090574575758,0.020279999999999986,99.9994364003498,0.0,99.9999039094254,0.26
0.0,0.0,5.013053649636877,0.00013518104890682404,94.98636104589225,1.8241298979751991e-09,0.00013518287303672204,1.0,1.0,0.0,0.0005853135002899994,9.029442994977235e-09,5.01353922397411,0.02115973013361103,0.021059999999999985,99.99941469552913,0.0,99.99990026986636,0.27
0.0,0.0,5.0135362327975495,0.00014019470077503805,94.98585675584602,1.9618177315127464e-09,0.00014019666259276956,1.0,1.0,0.0,0.0006070210674082816,9.710997770988095e-09,5.014039878621956,0.021943365532001158,0.021839999999999984,99.99939298864356,0.0,99.99989663446797,0.28
