data_generator_I1,data_generator_T
0.0,0.0
0.099304937,10.0
0.19971886,20.0
0.29884151,30.0
0.39960167,40.0
0.49878344,50.0
0.59863114,60.0
0.69870573,70.0
0.79833907,80.0
0.89888513,90.0
0.9993735,100.0
1.0988892,110.0
1.1999042,120.0
1.2994748,130.0
1.3989614,140.0
1.4997045,150.0
1.5999622,160.0
1.6994811,170.0
1.7994753,180.0
1.8998069,190.0
1.9991837,200.0
2.0985405,210.0
2.1988204,220.0
2.2979825,230.0
2.398973,240.0
2.4993181,250.0
2.599885,260.0
2.6990759,270.0
2.7992966,280.0
2.8993709,290.0
2.9993987,300.0
3.0997543,310.0
3.1994727,320.0
3.2993448,330.0
3.3993018,340.0
3.4996915,350.0
3.5993857,360.0
3.698946,370.0
3.7995963,380.0
3.8985186,390.0
3.9991908,400.0
4.099689,410.0
4.198873,420.0
4.2991939,430.0
4.3991723,440.0
4.4988127,450.0
4.5992079,460.0
4.6998973,470.0
4.798274,480.0
4.8989987,490.0
4.999619,500.0
5.0984087,510.0
5.1996632,520.0
5.2987742,530.0
5.3992405,540.0
5.499342,550.0
5.5991282,560.0
5.6995378,570.0
5.7986393,580.0
5.8985267,590.0
5.9998651,600.0
6.0990577,610.0
6.1999745,620.0
6.2997961,630.0
6.3995085,640.0
6.4981217,650.0
6.5999188,660.0
6.6984243,670.0
6.7993269,680.0
6.8989177,690.0
6.999629,700.0
7.0997548,710.0
7.1999755,720.0
7.2995582,730.0
7.3989797,740.0
7.4997196,750.0
7.599668,760.0
7.6992702,770.0
7.7999568,780.0
7.8988719,790.0
7.9978805,800.0
8.0997105,810.0
8.1990728,820.0
8.2991304,830.0
8.3986111,840.0
8.4994154,850.0
8.5985222,860.0
8.6995125,870.0
8.7994165,880.0
8.8985777,890.0
8.9998493,900.0
9.099967,910.0
9.1987429,920.0
9.2984524,930.0
9.3991261,940.0
9.4988146,950.0
9.599431,960.0
9.6998034,970.0
9.7995768,980.0
9.8994932,990.0
9.9992609,1000.0
10.099956,1010.0
10.198851,1020.0
10.299101,1030.0
10.399109,1040.0
10.499188,1050.0
10.599922,1060.0
10.698857,1070.0
10.799438,1080.0
10.898788,1090.0
10.999138,1100.0
11.099462,1110.0
11.198833,1120.0
11.299669,1130.0
11.398849,1140.0
11.499972,1150.0
11.599245,1160.0
11.698687,1170.0
11.799716,1180.0
11.899513,1190.0
11.999358,1200.0
12.099773,1210.0
12.199793,1220.0
12.298981,1230.0
12.399002,1240.0
12.499006,1250.0
12.599931,1260.0
12.699913,1270.0
12.79754,1280.0
12.899283,1290.0
12.999833,1300.0
13.099932,1310.0
13.198983,1320.0
13.299005,1330.0
13.39882,1340.0
13.499848,1350.0
13.599837,1360.0
13.698951,1370.0
13.799842,1380.0
13.899579,1390.0
13.99953,1400.0
14.099767,1410.0
14.199758,1420.0
14.29998,1430.0
14.399189,1440.0
14.499854,1450.0
14.59984,1460.0
14.699964,1470.0
14.799188,1480.0
14.899685,1490.0
14.99983,1500.0
15.099991,1510.0
15.199387,1520.0
15.299397,1530.0
15.39889,1540.0
15.499954,1550.0
15.59931,1560.0
15.699807,1570.0
15.799415,1580.0
15.899812,1590.0
15.999761,1600.0
16.098799,1610.0
16.199539,1620.0
16.299023,1630.0
16.398621,1640.0
16.498936,1650.0
16.599133,1660.0
16.699621,1670.0
16.799229,1680.0
16.899969,1690.0
16.999048,1700.0
17.099598,1710.0
17.199156,1720.0
17.299782,1730.0
17.399971,1740.0
17.499943,1750.0
17.599882,1760.0
17.699512,1770.0
17.799814,1780.0
17.899792,1790.0
17.99959,1800.0
18.099525,1810.0
18.199499,1820.0
18.29998,1830.0
18.399244,1840.0
18.499491,1850.0
18.599073,1860.0
18.699682,1870.0
18.799444,1880.0
18.899662,1890.0
18.999886,1900.0
19.099232,1910.0
19.199436,1920.0
19.299862,1930.0
19.399187,1940.0
19.49958,1950.0
19.599707,1960.0
19.6992,1970.0
19.799675,1980.0
19.899323,1990.0
19.999361,2000.0
20.099972,2010.0
20.199415,2020.0
20.299009,2030.0
20.3992,2040.0
20.499702,2050.0
20.597898,2060.0
20.699583,2070.0
20.799265,2080.0
20.899862,2090.0
20.999525,2100.0
21.099247,2110.0
21.199913,2120.0
21.298519,2130.0
21.399027,2140.0
21.499609,2150.0
21.598759,2160.0
21.699566,2170.0
21.799194,2180.0
21.899235,2190.0
21.999578,2200.0
22.099861,2210.0
22.19998,2220.0
22.299709,2230.0
22.399822,2240.0
22.499981,2250.0
22.599133,2260.0
22.698994,2270.0
22.799904,2280.0
22.899246,2290.0
22.999866,2300.0
23.099998,2310.0
23.199226,2320.0
23.299555,2330.0
23.399981,2340.0
23.499069,2350.0
23.599543,2360.0
23.69948,2370.0
23.799339,2380.0
23.899267,2390.0
23.998749,2400.0
24.099346,2410.0
24.199825,2420.0
24.299818,2430.0
24.399508,2440.0
24.49976,2450.0
24.599018,2460.0
24.699316,2470.0
24.799152,2480.0
24.899992,2490.0
24.999533,2500.0
24.900137,2510.0
24.800381,2520.0
24.700008,2530.0
24.602095,2540.0
24.500174,2550.0
24.401392,2560.0
24.300352,2570.0
24.20096,2580.0
24.10018,2590.0
24.000154,2600.0
23.900066,2610.0
23.800125,2620.0
23.700024,2630.0
