Time,R,L,RL,Gabg,RGabg,RGabgL,GaGTP,Gbg,RGS,RGSGaGTP,GaGDPP,Effector,GaGTPEffector,inertGaGTP,RGSinertGaGTP,GaGDP,P,z1,z2,z3,ka,Ligand_conc,compartment,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21
0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,60.0,0.0,0.0,205.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,1.5,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42025000.0,0.0,0.0,0.0,0.0,0.0
0.01,202.92926132062,0.0,0.0,202.50325120529726,2.070738679380104,0.0,0.001271126456923933,0.42601011532297395,59.62569703531026,0.37418267382665316,0.0008427520414302177,204.97416015005962,0.025839849940456083,8.375324972516308e-06,0.00012029086315737187,0.023745046868642046,0.003721474975320132,0.00019221553497007678,9.545580720851108e-07,3.5575491381192517e-09,1.5,0.1,1.0,0.0,205.4691759105746,0.0,0.0,0.0,40.50065024105945,37.89590050705689,0.9354566845666329,6.355632284619665e-06,2.605480779525041,0.025839849940456083,0.024969229469176277,3.608725894721156e-05,4.187662486258154e-08,0.8427520414302176,10.115630154859618,0.03721474975320132,0.03875977491068412,0.00028832330245511515,1.4318371081276662e-06,5.3363237071788776e-09
0.02,200.89697636942557,0.0,0.0,200.10286186477163,4.103023630574557,0.0,0.0012632695300216293,0.7941145046541336,59.26259358289322,0.7369089942435,0.001753099665593054,204.94857334936248,0.05142665063772242,1.7062960603291237e-05,0.0004974228633771178,0.002248004752578242,0.015818057561120282,0.0007655261959814392,7.6149789842271056e-06,5.6867946417395125e-08,1.5,0.1,1.0,0.0,201.00029955750728,0.0,0.0,0.0,40.02057237295433,37.432314371662166,1.84227248560875,6.3163476501081465e-06,2.589052879336525,0.05142665063772242,0.050559764977688354,0.00014922685901313533,8.531480301645619e-08,1.753099665593054,1.785173180553809,0.15818057561120283,0.07713997595658363,0.0011482892939721587,1.1422468476340659e-05,8.530191962609269e-08
0.03,198.90879760203524,0.0,0.0,197.73879527761727,6.091202397965039,0.0,0.001255286082003454,1.1700023244179134,58.91274677674993,1.0861263733819133,0.002629658514463781,204.923406684753,0.07659331524721263,2.5709467122095976e-05,0.001126849868264565,0.002245131856195884,0.03526237530397293,0.0017081009909239056,2.5482101718414827e-05,2.855137685792776e-07,1.5,0.1,1.0,0.0,196.65993003972926,0.0,0.0,0.0,39.54775905552346,36.976175540724014,2.715315933454783,6.27643041001727e-06,2.57237500288104,0.07659331524721263,0.0757307663164609,0.00033805496047936945,1.2854733561047988e-07,2.629658514463781,2.626809490373889,0.35262375303972926,0.11488997287081895,0.002562151486385858,3.822315257762224e-05,4.282706528689164e-07
0.04,196.96329845683744,0.0,0.0,195.43065817816264,8.036701543162813,0.0,0.0012473150165651827,1.5326402786747413,58.575724056874066,1.4222722991318453,0.003473503195927305,204.8986562122286,0.10134378777159724,3.430979306361683e-05,0.0020036439941921403,0.0022654197708128097,0.06103875892066284,0.0030082140119462968,5.979890664827399e-05,8.931726752982499e-07,1.5,0.1,1.0,0.0,192.46333527180815,0.0,0.0,0.0,39.08613163563253,36.53119011115873,3.555680747829613,6.236575082825914e-06,2.5557317076753963,0.10134378777159724,0.10048604854714356,0.0006010931982576421,1.7154896531808417e-07,3.473503195927305,3.4720735888538132,0.6103875892066284,0.15201568165739585,0.004512321017919445,8.969835997241098e-05,1.3397590129473748e-06
0.05,195.05907244937262,0.0,0.0,193.17664489927762,9.940927550627649,0.0,0.0012393582735058062,1.8824275500949361,58.251099218870884,1.7457778454255812,0.004285713497860266,204.87431742611201,0.12568257388820397,4.285931057412646e-05,0.0031229357036363804,0.0022762639948375684,0.09223856794645097,0.004654379549823535,0.00011555752946291683,2.1566668108721446e-06,1.5,0.1,1.0,0.0,188.40428586467462,0.0,0.0,0.0,38.63532897985553,36.09699087885761,4.364444613563953,6.196791367529031e-06,2.539126803309067,0.12568257388820397,0.12483009763529213,0.0009368807110909141,2.142965528706323e-07,4.285713497860266,4.284902055171396,0.9223856794645097,0.18852386083230596,0.006981569324735303,0.00017333629419437525,3.235000216308217e-06
0.06,193.19477406983938,0.0,0.0,190.97498745158546,11.805225930160924,0.0,0.0012314176322291072,2.21978661825378,57.93846023958413,2.0570598456246767,0.005067333569452368,204.85038583076894,0.1496141692312974,5.135358757934541e-05,0.004479914791286524,0.00228258381652134,0.12804973554929916,0.006635349904519394,0.00019750656145197916,4.421195069757029e-06,1.5,0.1,1.0,0.0,184.47684776849732,0.0,0.0,0.0,38.19499749031709,35.67322076161449,5.142649614061692,6.157088161145536e-06,2.5225637708094455,0.1496141692312974,0.14876738960629526,0.001343974437385957,2.5676793789672707e-07,5.0673335694523685,5.066849010956713,1.2804973554929915,0.22442125384694608,0.00995302485677909,0.00029625984217796874,6.631792604635543e-06
0.07,191.36911555258916,0.0,0.0,188.82399225020097,13.630884447411086,0.0,0.0012234948889147798,2.545123302388127,57.63740878003258,2.356521389863899,0.005819373095864565,204.82685694043948,0.17314305956076426,5.978838888053766e-05,0.006069830103616263,0.0022863664854496477,0.1677472375340212,0.008940111687701936,0.0003101581967274713,8.09573919362593e-06,1.5,0.1,1.0,0.0,180.67540196014954,0.0,0.0,0.0,37.764798450040196,35.25953752633085,5.891303474659747,6.117474444573899e-06,2.506046125791065,0.17314305956076426,0.17230239051035517,0.001820949031084879,2.989419444026883e-07,5.819373095864565,5.819084619917143,1.677472375340212,0.2597145893411464,0.013410167531552903,0.0004652372950912069,1.2143608790438897e-05
0.08,189.5808638374758,0.0,0.0,186.72203468636252,15.419136162524513,0.0,0.0012155918375472152,2.858829151113121,57.347559705610294,2.644552305125475,0.0065428085041083035,204.80372627901687,0.196273720983356,6.815967679057899e-05,0.007887989264329829,0.002288575720775298,0.21068449243361176,0.01155788219145436,0.0004577952090193748,1.3648649525262484e-05,1.5,0.1,1.0,0.0,176.9946231666586,0.0,0.0,0.0,37.3444069372725,34.855612740695726,6.611380762813688,6.077959187736076e-06,2.48957737964027,0.196273720983356,0.19543955671314145,0.0023663967792989485,3.4079838395289496e-07,6.5428085041083035,6.542646985082145,2.1068449243361176,0.29441058147503396,0.01733682328718154,0.0006866928135290623,2.0472974287893726e-05
0.09,187.82883772291964,0.0,0.0,184.66755523289433,17.171162277080704,0.0,0.001207710259849092,3.1612824900251613,57.068540625873354,2.9215296157253303,0.007238584119010452,204.78098938010376,0.21901061989646128,7.646361112710631e-05,0.009929758401411998,0.0022897380112322924,0.25628557638184213,0.014478105805122625,0.0006444777841184342,2.1603391012290607e-05,1.5,0.1,1.0,0.0,173.42946132263805,0.0,0.0,0.0,36.933511046578865,34.46113101424098,7.303824039313326,6.03855129924546e-06,2.4731610189639928,0.21901061989646128,0.2181833349004124,0.0029789275204235993,3.8231805563553156e-07,7.238584119010452,7.238508681653681,2.5628557638184213,0.3285159298446919,0.021717158707683936,0.0009667166761776513,3.240508651843591e-05
