_1_task1,mRNA_1_task1
0.0,1.01603
1.0,1.0160301342124534
2.0,1.0160325055833452
3.0,1.0160420736096982
4.0,1.0160644735370574
5.0,1.0161050882466909
6.0,1.0161690459531854
7.0,1.0162613852519928
8.0,1.0163871887600098
9.0,1.0165516663708323
10.0,1.0167602028968798
11.0,1.017021359806671
12.0,1.0174072915634225
13.0,1.0181862632263778
14.0,1.0199134242762988
15.0,1.0234837518623527
16.0,1.0300683254606744
17.0,1.0408929156607252
18.0,1.0569875076516484
19.0,1.0790521716918449
20.0,1.1074565513484034
21.0,1.1423097246579856
22.0,1.1835421501020391
23.0,1.2309729625030101
24.0,1.284357210266486
25.0,1.3434163275690083
26.0,1.4078565460666246
27.0,1.477379790067404
28.0,1.5516900112782892
29.0,1.6304966112497787
30.0,1.7135162935888126
31.0,1.8004740911320896
32.0,1.8911037532621067
33.0,1.9851479277776136
34.0,2.082356994243751
35.0,2.182495044251524
36.0,2.2853285243510775
37.0,2.390632648788541
38.0,2.498194923799117
39.0,2.6078087220037296
40.0,2.719274210921873
41.0,2.832403805652428
42.0,2.947008158642782
43.0,3.062920903658771
44.0,3.179964558296438
45.0,3.2979820927593617
46.0,3.4168125812224885
47.0,3.5363088966300618
48.0,3.656327848939256
49.0,3.7767367719307456
50.0,3.8974002149986533
51.0,4.018194894244258
52.0,4.139001483539633
53.0,4.259706078369864
54.0,4.380201822485286
55.0,4.50038413227543
56.0,4.620153874506849
57.0,4.739418048421028
58.0,4.858087958721306
59.0,4.976080762814903
60.0,5.093314820875158
61.0,5.209715135506524
62.0,5.325210198104211
63.0,5.439732467994203
64.0,5.553218194097183
65.0,5.665608008517577
66.0,5.776846589868921
67.0,5.886880564068265
68.0,5.995660681666933
69.0,6.103140910155212
70.0,6.209278296967467
71.0,6.314032991315787
72.0,6.417368071287447
73.0,6.519249432225599
74.0,6.619645698911393
75.0,6.718528113158205
76.0,6.815870441279694
77.0,6.911648885933089
78.0,7.00584199139619
79.0,7.0984305535952625
80.0,7.189397537569887
81.0,7.2787279921740895
82.0,7.3664089680141505
83.0,7.452429441019546
84.0,7.5367802355712845
