Time,mRNA,Hsp70,HSF,S,Hsp70_HSF,Hsp70_S,HSF_3,HSE,HSF_3_HSE,k_1,l_1,k_2,l_2,k_3,l_3,k_4,k_6,l_6,k_10,l_10,k_8,k_7,l_7,Temperature,V_den,F_T,F_T_Scale,compartment,Hsp70_Substrate_Association,Hsp70_Substrate_Dissociation,Hsp70_S_Association,Hsp70_S_Dissociation,Trimer_Formation,Trimer_Dissociation,Hsp70_Synthesis,Hsp70_S_Substrate_Refolding,Hsp70_Degradation,Hsp70_S_Formation,Hsp70_S_Substrate_Dissociation,HSF_HSE_Association,HSF_HSE_Dissociation,mRNA_Transcription,Protein_Denaturation
0.0,1.01603,2.73546,0.332019,3.09e-17,76.4593,1.74782e-14,0.0535203,18.984,1.01603,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,37.0,0.018,0.09899999999999999,5.5,1.0,0.38145437137079996,0.3822965,3.5500799879999997e-17,8.7391e-17,0.0008418149759339458,0.0008418151790684998,0.035561050000000004,2.446948e-16,0.03556098,5.4339624509999997e-17,2.0891140148880005e-18,0.035561028132,0.035561050000000004,0.035561050000000004,0.09899999999999999
1.0,1.0160301342124534,2.6976924689924076,0.3600315369383854,0.03236091959381196,76.43097848403207,0.06626991432839345,0.0536062396257937,18.98398294661595,1.016047053384052,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,37.0,0.018,0.09899999999999999,5.5,1.0,0.40792683363534654,0.3821548924201603,0.03666591981271605,0.00033134957164196726,0.0010733700406238686,0.0008315256063446598,0.03556105469743587,0.0009277788005975083,0.035070002096901295,0.056887665231557076,8.589333279033584e-06,0.03561809786108966,0.03556164686844182,0.03556164686844182,0.09899999999999999
2.0,1.0160325055833452,2.6275217653212906,0.38299573530450476,0.03460138420828351,76.40691305027131,0.16143900984564657,0.0538442088500594,18.98385383737534,1.0161761626246566,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,37.0,0.018,0.09899999999999999,5.5,1.0,0.42265844482588355,0.3820345652513566,0.03818467384935391,0.0008071950492282328,0.001292140236190335,0.0008134917764677089,0.035561137695417085,0.002260146137839052,0.034157782949176776,0.06080705395629102,2.2258962821759254e-05,0.03577597067795238,0.03556616569186299,0.03556616569186299,0.09899999999999999
3.0,1.0160420736096982,2.5512745046635144,0.3985454889025745,0.035259484422734466,76.38964562674805,0.25685156951335936,0.05412060500735703,18.98355767689091,1.016472323109095,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,37.0,0.018,0.09899999999999999,5.5,1.0,0.42705555681003343,0.38194822813374024,0.03778178193522716,0.0012842578475667967,0.0014560005173394712,0.0007939399884603484,0.03556147257633944,0.003595921973187031,0.033166568560625685,0.06194956896079417,3.685213236495435e-05,0.03595905693328876,0.035576531308818334,0.035576531308818334,0.09899999999999999
4.0,1.0160644735370574,2.475694909080544,0.4119942292143101,0.035841792523488326,76.37395271297041,0.3510126839593913,0.0544011770180524,18.983090191079643,1.016939808920368,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,37.0,0.018,0.09899999999999999,5.5,1.0,0.4283882466513007,0.381869763564852,0.03726800417874288,0.0017550634197969564,0.00160842655556572,0.0007744141227015955,0.03556225657379701,0.004914177575431478,0.03218403381804707,0.06295972544875086,5.206147206202644e-05,0.03614458574421023,0.03559289331221289,0.03559289331221289,0.09899999999999999
5.0,1.0161050882466909,2.402496558612979,0.42502989075422265,0.036419751210307785,76.35815229013905,0.44386904011452544,0.05468764507453904,18.982455072038977,1.0175749279610289,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,37.0,0.018,0.09899999999999999,5.5,1.0,0.4288757969347615,0.38179076145069524,0.03674929731828824,0.0022193452005726273,0.0017659819334074674,0.0007554745547688115,0.035563678088634185,0.006214166561603356,0.031232455261968727,0.06396173291357013,6.791673946646104e-05,0.03633370179680679,0.03561512247863601,0.03561512247863601,0.09899999999999999
6.0,1.0161690459531854,2.332101027989557,0.4381028492389879,0.03699365030539251,76.34177131228012,0.5354384979473332,0.05498738514395672,18.981652138983677,1.0183778610163294,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,37.0,0.018,0.09899999999999999,5.5,1.0,0.4291140441316669,0.3817088565614006,0.03623463056064267,0.0026771924897366663,0.0019339982153612132,0.0007373577901689051,0.03556591660836149,0.007496138971262665,0.03031731336386424,0.06495569820727694,8.444776735546945e-05,0.03653129958922169,0.035643225135571534,0.035643225135571534,0.09899999999999999
7.0,1.0162613852519928,2.26459104712472,0.451319444441082,0.037561998111381514,76.32467143794821,0.6257404292581795,0.05530642318717446,18.9806767506503,1.019353249349713,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,37.0,0.018,0.09899999999999999,5.5,1.0,0.42926266877532226,0.38162335718974105,0.03572627714676309,0.0031287021462908975,0.002114365046274826,0.0007201669770894563,0.03556914848381975,0.008760366009614513,0.029439683612621358,0.06593886478129259,0.00010166717624296528,0.036741366926265014,0.03567736372723996,0.03567736372723996,0.09899999999999999
8.0,1.0163871887600098,2.1999576037915873,0.4646900740582508,0.03812383442747398,76.30680668464052,0.7147934086004482,0.055648869011563074,18.97952115524451,1.0205088447555044,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,37.0,0.018,0.09899999999999999,5.5,1.0,0.4293653539689884,0.38153403342320263,0.03522574416245341,0.003573967043002241,0.0023079055083746794,0.0007039446270152437,0.03557355160660035,0.010007107720406274,0.028599448849290634,0.06690948546589351,0.00011957666471240104,0.03696661103346372,0.03571780956644266,0.03571780956644266,0.09899999999999999
9.0,1.0165516663708323,2.13816609339344,0.47819686551334245,0.038678399132595465,76.28815761460163,0.80261555460076,0.0560174926235971,18.97817568599527,1.0218543140047422,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,37.0,0.018,0.09899999999999999,5.5,1.0,0.4294350159992137,0.3814407880730082,0.03473435346026262,0.0040130777730038,0.002515058037203463,0.0006887045443469816,0.035579308322979133,0.01123661776441064,0.02779615921411472,0.06786618761408202,0.0001381709672720411,0.037208843577484954,0.03576490099016598,0.03576490099016598,0.09899999999999999
10.0,1.0167602028968798,2.079173833402777,0.4918118571608804,0.039225029287464956,76.26871390998676,0.8892246429197144,0.056414233126044065,18.97662952217525,1.0234004778247519,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,37.0,0.018,0.09899999999999999,5.5,1.0,0.4294761846337732,0.3813435695499338,0.03425337489376097,0.004446123214598572,0.0027360549855624944,0.000674446234746141,0.0355866071013908,0.012449145000876,0.0270292598342361,0.06880777834723988,0.00015743924030432358,0.03746932006336977,0.035819016723866316,0.035819016723866316,0.09899999999999999
11.0,1.017021359806671,1.7985536590663151,0.7691659942016831,0.3258691429298589,75.9767733253575,1.4718019423295274,0.05911358118463815,18.97446672103768,1.0255632789623101,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,42.0,0.16091234044717959,0.8850178724594877,5.5,1.0,0.5810222515863432,0.3798838666267875,0.24615911854518674,0.007359009711647637,0.010466176681451974,0.0006113339495058315,0.035595747593233494,0.020605227192613384,0.023381197567862097,0.5694451781405395,0.0004075416015263493,0.039257703763224655,0.035894714763680856,0.035894714763680856,0.8850178724594877
12.0,1.0174072915634225,1.3768935352780625,1.0889807744632864,0.37249037197242857,75.60126275177433,2.283939451332276,0.07108167548523363,18.967869550897753,1.0321604491022347,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,42.0,0.16091234044717959,0.8850178724594877,5.5,1.0,0.6297524471282506,0.37800631375887167,0.21540942575130623,0.011419697256661381,0.029702190117000534,0.0005627634218510201,0.03560925520471979,0.03197515231865187,0.01789961595861481,0.6476970771318558,0.0008953798149140674,0.047189378182210535,0.03612561571857822,0.03612561571857822,0.8850178724594877
13.0,1.0181862632263778,1.0156975539504673,1.3908784493487714,0.40446291634265946,75.16728110466558,3.0992930962265466,0.09671487434713728,18.949474759018567,1.0505552409814165,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,42.0,0.16091234044717959,0.8850178724594877,5.5,1.0,0.5933389723153057,0.37583640552332787,0.1725410378130229,0.015496465481132734,0.06188642141385987,0.0005648401025038313,0.035636519212923226,0.04339010334717165,0.013204068201356075,0.6992546877702549,0.0015518663912724954,0.06414436245919557,0.03676943343434958,0.03676943343434958,0.8850178724594877
14.0,1.0199134242762988,0.7617207550943297,1.6710173350656952,0.43265287052567547,74.63771061609081,3.907068560176576,0.13988739465315342,18.90950341170531,1.0905265882946789,0.42,0.005,0.42,0.005,0.023,0.00575,0.035,0.023,0.00036,0.014,0.013,0.035,0.035,0.035,42.0,0.16091234044717959,0.8850178724594877,5.5,1.0,0.5345964062216214,0.37318855308045407,0.13841548191682965,0.01953534280088288,0.10731753824164883,0.0006126920083294265,0.03569696984967046,0.05469895984247206,0.009902369816226286,0.7427210541928765,0.002350360545604281,0.09258204082569302,0.038168430590313766,0.038168430590313766,0.8850178724594877
