data_set_value_component_environment_variable_time,data_set_value_component_Cdk2_CycE_variable_Cdk2_CycE,data_set_value_component_PCdk2_CycE_variable_PCdk2_CycE,data_set_value_component_Wee1_a_variable_Wee1_a,data_set_value_component_Wee1_a_variable_Jwact,data_set_value_component_Wee1_a_variable_Jwinact,data_set_value_component_Wee1_a_variable_Wee1_total,data_set_value_component_Wee1_a_variable_kwact,data_set_value_component_Wee1_a_variable_kwinact,data_set_value_component_Kin_a_variable_Kin_a,data_set_value_component_Kin_a_variable_Jiact,data_set_value_component_Kin_a_variable_Jiinact,data_set_value_component_Kin_a_variable_kiact,data_set_value_component_Kin_a_variable_kiinact,data_set_value_component_Cdk2_CycErem_variable_Cdk2_CycErem,data_set_value_component_PCdk2_CycErem_variable_PCdk2_CycErem,data_set_value_component_Deg_a_variable_Deg_a,data_set_value_component_Deg_a_variable_Heav,data_set_value_component_Deg_a_variable_kdact,data_set_value_component_Deg_a_variable_theta,data_set_value_component_Deg_a_variable_x,data_set_value_component_Xic_variable_Xic,data_set_value_component_Xic_Cdk2_CycE_variable_Xic_Cdk2_CycE,data_set_value_component_Xic_PCdk2_CycE_variable_Xic_PCdk2_CycE,data_set_value_component_Xic_Cdk2_CycErem_variable_Xic_Cdk2_CycErem,data_set_value_component_Xic_PCdk2_CycErem_variable_Xic_PCdk2_CycErem,data_set_value_component_Xicrem_variable_Xicrem,data_set_value_component_Cyc_total_variable_Cyc_total,data_set_value_component_Xic_total_variable_Xic_total,data_set_value_component_kinetic_parameters_variable_kwee,data_set_value_component_kinetic_parameters_variable_k25A,data_set_value_component_kinetic_parameters_variable_kon,data_set_value_component_kinetic_parameters_variable_koff,data_set_value_component_kinetic_parameters_variable_kassoc,data_set_value_component_kinetic_parameters_variable_kdissoc,data_set_value_component_kinetic_parameters_variable_kedeg,data_set_value_component_kinetic_parameters_variable_kxdeg,data_set_value_component_kinetic_parameters_variable_phi,data_set_value_component_kinetic_parameters_variable_Deg,data_set_value_component_kinetic_parameters_variable_epsilon,data_set_value_component_kinetic_parameters_variable_pool,data_set_value_component_kinetic_parameters_variable_n,data_set_value_component_kinetic_parameters_variable_L
0.0,0.06,0.94,1.02,0.01,0.01,8.0,0.75,1.5,0.6,0.01,0.01,0.15,0.6,0.0,0.0,0.0,0.0,0.023,0.3,-0.3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,0.1,0.02,0.0001,0.1,0.001,0.017,0.01,0.03906249999999999,0.0,0.001,0.0,4.0,0.4
0.1,0.05848919034983852,0.9120249623484898,1.0049469351041185,0.01,0.01,8.0,0.75,1.5,0.6111327838823583,0.01,0.01,0.15,0.6,4.559236959403364e-06,7.126817164910302e-05,0.0,0.0,0.023,0.3,-0.2999954407630406,2.9705899796694513,0.0017723759381233055,0.02763534981755638,1.3794092095987312e-07,2.155843820994177e-06,0.0,0.9999999996473585,0.9999999997366241,1.5,0.1,0.02,0.0001,0.1,0.001,0.017,0.01,0.039062500000001395,0.0,0.001,7.812119335046043e-05,4.0,0.4
0.2,0.0571198590094777,0.8850524180768804,0.9882493419422352,0.01,0.01,8.0,0.75,1.5,0.6223389925166323,0.01,0.01,0.15,0.6,8.875763274434458e-06,0.00013835896714158464,0.0,0.0,0.023,0.3,-0.2999911242367256,2.9423195071524617,0.003496522480500157,0.054174964247032255,5.426098306026427e-07,8.457475267083762e-06,0.0,0.9999999986294043,0.9999999979883639,1.5,0.1,0.02,0.0001,0.1,0.001,0.017,0.01,0.03906250000002236,0.0,0.001,0.0001562348155137055,4.0,0.4
0.30000000000000004,0.05588335083943624,0.8590319196047348,0.96989956614765,0.01,0.01,8.0,0.75,1.5,0.6336100169074561,0.01,0.01,0.15,0.6,1.2969588136127237e-05,0.00020150869601362736,0.0,0.0,0.023,0.3,-0.29998703041186386,2.915129730299477,0.005182810810270087,0.07966757477903595,1.2012676061174492e-06,1.8662746134601415e-05,0.0,0.9999999983313675,0.9999999933008414,1.5,0.1,0.02,0.0001,0.1,0.001,0.017,0.01,0.0390625000001132,0.0,0.001,0.00023434229789047348,4.0,0.4
0.4,0.05477209222736085,0.8339147031512025,0.9498914594138039,0.01,0.01,8.0,0.75,1.5,0.6449374746558525,0.01,0.01,0.15,0.6,1.6859618936034368e-05,0.00026094147969361127,0.0,0.0,0.023,0.3,-0.29998314038106394,2.8889645502824077,0.00684134813173657,0.10415941159080995,2.1025993694071363e-06,3.2540308716439846e-05,0.0,0.9999999991078254,0.9999999843043466,1.5,0.1,0.02,0.0001,0.1,0.001,0.017,0.01,0.039062500000357714,0.0,0.001,0.00031244400671549263,4.0,0.4
0.5,0.05377970381946109,0.8096549355059633,0.9282204681372218,0.01,0.01,8.0,0.75,1.5,0.6563133848145687,0.01,0.01,0.15,0.6,2.05632742552279e-05,0.00031686421517743504,0.0,0.0,0.023,0.3,-0.2999794367257448,2.863771975376903,0.008481814365423451,0.1276930073395359,3.2369337442992698e-06,4.987519858249723e-05,0.0,1.0000000006521432,0.999999969738063,1.5,0.1,0.02,0.0001,0.1,0.001,0.017,0.01,0.0390625000008732,0.0,0.001,0.0003905396217594594,4.0,0.4
0.6000000000000001,0.052900931753140944,0.7862093335131531,0.9048837208287127,0.01,0.01,8.0,0.75,1.5,0.6677300564131889,0.01,0.01,0.15,0.6,2.409668688943163e-05,0.0003694681701505684,0.0,0.0,0.023,0.3,-0.2999759033131106,2.839503673633655,0.010113651536636506,0.15030745704542078,4.5961736712214255e-06,7.04669269055815e-05,0.0,1.0000000018059683,0.9999999484387632,1.5,0.1,0.02,0.0001,0.1,0.001,0.017,0.01,0.039062500001810364,0.0,0.001,0.000468627957616803,4.0,0.4
0.7000000000000001,0.05213151525841328,0.7635367820523343,0.879880026996821,0.01,0.01,8.0,0.75,1.5,0.6791799850261558,0.01,0.01,0.15,0.6,2.7474935200213987e-05,0.0004189330344389487,0.0,0.0,0.023,0.3,-0.29997252506479977,2.816114460561218,0.011746239775833521,0.17203875647658,6.173647508795724e-06,9.412739084217427e-05,0.0,1.0000000025711513,0.9999999192839941,1.5,0.1,0.02,0.0001,0.1,0.001,0.017,0.01,0.03906250000335335,0.0,0.001,0.0005467090079901327,4.0,0.4
0.8,0.05146807339414016,0.7415980313115396,0.8532098511841689,0.01,0.01,8.0,0.75,1.5,0.6906557794612402,0.01,0.01,0.15,0.6,3.071223073988195e-05,0.00046542757446932245,0.0,0.0,0.023,0.3,-0.29996928776926013,2.7935618849632844,0.013389029456897327,0.19292008601735539,7.96397039222832e-06,0.00012067921059052068,0.0,1.0000000031661245,0.9999998812061732,1.5,0.1,0.02,0.0001,0.1,0.001,0.017,0.01,0.03906250000571968,0.0,0.001,0.0006247829861919533,4.0,0.4
0.9,0.05090807299434987,0.7203555417417141,0.8248754344778134,0.01,0.01,8.0,0.75,1.5,0.7021501034066817,0.01,0.01,0.15,0.6,3.3822017095075046e-05,0.0005091105361665545,0.0,0.0,0.023,0.3,-0.2999661779829049,2.7718060426108884,0.015051687031579263,0.21298185189192734,9.963015641895219e-06,0.00014995496168657244,0.0,1.0000000041901607,0.9999998331705744,1.5,0.1,0.02,0.0001,0.1,0.001,0.017,0.01,0.039062500009160235,0.0,0.001,0.0007028505305900971,4.0,0.4
1.0,0.0504498977069877,0.6997734860554117,0.7948811147691609,0.01,0.01,8.0,0.75,1.5,0.7136556202321797,0.01,0.01,0.15,0.6,3.681700615057647e-05,0.0005501294171176839,0.0,0.0,0.023,0.3,-0.2999631829938494,2.7508096470395524,0.01674422143585064,0.23225148879596766,1.2168018668358537e-05,0.00018179737330468323,0.0,1.000000005809459,0.9999997742211144,1.5,0.1,0.02,0.0001,0.1,0.001,0.017,0.01,0.03906250001395928,0.0,0.001,0.0007809118152413021,4.0,0.4
