Time,Z,Y,v0,v1,beta,Vm2,n,K2,Vm3,m,Kr,Ka,kf,k,p,cytosol,store,R0,R1,R2,R3,Rf,R_eff
0.0,0.15,1.6,1.0,7.3,0.301,65.0,2.0,1.0,500.0,2.0,2.0,0.9,1.0,10.0,4.0,1.0,1.0,1.0,2.1973,1.430317848410758,0.1504409801229855,1.6,1.5
0.01,0.16785416955155286,1.5981889576576274,1.0,7.3,0.301,65.0,2.0,1.0,500.0,2.0,2.0,0.9,1.0,10.0,4.0,1.0,1.0,1.0,2.1973,1.781191339726609,0.23547206402797144,1.5981889576576274,1.6785416955155286
0.02,0.1817537304726256,1.598753079457349,1.0,7.3,0.301,65.0,2.0,1.0,500.0,2.0,2.0,0.9,1.0,10.0,4.0,1.0,1.0,1.0,2.1973,2.0785727625414046,0.3236939914790266,1.598753079457349,1.817537304726256
0.03,0.19259473635353466,1.6011455920300683,1.0,7.3,0.301,65.0,2.0,1.0,500.0,2.0,2.0,0.9,1.0,10.0,4.0,1.0,1.0,1.0,2.1973,2.3247946255258376,0.40867957659190496,1.6011455920300683,1.9259473635353466
0.04,0.20109075345551647,1.60492136652449,1.0,7.3,0.301,65.0,2.0,1.0,500.0,2.0,2.0,0.9,1.0,10.0,4.0,1.0,1.0,1.0,2.1973,2.5262804787072146,0.48690929288103324,1.60492136652449,2.0109075345551646
0.05,0.2077940145379473,1.6097339281341745,1.0,7.3,0.301,65.0,2.0,1.0,500.0,2.0,2.0,0.9,1.0,10.0,4.0,1.0,1.0,1.0,2.1973,2.6904248006972695,0.5569812989918826,1.6097339281341745,2.077940145379473
0.06,0.2131257471499824,1.6153192832104573,1.0,7.3,0.301,65.0,2.0,1.0,500.0,2.0,2.0,0.9,1.0,10.0,4.0,1.0,1.0,1.0,2.1973,2.824186134195893,0.6187913473463161,1.6153192832104573,2.131257471499824
0.07,0.2174058973887916,1.621477931250636,1.0,7.3,0.301,65.0,2.0,1.0,500.0,2.0,2.0,0.9,1.0,10.0,4.0,1.0,1.0,1.0,2.1973,2.9335890372886735,0.6729310502706778,1.621477931250636,2.174058973887916
0.08,0.22087711686394715,1.6280596214036442,1.0,7.3,0.301,65.0,2.0,1.0,500.0,2.0,2.0,0.9,1.0,10.0,4.0,1.0,1.0,1.0,2.1973,3.023622960453475,0.7202967105837959,1.6280596214036442,2.2087711686394713
0.09,0.22372442849325516,1.6349506668036833,1.0,7.3,0.301,65.0,2.0,1.0,500.0,2.0,2.0,0.9,1.0,10.0,4.0,1.0,1.0,1.0,2.1973,3.0983402470789176,0.7618728049014116,1.6349506668036833,2.237244284932552
