data_set_value_component_environment_variable_time,data_set_value_component_R_variable_R,data_set_value_component_R_variable_h,data_set_value_component_R_variable_c,data_set_value_component_R_variable_b1,data_set_value_component_R_variable_H,data_set_value_component_R_variable_x,data_set_value_component_L_variable_L,data_set_value_component_L_variable_g1,data_set_value_component_L_variable_b2,data_set_value_component_T_variable_T,data_set_value_component_T_variable_g2,data_set_value_component_T_variable_b3
0.0,0.5,12.0,100.0,1.29,1.0,6.666666666666666,22.0,10.0,0.97,15.0,0.7,1.39
0.1,0.439486688593232,12.0,100.0,1.29,1.0,6.104280570051278,20.412828587354724,10.0,0.97,14.437613903384612,0.7,1.39
0.2,0.3862977205031192,12.0,100.0,1.29,1.0,5.514248174497219,18.91832806296643,10.0,0.97,13.847581507830553,0.7,1.39
0.30000000000000004,0.33954598614989934,12.0,100.0,1.29,1.0,4.906159221022383,17.51447733227879,10.0,0.97,13.239492554355717,0.7,1.39
0.4,0.2984520626527173,12.0,100.0,1.29,1.0,4.288200874784071,16.19864807267355,10.0,0.97,12.621534208117405,0.7,1.39
0.5,0.26233156764738824,12.0,100.0,1.29,1.0,3.6673006636583807,14.967754649837984,10.0,0.97,12.000633996991715,0.7,1.39
0.6000000000000001,0.23058252048736477,12.0,100.0,1.29,1.0,3.049279482194329,13.818388199446476,10.0,0.97,11.382612815527663,0.7,1.39
0.7000000000000001,0.20267574696878332,12.0,100.0,1.29,1.0,2.4389728152144574,12.746917650396176,10.0,0.97,10.772306148547791,0.7,1.39
0.8,0.1781466166414457,12.0,100.0,1.29,1.0,1.8403396987068756,11.74957013120083,10.0,0.97,10.17367303204021,0.7,1.39
0.9,0.15658630007592603,12.0,100.0,1.29,1.0,1.2565818916904288,10.822510800187196,10.0,0.97,9.589915225023763,0.7,1.39
1.0,0.13763528972864567,12.0,100.0,1.29,1.0,0.6902365327673792,9.961895682216895,10.0,0.97,9.023569866100713,0.7,1.39
