Time,srci,srco,srca,srcc,Cbp_P_CSK,CSK_cytoplasm,PTP,PTP_pY789,Cbp,Cbp_P,k1,k2,k3,k4,kPTP,kCbp,p1,p2,p3,src_background,PTP_background,kCSKon,kCSKoff,rho_srca,rho_srco,rho_srcc,Kser,acsk0,ptp_activity,src_activity,default,v1,v2,v3,v4,CSK_translocation,PTP_phosphorylation,Cbp_phosphorylation
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.8,1.0,10.0,1.0,1.0,0.05,0.15,0.035,0.0001,0.0,0.1,0.01,1.0,0.0,1.0,1.0,0.0,0.0,0.0001,1.0,0.0,0.0,0.0,0.0,0.0,0.035100000000000006,0.0001
0.01,0.9999985968771123,1.4031224140253677e-06,4.737089528107216e-13,4.315609798864459e-25,4.998145045250859e-10,0.9999999995001861,0.9996493246477911,0.00035067535220886136,0.999999000000499,9.99499686722182e-07,1.0,0.8,1.0,10.0,1.0,1.0,0.05,0.15,0.035,0.0001,0.0,0.1,0.01,1.0,0.0,1.0,1.0,0.0,0.00035067535220886136,0.00010000000047370895,1.0,0.00028053988813389754,1.4028855661956788e-10,2.367664844679492e-22,2.1578048994322293e-25,9.994497047721659e-08,0.03503508999277968,9.999990047375839e-05
0.02,0.9999943909468507,5.609049405535124e-06,3.743764352653321e-12,2.9773544098044264e-23,1.9985314499961985e-09,0.9999999980014692,0.9992992977983981,0.0007007022016017134,0.9999980000019809,1.9979994878825377e-06,1.0,0.8,1.0,10.0,1.0,1.0,0.05,0.15,0.035,0.0001,0.0,0.1,0.01,1.0,0.0,1.0,1.0,0.0,0.0007007022016017134,0.00010000000374376436,1.0,0.0005605586170494484,5.60717773334839e-10,7.482014110242e-21,1.4886772049022132e-23,1.9977996307444748e-07,0.03497030002622466,9.999980374395497e-05
0.03,0.9999873874221912,1.2612565205201839e-05,1.260367958782896e-11,3.5548343855317493e-22,4.495053585822768e-09,0.9999999955049471,0.9989499182545731,0.0010500817454266224,0.9999970000044,2.9955005466905953e-06,1.0,0.8,1.0,10.0,1.0,1.0,0.05,0.15,0.035,0.0001,0.0,0.1,0.01,1.0,0.0,1.0,1.0,0.0,0.0010500817454266224,0.00010000001260367959,1.0,0.0008400548008944279,1.2606264955055232e-09,5.66539164964961e-20,1.7774171927658746e-22,2.99505102786708e-07,0.03490562988151197,9.999971260408177e-05
0.04,0.9999775915432929,2.2408426857243484e-05,2.985005366218503e-11,1.814867563376665e-21,7.988281095931061e-09,0.9999999920117195,0.99860118481704,0.0013988151829598828,0.9999960000076881,3.992004031090588e-06,1.0,0.8,1.0,10.0,1.0,1.0,0.05,0.15,0.035,0.0001,0.0,0.1,0.01,1.0,0.0,1.0,1.0,0.0,0.0013988151829598828,0.00010000002985005367,1.0,0.0011190270699573265,2.2393508519339834e-09,2.384485884507183e-19,9.074337816883324e-22,3.9912051710917467e-07,0.03484107933944242,9.999962985070308e-05
0.05,0.9999650085795075,3.4991362209305e-05,5.828328540018932e-11,6.472098162083316e-21,1.2477111551605506e-08,0.9999999875228892,0.998253096284368,0.0017469037156319436,0.9999950000117527,4.987511136085832e-06,1.0,0.8,1.0,10.0,1.0,1.0,0.05,0.15,0.035,0.0001,0.0,0.1,0.01,1.0,0.0,1.0,1.0,0.0,0.0017469037156319436,0.0001000000582832854,1.0,0.001397474070754985,3.496224096072041e-09,7.271980086263609e-19,3.236049081041658e-21,4.986263362700943e-07,0.034776648180418,9.999955828416925e-05
0.06,0.9999496437935683,5.035610574788891e-05,1.0068377414086193e-10,1.8668158688865347e-20,1.7960448829711816e-08,0.9999999820395518,0.9979056514628604,0.0020943485371394824,0.9999940000164692,5.982023082325213e-06,1.0,0.8,1.0,10.0,1.0,1.0,0.05,0.15,0.035,0.0001,0.0,0.1,0.01,1.0,0.0,1.0,1.0,0.0,0.0020943485371394824,0.00010000010068377416,1.0,0.001675394458049347,5.030581456124627e-09,1.8082944953345397e-18,9.334079344432673e-21,5.980226930002427e-07,0.03471233618624839,9.999950068481699e-05
0.07,0.9999315024533704,6.84973868126607e-05,1.598169183526984e-10,4.7662079513638914e-20,2.44372010722039e-08,0.9999999755627996,0.9975588491643872,0.0024411508356126516,0.9999930000216775,6.9755411217743964e-06,1.0,0.8,1.0,10.0,1.0,1.0,0.05,0.15,0.035,0.0001,0.0,0.1,0.01,1.0,0.0,1.0,1.0,0.0,0.0024411508356126516,0.00010000015981691841,1.0,0.001952786896541683,6.8417587823897146e-09,3.9053850882646996e-18,2.3831039756819457e-20,6.973097231204481e-07,0.03464814313975488,9.999945981796744e-05
0.08,0.9999105898915472,8.9409870010005e-05,2.3844251031519094e-10,1.241676443754596e-19,3.190627511224505e-08,0.9999999680937256,0.9972126882012584,0.0027873117987414773,0.9999920000271351,7.968066590116034e-06,1.0,0.8,1.0,10.0,1.0,1.0,0.05,0.15,0.035,0.0001,0.0,0.1,0.01,1.0,0.0,1.0,1.0,0.0,0.0027873117987414773,0.00010000023844251044,1.0,0.0022296500650602724,8.929086194598603e-09,7.607535457418659e-18,6.20838221877298e-20,7.964875708373491e-07,0.03458406882383085,9.99994384433164e-05
0.09,0.9998869113703004,0.00011308829038434278,3.3931492275158977e-10,2.5825218606534854e-19,4.036658266746611e-08,0.999999959633418,0.9968671673896777,0.003132832610322118,0.9999910000326662,8.95960075139292e-06,1.0,0.8,1.0,10.0,1.0,1.0,0.05,0.15,0.035,0.0001,0.0,0.1,0.01,1.0,0.0,1.0,1.0,0.0,0.003132832610322118,0.00010000033931492302,1.0,0.0025059826534951234,1.1291901664841243e-08,1.3696336630860772e-17,1.2912609303267427e-19,8.955563731457716e-07,0.034520113022081286,9.999943931513581e-05
